,Dollar,Rate
MSFT,2.04,0.0119
AAPL,3.08,0.0112
AMZN,0,0
FB,0,0
JNJ,4.04,0.026
GOOG,0,0
GOOGL,0,0
BRK-B,0,0
PG,3.16,0.0265
V,1.2,0.0072
JPM,3.6,0.0403
UNH,4.32,0.0151
INTC,1.32,0.0224
VZ,2.46,0.0427
MA,1.6,0.0063
HD,6,0.0297
T,2.08,0.0705
MRK,2.44,0.0302
PFE,1.52,0.0414
NFLX,0,0
XOM,3.48,0.0801
WMT,2.16,0.0168
DIS,1.76,0.0174
PEP,3.82,0.0293
BAC,0.72,0.0329
CSCO,1.44,0.0346
NVDA,0.64,0.0023
KO,1.64,0.0364
ABT,1.44,0.0153
CVX,5.16,0.0594
CMCSA,0.92,0.0255
ADBE,0,0
BMY,1.8,0.0295
AMGN,6.4,0.0275
MCD,5,0.0275
PYPL,0,0
LLY,2.96,0.0185
COST,2.8,0.0092
TMO,0.88,0.0027
MDT,2.16,0.0225
ABBV,4.72,0.0575
NEE,5.6,0.0232
ORCL,0.96,0.0185
PM,4.68,0.0652
AMT,3.96,0.0159
ACN,3.2,0.0185
NKE,0.98,0.0112
IBM,6.48,0.0534
UNP,3.88,0.0255
TXN,3.6,0.0326
DHR,0.72,0.0045
WFC,2.04,0.0769
GILD,2.72,0.0335
HON,3.6,0.0267
LMT,9.6,0.0255
RTX,2.94,0.0465
C,2.04,0.048
SBUX,1.64,0.0218
QCOM,2.6,0.0352
MMM,5.88,0.0407
CVS,2,0.0326
CHTR,0,0
MDLZ,1.14,0.0222
BA,0,0
LOW,2.2,0.0232
MO,3.36,0.0889
UPS,4.04,0.0406
CAT,4.12,0.0365
DUK,3.78,0.0444
CL,1.76,0.0247
AGN,2.96,0.016
SO,2.56,0.0451
GE,0.04,0.0062
BKNG,0,0
GS,5,0.0286
BLK,14.52,0.0308
AXP,1.72,0.0209
BIIB,0,0
TGT,2.64,0.0254
XTSLA,0,0
USB,1.68,0.0503
MS,1.4,0.0374
COP,1.68,0.0464
EXC,1.53,0.0421
WBA,1.83,0.0421
EMR,2,0.0378
ALL,2.16,0.0217
GD,0,0
DD,1.2,0.0291
BK,1.24,0.0351
FDX,2.6,0.0215
KMI,1,0.0704
GM,1.52,0.0706
MET,1.76,0.0552
COF,1.6,0.0304
DOW,2.8,0.0879
SLB,0.5,0.0303
AIG,1.28,0.0565
F,0,0
KHC,1.6,0.0561
SPG,8.4,0.158
OXY,0.44,0.0317
