,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,NFLX210115P00005000,1586449202,5.0,0.05,0.0,0.24,-0.009999998,-16.666664,32,1585,1.9804688476562502,False,REGULAR,USD
1,NFLX210115P00010000,1586278097,10.0,0.04,0.05,0.55,0.0,0.0,11,69,1.8105478222656248,False,REGULAR,USD
2,NFLX210115P00015000,1586371459,15.0,0.06,0.07,4.4,0.0,0.0,25,60,2.2407270544433593,False,REGULAR,USD
3,NFLX210115P00020000,1586370238,20.0,0.1,0.09,4.4,0.0,0.0,19,85,1.991699260253906,False,REGULAR,USD
4,NFLX210115P00025000,1586281667,25.0,0.15,0.1,4.45,0.0,0.0,50,113,1.815918889160156,False,REGULAR,USD
5,NFLX210115P00030000,1585925791,30.0,0.13,0.0,1.17,0.0,0.0,2,5,1.323733850097656,False,REGULAR,USD
6,NFLX210115P00035000,1582822264,35.0,0.05,0.02,0.45,0.0,0.0,25,155,1.0976607617187502,False,REGULAR,USD
7,NFLX210115P00040000,1584625411,40.0,0.36,0.04,0.45,0.0,0.0,10,0,1.0380907470703127,False,REGULAR,USD
8,NFLX210115P00045000,1585334014,45.0,0.3,0.0,4.45,0.0,0.0,1,62,1.3745148461914063,False,REGULAR,USD
9,NFLX210115P00050000,1586461370,50.0,0.42,0.3,4.45,0.06999999,19.999998,106,682,1.3190952014160153,False,REGULAR,USD
10,NFLX210115P00055000,1584546550,55.0,0.9,0.0,4.45,0.0,0.0,5,17,1.237796779785156,False,REGULAR,USD
11,NFLX210115P00060000,1582562122,60.0,0.62,0.26,0.85,0.0,0.0,50,0,0.9399420068359375,False,REGULAR,USD
12,NFLX210115P00065000,1584982908,65.0,0.75,0.0,2.0,0.0,0.0,1,4,0.9804689453125001,False,REGULAR,USD
13,NFLX210115P00070000,1577462555,70.0,0.14,0.0,0.31,0.0,0.0,1,1,0.73437765625,False,REGULAR,USD
14,NFLX210115P00075000,1585581405,75.0,0.65,0.0,4.45,0.0,0.0,15,322,1.0344286560058595,False,REGULAR,USD
15,NFLX210115P00080000,1586276720,80.0,0.7,0.05,4.45,0.0,0.0,5,75,0.995239305419922,False,REGULAR,USD
16,NFLX210115P00085000,1584040284,85.0,1.67,0.68,1.14,0.0,0.0,21,25,0.8188494677734374,False,REGULAR,USD
17,NFLX210115P00090000,1585937361,90.0,1.2,0.05,4.4,0.0,0.0,12,57,0.9187019848632813,False,REGULAR,USD
18,NFLX210115P00095000,1585848817,95.0,1.3,0.0,4.4,0.0,0.0,1,11,0.8829357409667968,False,REGULAR,USD
19,NFLX210115P00100000,1586450220,100.0,1.25,1.21,4.4,0.0,0.0,5,539,0.89257919921875,False,REGULAR,USD
20,NFLX210115P00105000,1583771846,105.0,1.55,1.15,1.54,0.0,0.0,21,31,0.7514673291015624,False,REGULAR,USD
21,NFLX210115P00110000,1585575655,110.0,1.7,0.0,1.7,0.0,0.0,1,339,0.6733431103515627,False,REGULAR,USD
22,NFLX210115P00130000,1586275490,130.0,2.05,0.01,4.5,0.0,0.0,17,2002,0.6934845104980469,False,REGULAR,USD
23,NFLX210115P00135000,1585846382,135.0,2.6,0.07,4.55,0.0,0.0,1,291,0.6737093176269533,False,REGULAR,USD
24,NFLX210115P00140000,1586278418,140.0,2.37,2.5,4.75,0.0,0.0,7,399,0.7155790161132812,False,REGULAR,USD
25,NFLX210115P00145000,1584560904,145.0,8.7,0.51,5.0,0.0,0.0,4,101,0.652896537475586,False,REGULAR,USD
