,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,GD200417C00100000,1586284494,100.0,36.54,38.5,43.4,0.0,0.0,4.0,0,1.955566628417969,True,REGULAR,USD
1,GD200417C00105000,1586287710,105.0,31.1,33.5,38.4,0.0,0.0,325.0,0,1.7465832983398437,True,REGULAR,USD
2,GD200417C00110000,1586287868,110.0,26.2,28.5,33.4,0.0,0.0,1000.0,0,1.5439475927734374,True,REGULAR,USD
3,GD200417C00112000,1585541334,112.0,13.5,26.5,31.4,0.0,0.0,,0,1.464358146972656,True,REGULAR,USD
4,GD200417C00114000,1586287868,114.0,22.2,24.5,29.2,0.0,0.0,457.0,12,1.3439974206542966,True,REGULAR,USD
5,GD200417C00115000,1584992074,115.0,4.68,23.5,28.4,0.0,0.0,3.0,0,1.3461946752929683,True,REGULAR,USD
6,GD200417C00119000,1585753639,119.0,10.42,19.7,24.5,0.0,0.0,1.0,0,0.5371140039062501,True,REGULAR,USD
7,GD200417C00120000,1585837195,120.0,10.0,18.7,23.5,0.0,0.0,1.0,1,0.5136767382812499,True,REGULAR,USD
8,GD200417C00121000,1585077869,121.0,3.09,17.5,22.4,0.0,0.0,2.0,2,1.112797404785156,True,REGULAR,USD
9,GD200417C00122000,1585756858,122.0,8.4,16.7,21.5,0.0,0.0,1.0,7,1.0915572766113284,True,REGULAR,USD
10,GD200417C00124000,1585161284,124.0,10.9,15.0,19.8,0.0,0.0,1.0,1,0.5664105859375,True,REGULAR,USD
11,GD200417C00125000,1585846456,125.0,6.7,13.5,16.8,0.0,0.0,2.0,64,0.6499058447265625,True,REGULAR,USD
12,GD200417C00126000,1585765890,126.0,5.9,13.0,17.8,0.0,0.0,2.0,5,0.5107470800781251,True,REGULAR,USD
13,GD200417C00127000,1585764075,127.0,4.2,12.1,17.0,0.0,0.0,,3,0.5258836474609375,True,REGULAR,USD
14,GD200417C00128000,1586185556,128.0,6.56,11.1,16.0,0.0,0.0,1.0,1,0.93164130859375,True,REGULAR,USD
15,GD200417C00129000,1586439727,129.0,13.38,10.3,15.0,3.71,38.36608,1.0,18,0.8901378173828124,True,REGULAR,USD
16,GD200417C00130000,1586453318,130.0,11.43,9.0,13.5,1.9300003,20.315794,5.0,99,0.7761252856445313,True,REGULAR,USD
17,GD200417C00131000,1586183424,131.0,9.8,8.5,13.4,0.0,0.0,1.0,36,0.8618177880859376,True,REGULAR,USD
18,GD200417C00132000,1585926257,132.0,1.37,7.7,12.5,0.0,0.0,9.0,10,0.8317887915039062,True,REGULAR,USD
19,GD200417C00133000,1586452495,133.0,8.1,6.7,11.5,4.7500005,141.79106,2.0,27,0.7875997802734375,True,REGULAR,USD
20,GD200417C00134000,1586442794,134.0,8.1,6.1,10.5,1.7900004,28.367678,2.0,22,0.7426783544921874,True,REGULAR,USD
21,GD200417C00135000,1586449314,135.0,5.97,5.2,9.8,0.8699999,17.05882,5.0,221,0.7346217944335938,True,REGULAR,USD
22,GD200417C00136000,1586439454,136.0,6.7,4.5,9.0,2.7999997,71.79486,1.0,30,0.711916943359375,True,REGULAR,USD
23,GD200417C00137000,1586445470,137.0,4.89,4.5,7.7,1.0799999,28.346455,25.0,35,0.6274451318359376,True,REGULAR,USD
24,GD200417C00139000,1586460070,139.0,4.03,3.4,7.4,1.4900002,58.661427,1.0,32,0.7237576452636718,True,REGULAR,USD
25,GD200417C00140000,1586460947,140.0,3.6,1.0,4.3,1.04,40.625,50.0,585,0.428716650390625,True,REGULAR,USD
26,GD200417C00145000,1586462222,145.0,1.6,0.0,1.8,0.6,60.000004,27.0,27,0.3833069482421875,False,REGULAR,USD
27,GD200417C00150000,1586443789,150.0,0.4,0.0,0.9,0.23,135.29411,6.0,72,0.42017181396484377,False,REGULAR,USD
28,GD200417C00155000,1586462332,155.0,0.05,0.0,0.2,0.0,0.0,73.0,24,0.37500625,False,REGULAR,USD
29,GD200417C00160000,1585843141,160.0,0.18,0.0,0.3,0.0,0.0,1.0,31,0.5117236328125,False,REGULAR,USD
30,GD200417C00165000,1586180724,165.0,0.6,0.0,0.05,0.0,0.0,1.0,309,0.45117736328125,False,REGULAR,USD
31,GD200417C00170000,1585592230,170.0,0.35,0.0,0.4,0.0,0.0,22.0,449,0.6455113574218749,False,REGULAR,USD
32,GD200417C00175000,1585591347,175.0,0.05,0.0,0.05,0.0,0.0,1.0,172,0.5468795312500001,False,REGULAR,USD
33,GD200417C00180000,1586273019,180.0,0.14,0.0,0.7,0.0,0.0,1.0,1264,0.883790224609375,False,REGULAR,USD
34,GD200417C00185000,1584993157,185.0,0.05,0.0,0.2,0.0,0.0,1.0,390,0.789064609375,False,REGULAR,USD
35,GD200417C00190000,1584366451,190.0,0.1,0.0,0.9,0.0,0.0,3.0,0,1.0849655126953124,False,REGULAR,USD
36,GD200417C00195000,1583265035,195.0,0.21,0.15,4.3,0.0,0.0,719.0,278,1.664552458496094,False,REGULAR,USD
37,GD200417C00200000,1582918994,200.0,0.08,0.0,1.2,0.0,0.0,2.0,208,1.2973667944335934,False,REGULAR,USD
38,GD200417C00205000,1584114844,205.0,0.24,0.0,3.5,0.0,0.0,2.0,1,1.7255873095703125,False,REGULAR,USD
39,GD200417C00210000,1585079197,210.0,0.13,0.0,1.5,0.0,0.0,8.0,0,1.4985376635742185,False,REGULAR,USD
