,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,ORCL200417P00022500,1584979017,22.5,0.12,0.0,0.0,0.0,0.0,2.0,39,0.500005,False,REGULAR,USD
1,ORCL200417P00025000,1585333869,25.0,0.11,0.0,0.05,0.0,0.0,5.0,5,1.953125234375,False,REGULAR,USD
2,ORCL200417P00027500,1584989114,27.5,0.6,0.0,0.07,0.0,0.0,,47,1.7968760156249999,False,REGULAR,USD
3,ORCL200417P00030000,1586370960,30.0,0.01,0.0,0.05,0.0,0.0,11.0,485,1.5156274218749999,False,REGULAR,USD
4,ORCL200417P00032500,1586287949,32.5,0.06,0.0,0.06,0.0,0.0,5.0,101,1.3515657421874998,False,REGULAR,USD
5,ORCL200417P00035000,1586365582,35.0,0.05,0.0,0.06,0.0,0.0,2.0,285,1.1640666796875,False,REGULAR,USD
6,ORCL200417P00036000,1585754623,36.0,0.29,0.0,0.06,0.0,0.0,,25,1.09375453125,False,REGULAR,USD
7,ORCL200417P00037000,1585842152,37.0,0.15,0.0,0.06,0.0,0.0,,1,1.0234423828125,False,REGULAR,USD
8,ORCL200417P00037500,1586374455,37.5,0.04,0.0,0.07,0.0,0.0,3.0,204,1.015629921875,False,REGULAR,USD
9,ORCL200417P00038000,1585942270,38.0,0.25,0.0,0.08,0.0,0.0,2.0,15,0.9960937890625,False,REGULAR,USD
10,ORCL200417P00039000,1585942270,39.0,0.34,0.0,0.1,0.0,0.0,1.0,0,0.9609378906249999,False,REGULAR,USD
11,ORCL200417P00040000,1586461977,40.0,0.05,0.02,0.08,-0.029999997,-37.499996,51.0,1549,0.8906260937499999,False,REGULAR,USD
12,ORCL200417P00041000,1585768484,41.0,0.55,0.0,0.17,0.0,0.0,32.0,32,0.8984385156249999,False,REGULAR,USD
13,ORCL200417P00041500,1585076649,41.5,1.03,0.0,0.2,0.0,0.0,5.0,5,0.8906260937499999,False,REGULAR,USD
14,ORCL200417P00042000,1586287980,42.0,0.11,0.0,0.2,0.0,0.0,1.0,17,0.8554701953125,False,REGULAR,USD
