,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,MS200424C00028000,1585067438,28.0,6.22,12.85,13.7,0.0,0.0,1.0,0,1.15234798828125,True,REGULAR,USD
1,MS200424C00030000,1585153018,30.0,6.0,10.75,11.9,0.0,0.0,23.0,58,1.0312548437500002,True,REGULAR,USD
2,MS200424C00031000,1585837052,31.0,3.5,9.9,10.8,0.0,0.0,6.0,50,0.96679720703125,True,REGULAR,USD
3,MS200424C00031500,1584380561,31.5,4.6,9.45,10.3,0.0,0.0,1.0,2,0.945313046875,True,REGULAR,USD
4,MS200424C00032000,1586283666,32.0,6.15,8.95,9.9,0.0,0.0,15.0,91,0.93945373046875,True,REGULAR,USD
5,MS200424C00032500,1584331328,32.5,3.85,8.5,9.45,0.0,0.0,,37,0.929688203125,True,REGULAR,USD
6,MS200424C00033000,1586189918,33.0,4.61,7.95,9.0,0.0,0.0,5.0,123,0.88476677734375,True,REGULAR,USD
7,MS200424C00033500,1585165643,33.5,4.0,7.35,8.7,0.0,0.0,,31,0.870118486328125,True,REGULAR,USD
8,MS200424C00034000,1586450094,34.0,7.45,7.15,7.8,1.6499996,28.448269,2.0,9,0.7939473730468749,True,REGULAR,USD
9,MS200424C00035000,1586454422,35.0,6.8,6.15,6.95,2.0,41.666664,1.0,64,0.7460962890625,True,REGULAR,USD
10,MS200424C00036000,1586461719,36.0,5.65,5.45,6.0,1.4900002,35.817318,36.0,1065,0.737307314453125,True,REGULAR,USD
11,MS200424C00037000,1586459839,37.0,4.78,4.55,5.2,1.7100003,55.700336,15.0,69,0.6992217578125001,True,REGULAR,USD
12,MS200424C00038000,1586459839,38.0,4.05,3.9,4.4,1.4900002,58.203136,13.0,119,0.69336244140625,True,REGULAR,USD
13,MS200424C00039000,1586459285,39.0,3.15,3.2,3.65,0.99,45.833332,9.0,39,0.6679720703125002,True,REGULAR,USD
14,MS200424C00040000,1586458255,40.0,2.42,2.57,2.98,0.7900001,48.466263,14.0,77,0.6479527392578125,True,REGULAR,USD
15,MS200424C00041000,1586462223,41.0,2.37,2.02,2.39,1.0699999,82.30769,25.0,17,0.631839619140625,True,REGULAR,USD
16,MS200424C00042000,1586462369,42.0,1.79,1.52,1.88,0.78999996,79.0,157.0,101,0.6137733935546876,False,REGULAR,USD
17,MS200424C00043000,1586462255,43.0,1.41,1.11,1.44,0.88,166.03773,65.0,32,0.5976602734375001,False,REGULAR,USD
18,MS200424C00045000,1586462233,45.0,0.8,0.51,0.8,0.66,471.4286,140.0,140,0.569340244140625,False,REGULAR,USD
19,MS200424C00046000,1586453210,46.0,0.6,0.31,0.57,0.52000004,650.00006,87.0,80,0.5537154003906251,False,REGULAR,USD
20,MS200424C00047000,1586458493,47.0,0.25,0.17,0.42,0.13,108.333336,37.0,27,0.5459029785156251,False,REGULAR,USD
21,MS200424C00048000,1586447057,48.0,0.18,0.07,0.33,-0.62,-77.5,29.0,1,0.5449264257812501,False,REGULAR,USD
