,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,NKE200501P00035000,1586362460,35.0,0.01,0.0,0.02,0.0,0.0,400.0,401,1.2500037499999999,False,REGULAR,USD
1,NKE200501P00040000,1586375974,40.0,0.02,0.01,0.09,0.0,0.0,225.0,227,1.2812535937499998,False,REGULAR,USD
2,NKE200501P00045000,1586439005,45.0,0.05,0.01,0.24,-0.25,-83.33333,1.0,146,1.2460975195312498,False,REGULAR,USD
3,NKE200501P00050000,1586456777,50.0,0.09,0.04,0.25,-0.009999998,-9.999998,1.0,56,1.08984830078125,False,REGULAR,USD
4,NKE200501P00055000,1586372127,55.0,0.16,0.07,0.25,0.0,0.0,4.0,23,0.9355475195312499,False,REGULAR,USD
5,NKE200501P00056000,1584978426,56.0,3.05,0.08,0.25,0.0,0.0,2.0,7,0.9082040429687499,False,REGULAR,USD
6,NKE200501P00057000,1585581464,57.0,1.49,0.09,0.24,0.0,0.0,1.0,1,0.875977802734375,False,REGULAR,USD
7,NKE200501P00058000,1586439012,58.0,0.19,0.11,0.24,-4.54,-95.983086,,1,0.8535170898437501,False,REGULAR,USD
8,NKE200501P00059000,1584992273,59.0,5.35,0.12,0.24,0.0,0.0,1.0,1,0.8261736132812498,False,REGULAR,USD
9,NKE200501P00060000,1586461724,60.0,0.2,0.13,0.25,-0.049999997,-19.999998,3.0,141,0.8027363476562499,False,REGULAR,USD
10,NKE200501P00061000,1586196516,61.0,0.47,0.15,0.25,0.0,0.0,1.0,2,0.778322529296875,False,REGULAR,USD
11,NKE200501P00062000,1586278206,62.0,0.25,0.2,0.26,0.0,0.0,2.0,27,0.7675804492187501,False,REGULAR,USD
12,NKE200501P00063000,1586269768,63.0,0.4,0.19,0.29,0.0,0.0,2.0,210,0.7421900781249999,False,REGULAR,USD
13,NKE200501P00064000,1585079524,64.0,3.75,0.21,0.31,0.0,0.0,1.0,2,0.7226590234375,False,REGULAR,USD
14,NKE200501P00065000,1586450709,65.0,0.24,0.24,0.34,-0.09000002,-27.272732,1.0,69,0.708010732421875,False,REGULAR,USD
15,NKE200501P00066000,1586270989,66.0,0.49,0.27,0.38,0.0,0.0,1.0,128,0.69336244140625,False,REGULAR,USD
16,NKE200501P00067000,1586286830,67.0,0.55,0.31,0.42,0.0,0.0,9.0,13,0.6796907031250001,False,REGULAR,USD
17,NKE200501P00068000,1585850798,68.0,1.96,0.35,0.46,0.0,0.0,3.0,19,0.6635775830078127,False,REGULAR,USD
18,NKE200501P00069000,1586273949,69.0,0.62,0.39,0.52,0.0,0.0,8.0,30,0.649417568359375,False,REGULAR,USD
19,NKE200501P00070000,1586450545,70.0,0.47,0.45,0.59,-0.16,-25.396824,4.0,209,0.63867548828125,False,REGULAR,USD
20,NKE200501P00071000,1586375400,71.0,0.67,0.51,0.65,0.0,0.0,16.0,25,0.624027197265625,False,REGULAR,USD
21,NKE200501P00072000,1586447868,72.0,0.63,0.58,0.72,-0.120000005,-16.000002,42.0,78,0.6098671826171876,False,REGULAR,USD
22,NKE200501P00073000,1586375571,73.0,0.83,0.66,0.81,0.0,0.0,11.0,12,0.5976602734375001,False,REGULAR,USD
23,NKE200501P00074000,1586455672,74.0,0.85,0.76,0.9,-0.06999999,-7.6086946,20.0,49,0.584965087890625,False,REGULAR,USD
24,NKE200501P00075000,1586453002,75.0,0.94,0.29,1.01,-0.14000005,-12.962967,53.0,93,0.5092822509765625,False,REGULAR,USD
