,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,PG200501C00055000,1585337926,55.0,57.8,57.1,62.0,0.0,0.0,1.0,0,2.3544963012695304,True,REGULAR,USD
1,PG200501C00080000,1585329543,80.0,33.0,32.2,37.0,0.0,0.0,3.0,3,1.343020863037109,True,REGULAR,USD
2,PG200501C00095000,1585771163,95.0,16.0,17.55,22.2,0.0,0.0,38.0,38,0.8828136718749999,True,REGULAR,USD
3,PG200501C00098000,1585159101,98.0,10.0,14.7,19.4,0.0,0.0,1.0,1,0.813478427734375,True,REGULAR,USD
4,PG200501C00100000,1586271485,100.0,20.1,12.9,17.5,0.0,0.0,2.0,6,0.7614769946289064,True,REGULAR,USD
5,PG200501C00102000,1585590988,102.0,13.25,11.6,15.8,0.0,0.0,1.0,1,0.7309597216796875,True,REGULAR,USD
6,PG200501C00103000,1585327340,103.0,12.0,10.25,15.0,0.0,0.0,3.0,8,0.719729365234375,True,REGULAR,USD
7,PG200501C00104000,1585250039,104.0,11.37,9.45,14.0,0.0,0.0,12.0,6,0.6857941577148439,True,REGULAR,USD
8,PG200501C00105000,1586279936,105.0,14.27,8.5,13.3,0.0,0.0,10.0,19,0.6832307067871095,True,REGULAR,USD
9,PG200501C00107000,1585078087,107.0,8.75,7.0,11.5,0.0,0.0,1.0,12,0.632816171875,True,REGULAR,USD
10,PG200501C00108000,1584331971,108.0,8.02,6.1,10.9,0.0,0.0,1.0,4,0.6355016918945313,True,REGULAR,USD
11,PG200501C00109000,1585839759,109.0,7.75,5.5,10.0,0.0,0.0,,1,0.6076699389648439,True,REGULAR,USD
12,PG200501C00110000,1586353001,110.0,6.25,4.7,9.5,0.0,0.0,1.0,16,0.6159706372070313,True,REGULAR,USD
13,PG200501C00111000,1586272658,111.0,10.25,4.25,8.8,0.0,0.0,1.0,6,0.6036416589355471,True,REGULAR,USD
14,PG200501C00112000,1586354846,112.0,5.2,3.3,8.0,0.0,0.0,1.0,6,0.5806926696777344,True,REGULAR,USD
15,PG200501C00113000,1586445757,113.0,7.21,2.7,7.4,0.30999994,4.4927526,2.0,12,0.5738568005371094,True,REGULAR,USD
16,PG200501C00114000,1586289523,114.0,4.65,2.1,6.85,0.0,0.0,1.0,7,0.5694623132324219,True,REGULAR,USD
17,PG200501C00115000,1586367288,115.0,4.02,3.0,6.4,0.0,0.0,1.0,37,0.5716595568847658,False,REGULAR,USD
18,PG200501C00116000,1586459807,116.0,4.44,1.1,5.8,-0.8800001,-16.541355,3.0,14,0.5587202331542969,False,REGULAR,USD
19,PG200501C00117000,1586452123,117.0,5.05,2.5,5.4,-0.9499998,-15.83333,4.0,29,0.5610395458984375,False,REGULAR,USD
20,PG200501C00118000,1586370747,118.0,3.0,0.1,4.9,0.0,0.0,2.0,80,0.5526167785644531,False,REGULAR,USD
21,PG200501C00119000,1586449801,119.0,3.45,1.33,4.15,0.79999995,30.188677,213.0,37,0.5196581237792968,False,REGULAR,USD
22,PG200501C00120000,1586449480,120.0,3.1,0.0,3.4,1.0999999,54.999996,10.0,30,0.48340360351562506,False,REGULAR,USD
23,PG200501C00121000,1586457232,121.0,2.7,0.0,4.5,1.73,178.35051,5.0,9,0.6136513244628907,False,REGULAR,USD
24,PG200501C00122000,1586460046,122.0,1.76,0.0,2.5,-0.6400001,-26.666672,7.0,8,0.4555718505859375,False,REGULAR,USD
25,PG200501C00123000,1586449605,123.0,2.25,0.85,2.21,0.18000007,8.695655,14.0,2,0.4527642614746094,False,REGULAR,USD
26,PG200501C00124000,1586354132,124.0,0.74,0.0,4.75,0.0,0.0,10.0,24,0.7233914379882812,False,REGULAR,USD
27,PG200501C00125000,1586453701,125.0,1.54,0.48,4.5,0.03999996,2.6666641,1.0,222,0.5314988256835937,False,REGULAR,USD
28,PG200501C00130000,1586459837,130.0,0.45,0.0,0.77,0.099999994,28.571426,19.0,36,0.42578699218750005,False,REGULAR,USD
29,PG200501C00135000,1586448060,135.0,0.24,0.01,0.6,-0.11,-31.428572,4.0,30,0.47900911621093745,False,REGULAR,USD
30,PG200501C00140000,1585335845,140.0,0.43,0.01,0.87,0.0,0.0,10.0,0,0.5170946728515625,False,REGULAR,USD
31,PG200501C00145000,1586459878,145.0,0.1,0.0,0.55,-0.050000004,-33.333336,2.0,14,0.53320779296875,False,REGULAR,USD
32,PG200501C00165000,1585836406,165.0,0.05,0.0,1.49,0.0,0.0,,8,0.9116219775390625,False,REGULAR,USD
