,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AGN200515P00085000,1586271807,85.0,0.05,0.05,0.39,0.0,0.0,5.0,113,1.0966842041015625,False,REGULAR,USD
1,AGN200515P00090000,1584979618,90.0,1.6,0.0,0.59,0.0,0.0,128.0,265,1.0664109179687502,False,REGULAR,USD
2,AGN200515P00095000,1584993085,95.0,0.71,0.0,0.87,0.0,0.0,1.0,116,1.0546922265625,False,REGULAR,USD
3,AGN200515P00100000,1586460240,100.0,0.05,0.0,1.2,-0.84999996,-94.44444,10.0,69,1.0361376318359379,False,REGULAR,USD
4,AGN200515P00105000,1586369386,105.0,0.35,0.0,0.9,0.0,0.0,27.0,146,0.9145516357421876,False,REGULAR,USD
5,AGN200515P00110000,1584549357,110.0,2.2,0.3,2.01,0.0,0.0,4.0,0,1.015629921875,False,REGULAR,USD
6,AGN200515P00115000,1586450658,115.0,0.5,0.0,1.93,-0.5,-50.0,25.0,77,0.90429783203125,False,REGULAR,USD
7,AGN200515P00120000,1586271810,120.0,1.0,0.0,2.82,0.0,0.0,6.0,43,0.9082040429687499,False,REGULAR,USD
8,AGN200515P00125000,1586370207,125.0,1.0,0.0,3.25,0.0,0.0,10.0,25,0.8652357226562499,False,REGULAR,USD
9,AGN200515P00130000,1586443540,130.0,1.0,0.01,1.1,-0.39999998,-28.571426,5.0,996,0.6232947827148438,False,REGULAR,USD
10,AGN200515P00135000,1586453939,135.0,0.85,0.72,1.35,-0.35000002,-29.166668,52.0,848,0.6457554956054687,False,REGULAR,USD
11,AGN200515P00140000,1586460442,140.0,1.2,0.1,1.5,-0.3499999,-22.58064,366.0,475,0.5485884985351563,False,REGULAR,USD
12,AGN200515P00145000,1586374584,145.0,1.95,1.0,2.1,0.0,0.0,107.0,303,0.5793499096679688,False,REGULAR,USD
13,AGN200515P00150000,1586373768,150.0,2.05,1.25,2.6,0.0,0.0,2.0,1607,0.5485884985351563,False,REGULAR,USD
14,AGN200515P00155000,1586374407,155.0,2.55,0.34,4.1,0.0,0.0,104.0,853,0.504765694580078,False,REGULAR,USD
15,AGN200515P00160000,1586462381,160.0,3.0,3.0,3.3,-0.95000005,-24.050634,388.0,227,0.5084277673339843,False,REGULAR,USD
16,AGN200515P00165000,1585942004,165.0,5.8,2.52,4.6,0.0,0.0,2.0,263,0.506840869140625,False,REGULAR,USD
17,AGN200515P00170000,1586460346,170.0,4.05,3.3,5.2,-0.099999905,-2.4096363,44.0,713,0.4545952978515625,False,REGULAR,USD
18,AGN200515P00175000,1585069424,175.0,10.1,4.4,6.15,0.0,0.0,2.0,139,0.4107724938964844,False,REGULAR,USD
19,AGN200515P00180000,1586355082,180.0,8.0,5.25,7.0,0.0,0.0,13.0,819,0.35028725891113277,False,REGULAR,USD
20,AGN200515P00185000,1585071154,185.0,14.0,6.5,9.75,0.0,0.0,15.0,956,0.35510898803710933,True,REGULAR,USD
21,AGN200515P00190000,1586182975,190.0,13.5,8.9,12.75,0.0,0.0,1.0,169,0.3502262243652343,True,REGULAR,USD
22,AGN200515P00195000,1585237505,195.0,21.58,12.55,16.25,0.0,0.0,1.0,77,0.3482120843505859,True,REGULAR,USD
23,AGN200515P00200000,1585297205,200.0,3.65,19.3,21.75,0.0,0.0,,1,0.4351863122558594,True,REGULAR,USD
