,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,JNJ200918C00070000,1574456141,70.0,68.1,73.6,78.1,0.0,0.0,4150,0,0.9838868798828125,True,REGULAR,USD
1,JNJ200918C00075000,1574456001,75.0,62.9,68.7,73.1,0.0,0.0,12750,0,0.909058526611328,True,REGULAR,USD
2,JNJ200918C00080000,1582317929,80.0,69.2,45.6,47.1,0.0,0.0,14,0,1.0000000000000003e-05,True,REGULAR,USD
3,JNJ200918C00085000,1582316899,85.0,64.5,40.2,42.1,0.0,0.0,2,0,1.0000000000000003e-05,True,REGULAR,USD
4,JNJ200918C00090000,1584542024,90.0,46.0,42.35,43.55,0.0,0.0,3,3,1.0000000000000003e-05,True,REGULAR,USD
5,JNJ200918C00095000,1584992884,95.0,21.84,45.3,50.0,0.0,0.0,2,7,0.5926554406738282,True,REGULAR,USD
6,JNJ200918C00100000,1586280205,100.0,42.9,42.2,43.95,0.0,0.0,1,6,0.47986359985351557,True,REGULAR,USD
7,JNJ200918C00105000,1585158063,105.0,24.0,37.15,38.9,0.0,0.0,1,4,0.42676354492187507,True,REGULAR,USD
8,JNJ200918C00110000,1586445557,110.0,34.6,32.9,34.55,4.0999985,13.442617,16,31,0.4091245611572265,True,REGULAR,USD
9,JNJ200918C00115000,1586268191,115.0,26.6,28.5,30.15,0.0,0.0,3,52,0.38434453552246095,True,REGULAR,USD
10,JNJ200918C00120000,1586375400,120.0,26.35,24.4,25.95,0.0,0.0,6,242,0.36304347900390627,True,REGULAR,USD
11,JNJ200918C00125000,1586444450,125.0,22.0,20.4,22.15,-0.5,-2.2222223,2,632,0.34992105163574216,True,REGULAR,USD
12,JNJ200918C00130000,1586451197,130.0,17.35,16.9,18.35,-0.10000038,-0.5730681,5,532,0.32996275512695306,True,REGULAR,USD
13,JNJ200918C00135000,1586450064,135.0,14.5,13.55,15.0,-0.6499996,-4.2904267,3,557,0.3161079132080078,True,REGULAR,USD
14,JNJ200918C00140000,1586461427,140.0,11.33,10.55,12.0,-1.0900002,-8.776169,106,2420,0.30383996948242187,True,REGULAR,USD
15,JNJ200918C00145000,1586462277,145.0,8.44,8.05,8.9,-1.0600004,-11.157899,146,1045,0.2802501174926757,False,REGULAR,USD
16,JNJ200918C00150000,1586458122,150.0,6.4,5.9,6.9,-0.6799998,-9.604517,28,1372,0.2765575274658203,False,REGULAR,USD
17,JNJ200918C00155000,1586456521,155.0,4.6,4.25,5.45,-0.3499999,-7.0707054,17,566,0.27887684020996095,False,REGULAR,USD
18,JNJ200918C00160000,1586457550,160.0,3.26,2.09,4.0,-0.3399999,-9.444443,12,3017,0.2724071783447265,False,REGULAR,USD
19,JNJ200918C00165000,1586448728,165.0,2.49,1.49,2.88,-0.00999999,-0.3999996,18,492,0.2672192419433594,False,REGULAR,USD
20,JNJ200918C00170000,1586448327,170.0,1.72,0.56,1.75,0.37,27.407408,7,539,0.25049577636718745,False,REGULAR,USD
21,JNJ200918C00175000,1586461686,175.0,1.02,0.62,1.05,0.01999998,1.9999981,3,186,0.2395095581054687,False,REGULAR,USD
22,JNJ200918C00180000,1586452576,180.0,0.75,0.42,0.77,-0.01999998,-2.5974002,71,1366,0.243171630859375,False,REGULAR,USD
23,JNJ200918C00185000,1586370253,185.0,0.39,0.29,0.74,0.0,0.0,7,693,0.2611157873535156,False,REGULAR,USD
24,JNJ200918C00190000,1586200569,190.0,0.41,0.04,0.55,0.0,0.0,1,62,0.26392337646484376,False,REGULAR,USD
25,JNJ200918C00195000,1586440300,195.0,0.36,0.11,0.32,0.12000002,50.00001,5,130,0.2553785400390626,False,REGULAR,USD
26,JNJ200918C00200000,1586453877,200.0,0.18,0.13,0.25,-0.019999996,-9.999998,3,174,0.260749580078125,False,REGULAR,USD
