,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AXP201016C00050000,1586267593,50.0,44.8,44.85,49.5,0.0,0.0,3.0,3,0.7727073510742188,True,REGULAR,USD
1,AXP201016C00055000,1586440057,55.0,44.0,40.35,45.0,21.15,92.56017,1.0,2,0.7238797143554687,True,REGULAR,USD
2,AXP201016C00060000,1586182593,60.0,26.0,36.85,40.0,0.0,0.0,1.0,3,0.6904327832031252,True,REGULAR,USD
3,AXP201016C00070000,1586445152,70.0,29.62,28.35,32.0,13.59,84.778534,1.0,64,0.6198768481445314,True,REGULAR,USD
4,AXP201016C00075000,1586439368,75.0,25.2,24.85,28.5,3.5,16.129032,1.0,16,0.6068154553222658,True,REGULAR,USD
5,AXP201016C00080000,1586445178,80.0,22.15,21.3,24.1,5.1499996,30.294115,2.0,287,0.5626874786376954,True,REGULAR,USD
6,AXP201016C00085000,1586441918,85.0,19.64,17.75,20.9,5.539999,39.29077,3.0,65,0.538212625732422,True,REGULAR,USD
7,AXP201016C00090000,1586444325,90.0,16.1,15.3,16.65,2.8500004,21.509438,26.0,103,0.5063525927734375,True,REGULAR,USD
8,AXP201016C00095000,1586459344,95.0,12.5,12.5,13.85,1.8500004,17.370895,6.0,161,0.5117846673583983,False,REGULAR,USD
9,AXP201016C00100000,1586451391,100.0,11.0,10.05,11.0,2.3000002,26.436785,14.0,166,0.4802298071289062,False,REGULAR,USD
10,AXP201016C00105000,1586460214,105.0,7.95,6.7,10.85,1.1999998,17.777775,18.0,554,0.5381515911865236,False,REGULAR,USD
11,AXP201016C00110000,1586446855,110.0,6.37,5.85,7.1,2.12,49.88235,316.0,2267,0.454107021484375,False,REGULAR,USD
12,AXP201016C00115000,1586461253,115.0,4.82,3.75,5.75,1.1200001,30.270273,3.0,367,0.4495294305419921,False,REGULAR,USD
13,AXP201016C00120000,1586461598,120.0,3.6,2.88,3.9,1.3,56.521736,29.0,690,0.4136411175537109,False,REGULAR,USD
14,AXP201016C00125000,1586439906,125.0,2.59,2.47,3.6,0.66999996,34.895832,2.0,1284,0.4371394177246094,False,REGULAR,USD
15,AXP201016C00130000,1586454197,130.0,1.95,1.8,4.55,0.45000005,30.000004,14.0,218,0.5160570855712892,False,REGULAR,USD
16,AXP201016C00135000,1586440027,135.0,1.6,1.17,1.6,0.63,64.94845,26.0,188,0.3902648864746094,False,REGULAR,USD
17,AXP201016C00140000,1585929339,140.0,0.58,0.62,1.4,0.0,0.0,2.0,60,0.4027159338378906,False,REGULAR,USD
18,AXP201016C00145000,1585164942,145.0,2.45,0.67,1.0,0.0,0.0,1.0,39,0.39453730468750003,False,REGULAR,USD
19,AXP201016C00150000,1585936995,150.0,0.2,0.39,0.88,0.0,0.0,2.0,33,0.40552352294921873,False,REGULAR,USD
20,AXP201016C00155000,1586448765,155.0,0.44,0.2,0.86,0.19,76.0,3.0,30,0.424810439453125,False,REGULAR,USD
21,AXP201016C00160000,1586288772,160.0,0.3,0.16,0.88,0.0,0.0,16.0,39,0.4470270141601562,False,REGULAR,USD
22,AXP201016C00165000,1585300908,165.0,0.36,0.12,0.27,0.0,0.0,1.0,1,0.37842418457031246,False,REGULAR,USD
23,AXP201016C00170000,1584387749,170.0,0.14,0.15,1.03,0.0,0.0,40.0,4,0.5009815527343751,False,REGULAR,USD
24,AXP201016C00175000,1586269408,175.0,0.15,0.13,0.0,0.0,0.0,,1,0.12500875,False,REGULAR,USD
25,AXP201016C00180000,1585577973,180.0,0.22,0.06,1.11,0.0,0.0,1.0,2,0.5449264257812501,False,REGULAR,USD
26,AXP201016C00185000,1586364943,185.0,0.17,0.06,0.4,0.0,0.0,111.0,107,0.4672904833984375,False,REGULAR,USD
