,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,MDT201120P00037500,1586448187,37.5,0.55,0.18,0.56,-0.99999994,-64.51613,1.0,6,0.6709017285156251,False,REGULAR,USD
1,MDT201120P00042500,1585150226,42.5,1.85,0.31,1.48,0.0,0.0,,3,0.7041045214843751,False,REGULAR,USD
2,MDT201120P00045000,1585683846,45.0,1.5,0.53,1.16,0.0,0.0,,5,0.6547886083984377,False,REGULAR,USD
3,MDT201120P00047500,1585541084,47.5,2.81,0.63,1.28,0.0,0.0,,1,0.6330603100585939,False,REGULAR,USD
4,MDT201120P00050000,1585067068,50.0,2.75,0.65,1.32,0.0,0.0,3.0,6,0.5998575170898439,False,REGULAR,USD
5,MDT201120P00060000,1586461800,60.0,1.73,1.4,3.5,-0.9100001,-34.4697,31.0,54,0.5993692407226563,False,REGULAR,USD
6,MDT201120P00065000,1586439021,65.0,2.58,1.93,2.5,0.029999971,1.1764694,7.0,34,0.5106250109863282,False,REGULAR,USD
7,MDT201120P00070000,1586288896,70.0,3.84,2.59,3.1,0.0,0.0,2.0,19,0.5005543109130859,False,REGULAR,USD
8,MDT201120P00072500,1585152767,72.5,8.0,3.0,3.5,0.0,0.0,,1,0.4888967126464845,False,REGULAR,USD
9,MDT201120P00075000,1586441543,75.0,4.33,3.45,4.15,-0.34000015,-7.2805176,1.0,5,0.4882253326416016,False,REGULAR,USD
10,MDT201120P00077500,1586278913,77.5,5.21,3.9,4.6,0.0,0.0,1.0,12,0.47485876708984376,False,REGULAR,USD
11,MDT201120P00080000,1586444624,80.0,4.95,3.45,5.0,-0.8500004,-14.655179,1.0,290,0.4576470251464845,False,REGULAR,USD
12,MDT201120P00082500,1586448572,82.5,5.18,5.0,5.55,-5.52,-51.588787,32.0,52,0.44562321960449214,False,REGULAR,USD
13,MDT201120P00085000,1586365302,85.0,6.98,5.65,6.15,0.0,0.0,1.0,37,0.4338435522460938,False,REGULAR,USD
14,MDT201120P00087500,1585767315,87.5,13.6,6.35,6.95,0.0,0.0,,132,0.42774009765625004,False,REGULAR,USD
15,MDT201120P00090000,1586282690,90.0,9.15,7.1,7.9,0.0,0.0,11.0,24,0.4246883703613281,False,REGULAR,USD
16,MDT201120P00095000,1586442187,95.0,9.75,7.2,9.65,-0.6000004,-5.797105,15.0,122,0.40601179931640624,False,REGULAR,USD
17,MDT201120P00105000,1586268910,105.0,14.65,12.15,14.8,0.0,0.0,15.0,25,0.3949645465087891,True,REGULAR,USD
18,MDT201120P00110000,1585921071,110.0,27.34,16.1,17.9,0.0,0.0,6.0,6,0.3920959228515625,True,REGULAR,USD
