,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,OEX211217P00540000,1584740743,540.0,46.7,6.5,12.1,0.0,0.0,2.0,4,0.4283199258422852,False,REGULAR,USD
1,OEX211217P00760000,1584557667,760.0,90.0,26.2,31.9,0.0,0.0,3.0,2,0.36284511672973635,False,REGULAR,USD
2,OEX211217P00780000,1585296300,780.0,15.5,32.8,38.4,0.0,0.0,,0,0.37095508201599114,False,REGULAR,USD
3,OEX211217P00800000,1585296300,800.0,19.2,35.9,41.5,0.0,0.0,1.0,0,0.36636223243713384,False,REGULAR,USD
4,OEX211217P00860000,1583174620,860.0,21.0,70.6,83.2,0.0,0.0,1.0,1,0.43309206439971926,False,REGULAR,USD
5,OEX211217P01000000,1583771109,1000.0,77.0,78.1,86.8,0.0,0.0,1.0,2,0.331324588432312,False,REGULAR,USD
6,OEX211217P01060000,1560139819,1060.0,120.8,0.0,0.0,0.0,0.0,0.0,0,0.0312596875,False,REGULAR,USD
7,OEX211217P01100000,1560139819,1100.0,107.0,60.1,64.5,0.0,0.0,10.0,10,0.21720524623870846,False,REGULAR,USD
8,OEX211217P01160000,1585296299,1160.0,98.6,0.0,0.0,0.0,0.0,,1,0.015634843750000002,False,REGULAR,USD
9,OEX211217P01180000,1585296299,1180.0,100.1,134.3,145.1,0.0,0.0,0.0,5,0.2963212763595581,False,REGULAR,USD
10,OEX211217P01240000,1585296299,1240.0,117.5,159.1,169.4,0.0,0.0,,5,0.2850050900840758,False,REGULAR,USD
11,OEX211217P01300000,1585071228,1300.0,250.0,177.0,188.5,0.0,0.0,3.0,1,0.2617757233810425,True,REGULAR,USD
12,OEX211217P01320000,1585296299,1320.0,110.16,195.1,206.6,0.0,0.0,1.0,0,0.27098621782302856,True,REGULAR,USD
13,OEX211217P01380000,1577120950,1380.0,110.25,87.8,92.2,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD
14,OEX211217P01420000,1577998457,1420.0,118.09,117.2,125.2,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
15,OEX211217P01440000,1581001328,1440.0,104.56,223.2,239.2,0.0,0.0,1.0,0,0.19829407365798948,True,REGULAR,USD
16,OEX211217P01480000,1585661504,1480.0,332.9,281.5,293.0,0.0,0.0,1.0,1,0.23752975002288812,True,REGULAR,USD
