,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,ALL210115C00042500,1585769630,42.5,45.45,56.1,61.0,0.0,0.0,1.0,2,0.5974161352539062,True,REGULAR,USD
1,ALL210115C00070000,1585750434,70.0,24.0,32.35,35.8,0.0,0.0,2.0,12,0.5594526477050781,True,REGULAR,USD
2,ALL210115C00075000,1585763042,75.0,20.2,28.65,32.25,0.0,0.0,2.0,10,0.5496260858154298,True,REGULAR,USD
3,ALL210115C00077500,1585237213,77.5,19.0,26.7,30.0,0.0,0.0,1.0,11,0.523320196533203,True,REGULAR,USD
4,ALL210115C00080000,1586442480,80.0,26.6,24.9,28.4,16.900002,174.22682,10.0,6,0.5212450219726561,True,REGULAR,USD
5,ALL210115C00082500,1585594100,82.5,19.05,23.2,26.15,0.0,0.0,1.0,22,0.49396257995605475,True,REGULAR,USD
6,ALL210115C00085000,1585296790,85.0,22.3,13.9,24.3,0.0,0.0,1.0,0,0.4802298071289062,True,REGULAR,USD
7,ALL210115C00087500,1568749614,87.5,23.35,22.6,23.7,0.0,0.0,1.0,2,0.5064136273193358,True,REGULAR,USD
8,ALL210115C00090000,1585231382,90.0,11.38,17.9,21.75,0.0,0.0,1.0,53,0.48590601989746096,True,REGULAR,USD
9,ALL210115C00092500,1586366939,92.5,14.8,16.1,20.25,0.0,0.0,9.0,36,0.4784598052978516,True,REGULAR,USD
10,ALL210115C00095000,1586266202,95.0,18.4,14.75,17.9,0.0,0.0,1.0,72,0.44385321777343745,True,REGULAR,USD
11,ALL210115C00097500,1574092834,97.5,17.4,17.4,17.8,0.0,0.0,1.0,41,0.4752860089111328,True,REGULAR,USD
12,ALL210115C00100000,1586374226,100.0,12.1,12.45,15.8,0.0,0.0,7.0,180,0.4485528778076171,True,REGULAR,USD
13,ALL210115C00105000,1586277176,105.0,10.2,10.0,13.8,0.0,0.0,2.0,300,0.448674946899414,False,REGULAR,USD
14,ALL210115C00110000,1585166018,110.0,5.71,8.0,9.6,0.0,0.0,1.0,176,0.37946177185058594,False,REGULAR,USD
15,ALL210115C00115000,1586372752,115.0,5.9,6.2,7.9,0.0,0.0,1.0,106,0.37439590454101557,False,REGULAR,USD
16,ALL210115C00120000,1585922627,120.0,3.52,4.8,6.4,0.0,0.0,1.0,824,0.3682314154052735,False,REGULAR,USD
17,ALL210115C00125000,1583175436,125.0,3.05,0.79,2.7,0.0,0.0,10.0,61,0.2769237347412109,False,REGULAR,USD
18,ALL210115C00130000,1585922627,130.0,3.52,2.5,4.3,1.3199999,59.999996,10.0,71,0.36499658447265626,False,REGULAR,USD
19,ALL210115C00135000,1582641528,135.0,2.75,0.08,3.45,0.0,0.0,3.0,91,0.36157864990234373,False,REGULAR,USD
20,ALL210115C00140000,1585928291,140.0,1.0,0.85,4.65,0.0,0.0,78.0,238,0.43231768859863284,False,REGULAR,USD
21,ALL210115C00145000,1584551513,145.0,1.6,0.84,4.5,1.1,220.0,6.0,195,0.45178770874023444,False,REGULAR,USD
22,ALL210115C00150000,1582572419,150.0,0.91,0.0,3.7,0.0,0.0,,1,0.44397528686523435,False,REGULAR,USD
