,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,MDT210115C00040000,1584742584,40.0,42.5,59.0,63.6,0.0,0.0,,0,0.5351608984375,True,REGULAR,USD
1,MDT210115C00042500,1577208249,42.5,71.18,76.15,80.3,0.0,0.0,64.0,0,2.050908193054199,True,REGULAR,USD
2,MDT210115C00045000,1564068302,45.0,55.5,58.7,63.5,0.0,0.0,1.0,1,0.9775392871093751,True,REGULAR,USD
3,MDT210115C00047500,1585835086,47.5,36.8,51.7,56.5,0.0,0.0,1.0,0,0.5085498364257812,True,REGULAR,USD
4,MDT210115C00050000,1586270253,50.0,45.05,49.3,54.0,0.0,0.0,2.0,0,0.7249783361816406,True,REGULAR,USD
5,MDT210115C00055000,1584126322,55.0,32.55,45.1,49.35,0.0,0.0,9.0,0,0.6694368994140626,True,REGULAR,USD
6,MDT210115C00060000,1586442826,60.0,42.0,40.6,43.6,15.0,55.555557,1.0,0,0.5455367712402344,True,REGULAR,USD
7,MDT210115C00065000,1585921165,65.0,26.5,36.2,39.1,0.0,0.0,2.0,0,0.5106250109863282,True,REGULAR,USD
8,MDT210115C00070000,1586358252,70.0,34.2,31.75,34.75,3.9500008,13.057854,1.0,0,0.4808401525878906,True,REGULAR,USD
9,MDT210115C00072500,1585672496,72.5,24.65,31.2,32.65,0.0,0.0,4.0,0,0.4681449670410156,True,REGULAR,USD
10,MDT210115C00075000,1586457810,75.0,30.1,29.1,32.0,7.1000004,30.869568,10.0,0,0.5163622583007812,True,REGULAR,USD
11,MDT210115C00077500,1586454761,77.5,28.5,25.65,28.8,4.129999,16.947062,1.0,0,0.4534966760253906,True,REGULAR,USD
12,MDT210115C00080000,1586461205,80.0,26.11,23.5,26.9,6.08,30.354467,5.0,0,0.44434149414062496,True,REGULAR,USD
13,MDT210115C00082500,1585852502,82.5,13.92,21.85,25.0,0.0,0.0,4.0,0,0.4335994140625,True,REGULAR,USD
14,MDT210115C00085000,1586372604,85.0,21.0,20.3,23.05,0.0,0.0,11.0,0,0.4195614685058594,True,REGULAR,USD
15,MDT210115C00087500,1586194581,87.5,15.56,18.1,21.4,0.0,0.0,3.0,0,0.41431249755859373,True,REGULAR,USD
16,MDT210115C00090000,1586450354,90.0,19.0,16.45,19.55,2.8999996,18.012419,40.0,0,0.4005797247314453,True,REGULAR,USD
17,MDT210115C00092500,1586450836,92.5,18.0,14.75,18.0,3.0,20.0,1.0,0,0.3948424774169922,True,REGULAR,USD
18,MDT210115C00095000,1586457690,95.0,16.0,14.85,16.55,3.1000004,24.031012,10.0,0,0.3900817828369141,True,REGULAR,USD
19,MDT210115C00097500,1586373742,97.5,12.89,12.55,14.9,0.0,0.0,145.0,0,0.3775086663818359,True,REGULAR,USD
20,MDT210115C00100000,1586455940,100.0,13.01,11.0,13.4,1.8900003,16.996407,9.0,0,0.36749900085449216,True,REGULAR,USD
21,MDT210115C00105000,1586462138,105.0,10.04,8.95,10.9,0.78999996,8.54054,11.0,0,0.3560245062255859,False,REGULAR,USD
22,MDT210115C00110000,1586448444,110.0,7.55,6.15,8.7,0.5500002,7.8571453,13.0,0,0.3448551843261719,False,REGULAR,USD
23,MDT210115C00115000,1586364201,115.0,4.8,5.05,6.7,0.0,0.0,1.0,0,0.331061376953125,False,REGULAR,USD
24,MDT210115C00120000,1586457294,120.0,4.8,4.2,5.25,0.8000002,20.000004,2.0,0,0.32532412963867186,False,REGULAR,USD
25,MDT210115C00125000,1586456394,125.0,3.05,2.57,3.95,0.049999952,1.6666651,3.0,0,0.31629101684570304,False,REGULAR,USD
26,MDT210115C00130000,1586455566,130.0,2.6,1.48,2.9,0.6999999,36.842102,6.0,0,0.30750204223632804,False,REGULAR,USD
27,MDT210115C00135000,1586361880,135.0,1.3,0.92,3.7,0.0,0.0,1.0,0,0.36524072265625,False,REGULAR,USD
28,MDT210115C00140000,1585924719,140.0,0.43,0.78,2.89,0.0,0.0,11.0,0,0.3588931298828125,False,REGULAR,USD
29,MDT210115C00145000,1586288502,145.0,0.5,0.53,1.6,0.0,0.0,4.0,0,0.3210517114257812,False,REGULAR,USD
30,MDT210115C00150000,1585661413,150.0,0.5,0.0,4.55,0.0,0.0,10.0,124,0.4712577288818359,False,REGULAR,USD
31,MDT210115C00155000,1586441329,155.0,0.4,0.14,0.5,0.099999994,33.333332,1.0,0,0.2795482202148437,False,REGULAR,USD
