,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,TGT210115P00032500,1586286775,32.5,0.33,0.14,1.28,0.0,0.0,52,3412,0.7836935693359376,False,REGULAR,USD
1,TGT210115P00035000,1585664660,35.0,0.41,0.35,1.36,-0.82000005,-66.66667,1,1406,0.7656273437500001,False,REGULAR,USD
2,TGT210115P00037500,1586375478,37.5,0.3,0.07,1.82,0.0,0.0,2,451,0.7368190380859375,False,REGULAR,USD
3,TGT210115P00040000,1585332862,40.0,1.4,0.01,1.32,0.0,0.0,12,450,0.6457554956054687,False,REGULAR,USD
4,TGT210115P00042500,1586373241,42.5,0.79,0.0,2.32,0.0,0.0,1,137,0.6857941577148439,False,REGULAR,USD
5,TGT210115P00045000,1584461642,45.0,2.37,0.35,1.87,0.0,0.0,10,141,0.6403844555664062,False,REGULAR,USD
6,TGT210115P00047500,1586445215,47.5,1.35,0.68,2.85,0.25,22.727272,2,34,0.6777375976562501,False,REGULAR,USD
7,TGT210115P00050000,1585068038,50.0,1.0,0.07,1.78,0.0,0.0,1,360,0.5466353930664063,False,REGULAR,USD
8,TGT210115P00055000,1585855657,55.0,2.45,1.21,3.65,0.0,0.0,1,330,0.6243934045410158,False,REGULAR,USD
9,TGT210115P00057500,1585235735,57.5,2.15,0.06,3.85,0.0,0.0,3,76,0.5526167785644531,False,REGULAR,USD
10,TGT210115P00060000,1586363379,60.0,1.89,1.62,2.4,-0.00999999,-0.5263153,4,1821,0.5246629565429688,False,REGULAR,USD
11,TGT210115P00062500,1585758612,62.5,3.4,0.81,4.45,0.0,0.0,1,61,0.5363815893554689,False,REGULAR,USD
12,TGT210115P00065000,1586184735,65.0,2.72,1.16,4.6,0.0,0.0,10,652,0.5200243310546875,False,REGULAR,USD
13,TGT210115P00067500,1586359924,67.5,2.8,1.48,4.7,0.0,0.0,1,82,0.5007374145507812,False,REGULAR,USD
14,TGT210115P00070000,1586452913,70.0,3.25,1.57,4.7,0.1500001,4.8387127,8,1173,0.5518233294677735,False,REGULAR,USD
15,TGT210115P00072500,1585932226,72.5,5.85,2.29,5.05,0.0,0.0,6,358,0.5344895184326173,False,REGULAR,USD
16,TGT210115P00075000,1586371421,75.0,4.0,2.76,5.55,0.0,0.0,12,527,0.5230150238037108,False,REGULAR,USD
17,TGT210115P00077500,1585927340,77.5,7.45,3.05,6.45,0.0,0.0,78,290,0.5264329583740235,False,REGULAR,USD
18,TGT210115P00080000,1586279287,80.0,5.0,3.45,7.35,-0.13000011,-2.5341153,5,483,0.5270433038330078,False,REGULAR,USD
19,TGT210115P00082500,1586373515,82.5,5.55,4.55,7.8,0.0,0.0,2,411,0.5090381127929688,False,REGULAR,USD
20,TGT210115P00085000,1586451088,85.0,6.5,4.8,8.6,0.1500001,2.3622062,1,520,0.5025684509277344,False,REGULAR,USD
21,TGT210115P00087500,1586455168,87.5,7.27,5.85,9.6,0.26999998,3.8571424,1,530,0.501103621826172,False,REGULAR,USD
22,TGT210115P00090000,1586459747,90.0,8.0,6.65,10.25,0.25,3.2258062,2,515,0.4865773999023438,False,REGULAR,USD
23,TGT210115P00092500,1586373795,92.5,8.65,7.65,10.2,0.0,0.0,2,1849,0.4492852923583984,False,REGULAR,USD
24,TGT210115P00095000,1586458416,95.0,9.87,8.1,12.15,0.069999695,0.7142826,2,1471,0.47247841979980465,False,REGULAR,USD
25,TGT210115P00097500,1586448379,97.5,10.52,9.45,13.25,0.020000458,0.19048056,1,1123,0.46759565612792964,False,REGULAR,USD
26,TGT210115P00100000,1586268307,100.0,11.7,10.9,13.9,0.0,0.0,3,3890,0.44824770507812495,False,REGULAR,USD
27,TGT210115P00105000,1586187491,105.0,18.56,12.8,16.65,0.0,0.0,7,1367,0.44672184143066407,True,REGULAR,USD
28,TGT210115P00110000,1586370532,110.0,16.66,14.95,17.75,0.0,0.0,57,1635,0.3934386828613281,True,REGULAR,USD
29,TGT210115P00115000,1586289465,115.0,22.65,18.55,22.25,0.0,0.0,80,1625,0.42743492492675783,True,REGULAR,USD
30,TGT210115P00120000,1586375765,120.0,23.0,22.35,26.5,0.0,0.0,2,677,0.4491632232666015,True,REGULAR,USD
31,TGT210115P00125000,1586443502,125.0,26.9,25.15,29.4,-1.3199997,-4.6775327,10,341,0.42804527038574225,True,REGULAR,USD
32,TGT210115P00130000,1586277329,130.0,32.0,29.0,32.4,-1.0,-3.030303,30,424,0.40320421020507813,True,REGULAR,USD
33,TGT210115P00135000,1584985832,135.0,40.43,33.1,37.35,0.0,0.0,2,223,0.4325007922363281,True,REGULAR,USD
34,TGT210115P00140000,1585931469,140.0,49.4,37.65,41.65,0.0,0.0,108,260,0.43884838500976564,True,REGULAR,USD
