,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,MET220121P00012500,1585835692,12.5,2.0,0.0,2.27,0.0,0.0,2.0,3,0.6835969140625001,False,REGULAR,USD
1,MET220121P00015000,1585926761,15.0,3.0,1.03,4.6,0.0,0.0,1.0,46,0.81445498046875,False,REGULAR,USD
2,MET220121P00020000,1586276413,20.0,3.0,2.39,6.0,0.0,0.0,1.0,16,0.729494892578125,False,REGULAR,USD
3,MET220121P00022500,1585330451,22.5,5.99,3.65,7.0,0.0,0.0,3.0,112,0.7226590234375,False,REGULAR,USD
4,MET220121P00025000,1586355210,25.0,5.6,4.4,7.5,0.0,0.0,1.0,69,0.6705355212402344,False,REGULAR,USD
5,MET220121P00027500,1586459436,27.5,5.73,5.25,8.5,-6.27,-52.249996,10.0,45,0.6405065246582031,False,REGULAR,USD
6,MET220121P00030000,1584375199,30.0,11.85,5.55,8.3,0.0,0.0,5.0,26,0.5526167785644531,False,REGULAR,USD
7,MET220121P00032500,1585066465,32.5,12.5,6.4,10.0,0.0,0.0,8.0,17,0.5424850439453126,False,REGULAR,USD
8,MET220121P00035000,1586460172,35.0,9.18,7.85,11.5,-1.0299997,-10.088146,4.0,1274,0.5388229711914063,False,REGULAR,USD
9,MET220121P00037500,1586372556,37.5,11.55,8.95,13.0,0.0,0.0,6.0,2586,0.5207567456054687,True,REGULAR,USD
10,MET220121P00040000,1586440861,40.0,11.5,11.2,14.35,-10.25,-47.126434,21.0,1082,0.5258226129150392,True,REGULAR,USD
11,MET220121P00042500,1584029327,42.5,21.54,12.7,15.85,0.0,0.0,1.0,83,0.5106250109863282,True,REGULAR,USD
12,MET220121P00045000,1584642159,45.0,21.11,13.1,17.4,0.0,0.0,62.0,253,0.5780071496582031,True,REGULAR,USD
13,MET220121P00047500,1584030784,47.5,23.61,14.6,19.0,0.0,0.0,1.0,15,0.5611616149902343,True,REGULAR,USD
14,MET220121P00050000,1583856262,50.0,20.85,17.7,19.6,0.0,0.0,3.0,50,0.4880422290039063,True,REGULAR,USD
15,MET220121P00052500,1568749327,52.5,11.1,10.7,13.8,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD
16,MET220121P00055000,1585243963,55.0,11.7,28.8,30.6,0.0,0.0,,0,0.8087177331542967,True,REGULAR,USD
17,MET220121P00060000,1578679549,60.0,11.6,11.3,12.6,0.0,0.0,15.0,20,1.0000000000000003e-05,True,REGULAR,USD
18,MET220121P00065000,1582002286,65.0,15.15,40.7,44.05,0.0,0.0,,0,1.0333300286865237,True,REGULAR,USD
19,MET220121P00070000,1578679554,70.0,19.35,18.95,20.2,0.0,0.0,16.0,23,1.0000000000000003e-05,True,REGULAR,USD
20,MET220121P00075000,1584369656,75.0,48.98,38.7,42.8,0.0,0.0,,3,0.5727581787109376,True,REGULAR,USD
