,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,UPS220121C00042500,1586451756,42.5,56.55,54.0,58.7,0.25,0.44404978,1.0,7,0.5288133056640626,True,REGULAR,USD
1,UPS220121C00045000,1584732244,45.0,48.0,51.5,56.0,0.0,0.0,1.0,1,0.4862111926269531,True,REGULAR,USD
2,UPS220121C00050000,1586187597,50.0,44.5,47.05,51.5,0.0,0.0,5.0,26,0.458135301513672,True,REGULAR,USD
3,UPS220121C00055000,1582662109,55.0,39.5,42.0,46.0,0.0,0.0,1.0,0,0.3816590155029296,True,REGULAR,USD
4,UPS220121C00060000,1585682692,60.0,36.6,38.0,42.5,0.0,0.0,1.0,17,0.39942006835937505,True,REGULAR,USD
5,UPS220121C00065000,1583355120,65.0,31.7,26.7,31.4,0.0,0.0,5.0,0,1.0000000000000003e-05,True,REGULAR,USD
6,UPS220121C00070000,1586280240,70.0,30.05,29.65,34.1,0.0,0.0,2.0,350,0.35736726623535153,True,REGULAR,USD
7,UPS220121C00075000,1584543835,75.0,31.0,26.0,30.75,0.0,0.0,6.0,54,0.3557803680419921,True,REGULAR,USD
8,UPS220121C00080000,1586444151,80.0,24.2,22.5,27.2,0.95000076,4.0860248,10.0,55,0.34339035522460937,True,REGULAR,USD
9,UPS220121C00085000,1586181830,85.0,22.0,19.95,24.5,3.5499992,19.241186,2.0,143,0.3460453579711914,True,REGULAR,USD
10,UPS220121C00087500,1586280183,87.5,20.54,18.05,22.7,2.540001,14.111116,120.0,135,0.33551689880371094,True,REGULAR,USD
11,UPS220121C00090000,1586459211,90.0,18.0,16.5,21.0,0.040000916,0.22272226,161.0,247,0.32642275146484373,True,REGULAR,USD
12,UPS220121C00092500,1586451481,92.5,18.0,15.3,19.7,4.75,35.849056,1.0,53,0.32462223236083976,True,REGULAR,USD
13,UPS220121C00095000,1586458204,95.0,15.0,13.65,17.5,-0.25,-1.6393442,5.0,297,0.3037789349365234,True,REGULAR,USD
14,UPS220121C00097500,1586448735,97.5,15.0,12.1,15.65,1.5,11.111112,273.0,142,0.28934426483154285,True,REGULAR,USD
15,UPS220121C00100000,1586452803,100.0,14.65,11.05,15.6,1.7699995,13.742232,2.0,227,0.3087532504272461,False,REGULAR,USD
16,UPS220121C00105000,1585577174,105.0,10.83,9.35,14.0,-0.52999973,-4.6654906,3.0,206,0.31476515319824216,False,REGULAR,USD
17,UPS220121C00110000,1586458780,110.0,9.0,7.2,12.0,-0.39999962,-4.2553153,5.0,577,0.30902790588378903,False,REGULAR,USD
18,UPS220121C00115000,1585238896,115.0,7.67,5.55,9.95,0.5700002,8.028172,1.0,237,0.29846892944335934,False,REGULAR,USD
19,UPS220121C00120000,1586441028,120.0,5.9,5.5,7.0,-0.5,-7.8125,2.0,337,0.26557130920410155,False,REGULAR,USD
20,UPS220121C00125000,1586362026,125.0,4.6,3.3,7.95,0.0,0.0,2.0,1280,0.3078682495117187,False,REGULAR,USD
21,UPS220121C00130000,1586456218,130.0,4.0,3.4,4.0,0.4000001,11.1111145,7.0,108,0.24231714721679687,False,REGULAR,USD
22,UPS220121C00135000,1586453505,135.0,3.25,1.43,3.05,0.49,17.753624,3.0,46,0.23596955444335935,False,REGULAR,USD
23,UPS220121C00140000,1586352602,140.0,2.68,0.7,2.81,0.0,0.0,10.0,517,0.24549094360351562,False,REGULAR,USD
24,UPS220121C00145000,1586369001,145.0,1.6,0.8,5.0,0.0,0.0,11.0,23,0.31821360504150387,False,REGULAR,USD
25,UPS220121C00150000,1585762515,150.0,1.65,0.95,1.55,0.0,0.0,3.0,44,0.2327347235107422,False,REGULAR,USD
26,UPS220121C00155000,1586278252,155.0,0.85,0.3,3.4,0.0,0.0,7.0,19,0.30597617858886716,False,REGULAR,USD
27,UPS220121C00160000,1584974240,160.0,1.54,0.16,2.8,0.0,0.0,1.0,84,0.30121548400878906,False,REGULAR,USD
28,UPS220121C00165000,1574697677,165.0,2.2,0.44,3.35,0.0,0.0,,1,0.3303899969482421,False,REGULAR,USD
29,UPS220121C00170000,1584372248,170.0,0.4,0.0,1.33,0.0,0.0,1.0,0,0.26978269287109374,False,REGULAR,USD
30,UPS220121C00175000,1584543294,175.0,0.38,0.0,1.48,0.0,0.0,5.0,34,0.28693340026855463,False,REGULAR,USD
31,UPS220121C00180000,1579274114,180.0,0.67,0.01,0.46,0.0,0.0,22.0,21,0.23645783081054686,False,REGULAR,USD
32,UPS220121C00185000,1586374917,185.0,0.3,0.0,0.5,0.050000012,20.000004,2.0,238,0.24829853271484376,False,REGULAR,USD
