,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,HD200501C00100000,1585684158,100.0,101.0,99.1,104.0,0.0,0.0,1.0,2,0.98437515625,True,REGULAR,USD
1,HD200501C00115000,1585058266,115.0,65.05,85.1,89.2,0.0,0.0,,1,1.2509803076171875,True,REGULAR,USD
2,HD200501C00120000,1585058266,120.0,60.35,79.6,84.2,0.0,0.0,1.0,1,1.0698288696289064,True,REGULAR,USD
3,HD200501C00125000,1585058264,125.0,55.6,75.0,79.0,0.0,0.0,1.0,1,1.0361376318359379,True,REGULAR,USD
4,HD200501C00130000,1585058272,130.0,50.95,70.0,74.2,0.0,0.0,,1,0.9951172363281251,True,REGULAR,USD
5,HD200501C00140000,1586443929,140.0,65.0,60.2,64.6,22.0,51.162792,1.0,1,0.9238288867187501,True,REGULAR,USD
6,HD200501C00145000,1584555672,145.0,20.23,55.2,59.8,0.0,0.0,,1,0.870118486328125,True,REGULAR,USD
7,HD200501C00148000,1585065573,148.0,34.9,52.6,56.6,0.0,0.0,2.0,2,0.8439957006835936,True,REGULAR,USD
8,HD200501C00150000,1585938235,150.0,31.05,50.5,54.6,0.0,0.0,3.0,46,0.8054218676757812,True,REGULAR,USD
9,HD200501C00155000,1584979185,155.0,17.85,45.3,49.8,0.0,0.0,2.0,10,0.7329128271484374,True,REGULAR,USD
10,HD200501C00160000,1586267507,160.0,41.52,40.6,45.4,0.0,0.0,7.0,11,0.7258328198242188,True,REGULAR,USD
11,HD200501C00162500,1585671946,162.5,31.93,38.0,42.8,0.0,0.0,,1,0.6755403540039064,True,REGULAR,USD
12,HD200501C00165000,1586443088,165.0,41.0,36.1,39.95,4.630001,12.730275,5.0,25,0.6543003320312502,True,REGULAR,USD
13,HD200501C00170000,1586274921,170.0,31.3,31.35,35.35,0.0,0.0,1.0,12,0.6154823608398439,True,REGULAR,USD
14,HD200501C00172500,1585329761,172.5,26.92,29.25,33.7,0.0,0.0,1.0,1,0.6364782446289063,True,REGULAR,USD
15,HD200501C00175000,1586359012,175.0,22.89,27.15,30.8,0.0,0.0,2.0,25,0.5960733752441407,True,REGULAR,USD
16,HD200501C00177500,1586274449,177.5,25.03,24.95,29.05,0.0,0.0,1.0,0,0.5981485498046876,True,REGULAR,USD
17,HD200501C00180000,1586282340,180.0,21.0,22.65,26.65,0.0,0.0,3.0,18,0.5671430004882813,True,REGULAR,USD
18,HD200501C00182500,1586193771,182.5,12.47,20.75,24.35,0.0,0.0,1.0,3,0.5524947094726562,True,REGULAR,USD
19,HD200501C00185000,1586454532,185.0,22.12,18.75,22.55,5.75,35.12523,10.0,23,0.5476119458007813,True,REGULAR,USD
20,HD200501C00190000,1586190951,190.0,12.95,14.75,18.25,0.0,0.0,1.0,82,0.5042774182128906,True,REGULAR,USD
21,HD200501C00192500,1586451466,192.5,18.0,12.9,16.75,6.8999996,62.162155,4.0,92,0.5002491381835938,True,REGULAR,USD
22,HD200501C00195000,1586456193,195.0,15.4,11.1,15.25,5.04,48.64865,5.0,36,0.6029092443847659,True,REGULAR,USD
23,HD200501C00197500,1586442315,197.5,13.0,9.5,13.6,4.5,52.941177,2.0,39,0.5875895733642578,True,REGULAR,USD
24,HD200501C00200000,1586456422,200.0,11.54,7.9,11.9,3.8600001,50.260418,24.0,189,0.5658002404785156,True,REGULAR,USD
25,HD200501C00202500,1586456193,202.5,10.57,8.0,11.2,4.3199997,69.119995,8.0,35,0.5096484582519532,False,REGULAR,USD
26,HD200501C00205000,1586462295,205.0,7.5,5.95,8.5,1.8000002,31.578953,22.0,131,0.5096484582519532,False,REGULAR,USD
27,HD200501C00210000,1586442430,210.0,6.75,3.2,7.0,3.53,109.62733,4.0,54,0.5316208947753907,False,REGULAR,USD
28,HD200501C00212500,1586367050,212.5,2.36,2.15,6.6,0.0,0.0,25.0,27,0.5550581604003908,False,REGULAR,USD
29,HD200501C00215000,1586461800,215.0,3.75,1.69,5.15,1.83,95.31251,33.0,34,0.5174608801269531,False,REGULAR,USD
30,HD200501C00217500,1586451897,217.5,4.43,0.69,4.35,4.1,1242.4242,2.0,5,0.509892596435547,False,REGULAR,USD
31,HD200501C00220000,1586461304,220.0,3.2,0.8,3.85,1.95,156.0,22.0,96,0.5155077746582031,False,REGULAR,USD
32,HD200501C00222500,1586448802,222.5,2.5,0.05,2.85,1.09,77.30497,1.0,5,0.4840139489746094,False,REGULAR,USD
33,HD200501C00225000,1586441854,225.0,1.4,1.23,3.5,0.66999996,91.780815,2.0,23,0.559574716796875,False,REGULAR,USD
34,HD200501C00227500,1586440403,227.5,1.25,0.06,2.02,0.5,66.66667,2.0,41,0.48254911987304694,False,REGULAR,USD
35,HD200501C00230000,1586447942,230.0,1.0,0.04,4.65,-0.42999995,-30.069927,2.0,7,0.5365036584472658,False,REGULAR,USD
36,HD200501C00237500,1584058823,237.5,8.4,0.02,4.85,0.0,0.0,,1,0.6247596118164063,False,REGULAR,USD
37,HD200501C00240000,1586275935,240.0,2.22,0.01,4.65,0.0,0.0,1.0,8,0.641605146484375,False,REGULAR,USD
38,HD200501C00260000,1584644995,260.0,1.0,0.0,4.45,0.0,0.0,1.0,1,0.8176287768554686,False,REGULAR,USD
39,HD200501C00265000,1584331631,265.0,1.2,0.0,4.5,0.0,0.0,,1,0.8623060644531251,False,REGULAR,USD
