,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,MA200508C00200000,1586272206,200.0,70.01,68.8,73.5,0.0,0.0,2.0,32,0.749148016357422,True,REGULAR,USD
1,MA200508C00225000,1585834913,225.0,21.55,46.8,50.7,0.0,0.0,,2,0.6774934594726563,True,REGULAR,USD
2,MA200508C00227500,1585857278,227.5,22.2,44.3,48.4,0.0,0.0,,3,0.6550327465820314,True,REGULAR,USD
3,MA200508C00230000,1585243472,230.0,38.45,42.2,46.5,0.0,0.0,,6,0.6532017102050782,True,REGULAR,USD
4,MA200508C00237500,1585770230,237.5,13.0,36.2,40.1,0.0,0.0,,1,0.6276892700195313,True,REGULAR,USD
5,MA200508C00240000,1585943791,240.0,13.4,34.25,38.5,0.0,0.0,4.0,4,0.6292151336669922,True,REGULAR,USD
6,MA200508C00245000,1586179963,245.0,18.25,30.35,34.85,0.0,0.0,1.0,1,0.6167030517578126,True,REGULAR,USD
7,MA200508C00250000,1586371672,250.0,31.0,26.75,31.0,3.5,12.727272,5.0,15,0.5998575170898439,True,REGULAR,USD
8,MA200508C00252500,1585849613,252.5,7.1,25.0,29.35,0.0,0.0,,1,0.5950968225097657,True,REGULAR,USD
9,MA200508C00257500,1586182687,257.5,24.11,21.0,25.5,0.0,0.0,3.0,3,0.5618940295410157,True,REGULAR,USD
10,MA200508C00260000,1586354698,260.0,16.43,19.55,23.95,0.0,0.0,7.0,12,0.5592695440673829,True,REGULAR,USD
11,MA200508C00262500,1586266648,262.5,23.0,17.9,22.95,0.0,0.0,1.0,1,0.5606123040771485,True,REGULAR,USD
12,MA200508C00265000,1586354191,265.0,12.0,16.9,21.0,0.0,0.0,1.0,2,0.5549360913085939,True,REGULAR,USD
13,MA200508C00267500,1586373731,267.5,15.0,15.05,19.5,0.0,0.0,4.0,5,0.5407150421142579,True,REGULAR,USD
14,MA200508C00270000,1586459925,270.0,16.4,13.95,17.7,2.3999996,17.142855,2.0,6,0.532109171142578,False,REGULAR,USD
15,MA200508C00280000,1586461190,280.0,11.49,8.7,12.95,1.2299995,11.988299,13.0,5,0.5039722454833984,False,REGULAR,USD
16,MA200508C00290000,1586462263,290.0,6.45,4.1,8.15,-3.5,-35.17588,133.0,8,0.523320196533203,False,REGULAR,USD
17,MA200508C00310000,1586462203,310.0,1.6,0.5,2.18,0.39999998,33.333332,4.0,33,0.4325007922363281,False,REGULAR,USD
18,MA200508C00320000,1585664346,320.0,0.1,0.0,4.7,0.0,0.0,,19,0.5083056982421875,False,REGULAR,USD
