,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,CVX200515P00030000,1586371976,30.0,0.02,0.02,0.07,0.0,0.0,6,364,1.3281283593749997,False,REGULAR,USD
1,CVX200515P00032500,1585671462,32.5,0.25,0.0,0.12,0.0,0.0,2,10,1.2773473632812498,False,REGULAR,USD
2,CVX200515P00035000,1585338602,35.0,0.8,0.0,0.13,0.0,0.0,13,31,1.1953165234375,False,REGULAR,USD
3,CVX200515P00037500,1586188684,37.5,0.08,0.05,0.1,0.0,0.0,4,44,1.12891060546875,False,REGULAR,USD
4,CVX200515P00040000,1586453995,40.0,0.05,0.02,0.17,-0.029999997,-37.499996,7,183,1.0781296093750001,False,REGULAR,USD
5,CVX200515P00042500,1585939409,42.5,0.44,0.0,0.27,0.0,0.0,3,9,1.05078599609375,False,REGULAR,USD
6,CVX200515P00045000,1586447664,45.0,0.18,0.07,0.45,-0.120000005,-40.0,8,1359,1.0800827246093752,False,REGULAR,USD
7,CVX200515P00047500,1586456467,47.5,0.22,0.13,0.62,-0.019999996,-8.333332,10,41,1.0683640332031252,False,REGULAR,USD
8,CVX200515P00050000,1586461987,50.0,0.26,0.2,0.46,-0.060000002,-18.750002,9,411,0.9609378906249999,False,REGULAR,USD
9,CVX200515P00052500,1586455082,52.5,0.3,0.26,0.62,0.0,0.0,24,72,0.936524072265625,False,REGULAR,USD
10,CVX200515P00055000,1586461430,55.0,0.51,0.5,0.55,-0.04000002,-7.272731,440,1777,0.89257919921875,False,REGULAR,USD
11,CVX200515P00057500,1586460821,57.5,0.65,0.46,1.35,-0.060000002,-8.450705,146,111,0.93164130859375,False,REGULAR,USD
12,CVX200515P00060000,1586461808,60.0,0.95,0.45,1.48,0.06999999,7.9545445,193,750,0.8647474462890624,False,REGULAR,USD
13,CVX200515P00062500,1586460307,62.5,1.28,0.87,1.99,0.17999995,16.36363,24,285,0.8833019482421874,False,REGULAR,USD
14,CVX200515P00065000,1586457017,65.0,1.59,1.34,2.35,0.31000006,24.218756,37,504,0.8718274536132812,False,REGULAR,USD
15,CVX200515P00067500,1586459194,67.5,2.05,1.73,2.69,0.3499999,20.58823,15,218,0.840821904296875,False,REGULAR,USD
16,CVX200515P00070000,1586461769,70.0,2.35,2.16,2.34,0.26999998,12.980768,130,776,0.7563500927734376,False,REGULAR,USD
17,CVX200515P00072500,1586459133,72.5,3.15,2.33,3.6,0.59000015,23.04688,118,243,0.7587914746093751,False,REGULAR,USD
18,CVX200515P00075000,1586461870,75.0,3.7,3.3,3.7,0.54999995,17.460316,258,969,0.7258328198242188,False,REGULAR,USD
19,CVX200515P00077500,1586462176,77.5,4.05,3.8,4.45,0.3000002,8.000005,99,168,0.69336244140625,False,REGULAR,USD
20,CVX200515P00080000,1586461334,80.0,4.8,4.65,5.65,0.1500001,3.2258086,94,1457,0.6911651977539064,False,REGULAR,USD
21,CVX200515P00082500,1586462380,82.5,6.1,5.55,6.85,0.8499999,16.190474,216,234,0.6777375976562501,False,REGULAR,USD
22,CVX200515P00085000,1586462129,85.0,7.3,6.75,7.5,1.0500002,16.800003,191,803,0.6398961791992188,True,REGULAR,USD
23,CVX200515P00087500,1586455100,87.5,7.57,7.9,9.3,-0.19000006,-2.4484544,48,244,0.6411168701171875,True,REGULAR,USD
24,CVX200515P00090000,1586457499,90.0,10.55,9.2,10.85,1.6999998,19.209036,67,779,0.6245154736328126,True,REGULAR,USD
25,CVX200515P00092500,1586272102,92.5,11.65,10.25,12.75,0.0,0.0,1,136,0.5985147570800782,True,REGULAR,USD
26,CVX200515P00095000,1586457026,95.0,14.38,12.15,14.5,2.0,16.15509,18,1476,0.5944864770507813,True,REGULAR,USD
27,CVX200515P00097500,1586459597,97.5,15.4,14.25,16.3,-5.550001,-26.491652,7,547,0.5918009570312501,True,REGULAR,USD
28,CVX200515P00100000,1586371293,100.0,13.37,15.85,18.65,-4.0299997,-23.160917,19,2246,0.5793499096679688,True,REGULAR,USD
29,CVX200515P00105000,1586458825,105.0,22.9,20.4,23.0,2.1499996,10.361444,29,2118,0.5908244042968751,True,REGULAR,USD
30,CVX200515P00110000,1586458531,110.0,28.65,25.45,27.45,3.5,13.916501,14,4362,0.6247596118164063,True,REGULAR,USD
31,CVX200515P00115000,1586370190,115.0,32.05,30.6,34.0,0.0,0.0,2,893,0.8547377807617188,True,REGULAR,USD
32,CVX200515P00120000,1586449154,120.0,33.45,35.15,37.25,-1.4500008,-4.15473,8,629,0.7016631396484375,True,REGULAR,USD
33,CVX200515P00125000,1586460590,125.0,41.15,40.15,42.1,0.3500023,0.85784876,13,69,0.7387721435546875,True,REGULAR,USD
34,CVX200515P00130000,1586449685,130.0,43.05,45.2,47.0,-1.6000023,-3.5834317,10,134,0.7861349511718749,True,REGULAR,USD
35,CVX200515P00135000,1585848910,135.0,60.55,50.2,52.25,0.0,0.0,21,40,0.8818371191406249,True,REGULAR,USD
36,CVX200515P00140000,1586372870,140.0,54.9,55.25,56.95,0.0,0.0,8,60,0.8886729882812499,True,REGULAR,USD
37,CVX200515P00145000,1586371383,145.0,58.25,60.3,61.9,-2.2999992,-3.7985125,5,588,0.936524072265625,True,REGULAR,USD
