,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,SBUX200515P00030000,1586462233,30.0,0.09,0.06,0.09,-0.009999998,-9.999998,418.0,284,1.2656286718749998,False,REGULAR,USD
1,SBUX200515P00032500,1586461514,32.5,0.11,0.09,0.98,0.0,0.0,10.0,184,1.6123066259765624,False,REGULAR,USD
2,SBUX200515P00035000,1586457938,35.0,0.16,0.1,0.21,-0.060000002,-27.272728,6.0,227,1.18359783203125,False,REGULAR,USD
3,SBUX200515P00037500,1586362929,37.5,0.21,0.0,0.35,0.0,0.0,4.0,261,1.107426337890625,False,REGULAR,USD
4,SBUX200515P00040000,1586461477,40.0,0.25,0.16,0.55,-0.02000001,-7.407411,78.0,1443,1.1494183154296875,False,REGULAR,USD
5,SBUX200515P00042500,1586462112,42.5,0.29,0.28,0.46,-0.08000001,-21.621626,14.0,530,1.0595750146484377,False,REGULAR,USD
6,SBUX200515P00045000,1586459180,45.0,0.4,0.31,0.49,-0.049999982,-11.111108,24.0,527,0.9804689453125001,False,REGULAR,USD
7,SBUX200515P00047500,1586457264,47.5,0.51,0.45,0.52,-0.050000012,-8.928574,67.0,950,0.9282233740234375,False,REGULAR,USD
8,SBUX200515P00050000,1586462133,50.0,0.61,0.55,0.9,-0.089999974,-12.85714,217.0,2687,0.9248054394531251,False,REGULAR,USD
9,SBUX200515P00052500,1586461445,52.5,0.77,0.75,0.83,-0.110000014,-12.500002,126.0,1067,0.851563984375,False,REGULAR,USD
10,SBUX200515P00055000,1586461610,55.0,0.91,0.9,0.93,-0.19,-17.272728,453.0,2084,0.7934590966796875,False,REGULAR,USD
11,SBUX200515P00057500,1586462367,57.5,1.13,1.02,1.4,-0.24000001,-17.51825,308.0,664,0.7680687255859376,False,REGULAR,USD
12,SBUX200515P00060000,1586462395,60.0,1.44,1.37,1.44,-0.26,-15.294117,554.0,2227,0.7114286669921875,False,REGULAR,USD
13,SBUX200515P00062500,1586462101,62.5,1.77,1.63,2.02,-0.36000013,-16.901415,114.0,1040,0.68555001953125,False,REGULAR,USD
14,SBUX200515P00065000,1586462250,65.0,2.2,2.15,2.31,-0.5,-18.518518,1044.0,2409,0.6435582519531251,False,REGULAR,USD
15,SBUX200515P00067500,1586462354,67.5,2.76,2.76,3.05,-0.6600001,-19.298248,213.0,1677,0.6245154736328126,False,REGULAR,USD
16,SBUX200515P00070000,1586462379,70.0,3.5,3.5,3.75,-0.8000002,-18.604654,768.0,1994,0.5937540625000001,False,REGULAR,USD
17,SBUX200515P00072500,1586462363,72.5,4.4,4.35,4.6,-1.3499999,-23.47826,316.0,517,0.5607954077148438,False,REGULAR,USD
18,SBUX200515P00075000,1586462367,75.0,5.44,5.4,5.65,-1.21,-18.19549,237.0,425,0.5307664111328125,True,REGULAR,USD
19,SBUX200515P00077500,1586461573,77.5,6.9,6.65,6.9,-1.6500001,-19.298246,7.0,250,0.5012256909179689,True,REGULAR,USD
20,SBUX200515P00080000,1586461995,80.0,9.05,8.35,8.5,-1.0,-9.950249,29.0,885,0.5026905200195313,True,REGULAR,USD
21,SBUX200515P00082500,1586456040,82.5,10.75,8.7,10.55,-0.59000015,-5.202823,1.0,132,0.5246629565429688,True,REGULAR,USD
22,SBUX200515P00085000,1586461333,85.0,12.55,10.5,13.9,-3.25,-20.56962,15.0,446,0.7033721069335939,True,REGULAR,USD
23,SBUX200515P00087500,1586460782,87.5,14.75,12.25,16.6,-4.58,-23.69374,6.0,99,0.79687703125,True,REGULAR,USD
24,SBUX200515P00090000,1586442312,90.0,17.05,16.35,19.2,-2.880001,-14.4505825,6.0,41,0.6782258740234376,True,REGULAR,USD
25,SBUX200515P00095000,1585145482,95.0,30.41,19.0,24.2,0.0,0.0,1.0,47,0.5537154003906251,True,REGULAR,USD
26,SBUX200515P00100000,1585576892,100.0,35.25,24.05,28.8,0.0,0.0,1.0,1,0.577152666015625,True,REGULAR,USD
27,SBUX200515P00105000,1583945020,105.0,35.0,29.1,34.0,0.0,0.0,12.0,12,0.694338994140625,True,REGULAR,USD
28,SBUX200515P00110000,1584732135,110.0,50.0,34.0,38.6,0.0,0.0,4.0,2,0.6523472265625001,True,REGULAR,USD
29,SBUX200515P00115000,1584367109,115.0,53.83,39.0,43.6,0.0,0.0,,3,0.709963837890625,True,REGULAR,USD
