,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,SLB200515P00002500,1586460134,2.5,0.02,0.0,0.02,-0.06,-75.0,1,27,2.43750390625,False,REGULAR,USD
1,SLB200515P00005000,1586458705,5.0,0.04,0.01,0.09,-0.050000004,-55.555557,9,74,1.9375003125,False,REGULAR,USD
2,SLB200515P00007500,1586449869,7.5,0.09,0.02,0.15,-0.019999996,-18.181814,5,71,1.453127734375,False,REGULAR,USD
3,SLB200515P00010000,1586459667,10.0,0.28,0.18,0.26,0.02000001,7.6923122,62,5422,1.21875390625,False,REGULAR,USD
4,SLB200515P00012500,1586462251,12.5,0.55,0.5,0.63,0.030000031,5.7692366,164,2097,1.0781296093750001,False,REGULAR,USD
5,SLB200515P00015000,1586461034,15.0,1.18,1.08,1.32,0.14999998,14.563105,265,1190,0.938477177734375,False,REGULAR,USD
6,SLB200515P00017500,1586461710,17.5,2.33,2.36,2.42,0.3699999,18.877544,236,1701,0.8623060644531251,True,REGULAR,USD
7,SLB200515P00020000,1586444643,20.0,3.2,4.05,4.45,-0.85000014,-20.987658,52,1253,0.885743330078125,True,REGULAR,USD
8,SLB200515P00022500,1586375276,22.5,5.0,6.05,6.3,-0.61000013,-10.873442,3,2355,0.6972686523437501,True,REGULAR,USD
9,SLB200515P00025000,1586443759,25.0,6.9,8.1,8.75,-1.4999995,-17.857138,1,714,0.9492192578124999,True,REGULAR,USD
10,SLB200515P00027500,1586451826,27.5,9.76,10.6,11.2,-0.85999966,-8.097925,10,1333,1.0390673046875003,True,REGULAR,USD
11,SLB200515P00030000,1586443757,30.0,11.75,13.15,13.65,-3.1499996,-21.140938,3,7821,1.08984830078125,True,REGULAR,USD
12,SLB200515P00032500,1586443751,32.5,14.2,15.65,16.15,-1.1500006,-7.4918604,11,6537,1.19922275390625,True,REGULAR,USD
13,SLB200515P00035000,1586443751,35.0,16.7,18.25,18.7,-1.3999996,-7.7348046,5,6427,1.3808624707031247,True,REGULAR,USD
14,SLB200515P00037500,1586443751,37.5,19.2,20.65,21.25,-1.7199993,-8.221794,2,1243,1.5488303808593749,True,REGULAR,USD
15,SLB200515P00040000,1586443752,40.0,21.7,23.35,23.9,-5.049999,-18.878502,3,343,1.4140654296875002,True,REGULAR,USD
16,SLB200515P00042500,1585164955,42.5,27.9,25.65,26.4,0.0,0.0,1,10,1.9062504687500001,True,REGULAR,USD
17,SLB200515P00045000,1584473596,45.0,31.39,28.15,28.9,0.0,0.0,48,3,1.986328193359375,True,REGULAR,USD
18,SLB200515P00047500,1579790394,47.5,14.64,13.95,14.3,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
19,SLB200515P00050000,1580330352,50.0,16.65,22.35,23.7,0.0,0.0,5,3,1.0000000000000003e-05,True,REGULAR,USD
