,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,BA200619C00050000,1585836902,50.0,98.5,101.0,105.75,0.0,0.0,5,11,1.6196308081054687,True,REGULAR,USD
1,BA200619C00055000,1585931262,55.0,109.28,96.7,100.75,0.0,0.0,1,34,1.5637228845214843,True,REGULAR,USD
2,BA200619C00060000,1585165041,60.0,108.3,92.0,96.25,0.0,0.0,10,13,1.5122094702148439,True,REGULAR,USD
3,BA200619C00065000,1585151261,65.0,108.15,87.65,91.8,0.0,0.0,1,5,1.4851099963378904,True,REGULAR,USD
4,BA200619C00070000,1585152373,70.0,104.37,84.1,86.95,0.0,0.0,16,14,1.47265888671875,True,REGULAR,USD
5,BA200619C00075000,1586440973,75.0,85.0,79.25,82.5,8.0,10.38961,10,13,1.4007598321533201,True,REGULAR,USD
6,BA200619C00080000,1586456389,80.0,78.38,75.25,78.1,1.25,1.6206406,1,32,1.3737824279785156,True,REGULAR,USD
7,BA200619C00085000,1586371300,85.0,69.35,70.9,73.65,0.0,0.0,26,63,1.322879362182617,True,REGULAR,USD
8,BA200619C00090000,1586449494,90.0,71.2,67.35,68.3,8.949997,14.377504,5,125,1.2663610900878903,True,REGULAR,USD
9,BA200619C00095000,1586186670,95.0,50.1,63.1,64.15,0.0,0.0,2,58,1.226810506591797,True,REGULAR,USD
10,BA200619C00100000,1586455123,100.0,64.95,58.6,60.55,9.649998,17.450268,3,233,1.1938516870117186,True,REGULAR,USD
11,BA200619C00105000,1586185944,105.0,58.34,55.0,56.25,14.84,34.11494,2,138,1.1624797735595702,True,REGULAR,USD
12,BA200619C00110000,1586442131,110.0,51.45,51.0,52.35,1.4500008,2.9000015,14,292,1.1268354205322266,True,REGULAR,USD
13,BA200619C00115000,1586457381,115.0,48.99,47.15,48.65,2.9900017,6.5000033,2,98,1.096562134399414,True,REGULAR,USD
14,BA200619C00120000,1586363790,120.0,43.8,43.55,45.55,0.0,0.0,26,333,1.0827682580566407,True,REGULAR,USD
15,BA200619C00125000,1586455105,125.0,45.6,40.5,41.65,8.299999,22.25201,8,161,1.0570115509033202,True,REGULAR,USD
16,BA200619C00130000,1586441544,130.0,39.5,37.55,38.4,6.6500015,20.243538,17,181,1.0430345700073245,True,REGULAR,USD
17,BA200619C00135000,1586461763,135.0,33.85,33.6,35.55,0.8499985,2.575753,11,173,1.0106860989379882,True,REGULAR,USD
18,BA200619C00140000,1586461763,140.0,30.8,31.4,32.4,1.7999992,6.206894,83,5036,1.0035450213623045,True,REGULAR,USD
19,BA200619C00145000,1586457661,145.0,29.65,27.7,29.4,4.6900005,18.790066,50,261,0.9639285833740234,True,REGULAR,USD
20,BA200619C00150000,1586461796,150.0,25.2,25.65,26.35,1.8500004,7.922914,208,2159,0.9509282250976561,True,REGULAR,USD
21,BA200619C00155000,1586459382,155.0,24.0,22.4,23.9,3.4699993,16.90209,130,376,0.9212044012451173,False,REGULAR,USD
22,BA200619C00160000,1586461490,160.0,20.35,20.25,21.55,1.75,9.408602,124,646,0.9089364575195311,False,REGULAR,USD
23,BA200619C00165000,1586461819,165.0,18.0,17.7,18.9,1.7000008,10.429453,76,326,0.8782360809326171,False,REGULAR,USD
24,BA200619C00170000,1586462330,170.0,16.39,15.65,17.3,1.8899994,13.034478,80,630,0.8712171081542968,False,REGULAR,USD
25,BA200619C00175000,1586462391,175.0,14.0,14.0,14.5,1.8000002,14.7541,91,548,0.8436294934082031,False,REGULAR,USD
26,BA200619C00180000,1586462094,180.0,12.9,12.35,12.95,1.75,15.695068,85,1054,0.8343522424316405,False,REGULAR,USD
27,BA200619C00185000,1586462306,185.0,10.9,10.6,11.3,1.2999992,13.541658,19,399,0.8157977404785155,False,REGULAR,USD
28,BA200619C00190000,1586457619,190.0,9.5,8.85,9.9,0.75,8.571429,59,995,0.7965108239746093,False,REGULAR,USD
29,BA200619C00195000,1586458420,195.0,8.32,7.6,9.45,1.3099995,18.68758,73,335,0.8024311749267576,False,REGULAR,USD
30,BA200619C00200000,1586462385,200.0,7.2,7.0,8.25,1.0,16.129034,1361,2362,0.802187036743164,False,REGULAR,USD
31,BA200619C00205000,1586462063,205.0,6.1,6.0,7.2,0.46000004,8.156029,27,127,0.7918721984863282,False,REGULAR,USD
32,BA200619C00210000,1586458334,210.0,5.3,4.55,6.2,0.7800002,17.256641,28,531,0.7659935510253908,False,REGULAR,USD
33,BA200619C00215000,1586457402,215.0,4.85,4.25,4.75,1.05,27.631578,20,88,0.7515893981933592,False,REGULAR,USD
34,BA200619C00220000,1586462313,220.0,3.9,3.65,4.05,0.60000014,18.181824,587,915,0.7443873217773438,False,REGULAR,USD
35,BA200619C00225000,1586461308,225.0,3.25,3.2,3.9,0.45000005,16.07143,83,381,0.7546411254882812,False,REGULAR,USD
36,BA200619C00230000,1586461368,230.0,2.8,2.13,3.35,0.41999984,17.647053,43,343,0.727541787109375,False,REGULAR,USD
37,BA200619C00235000,1586460663,235.0,2.44,1.9,2.86,0.19000006,8.4444475,7,66,0.7260769580078125,False,REGULAR,USD
38,BA200619C00240000,1586455495,240.0,2.77,1.65,2.46,0.93999994,51.366116,62,491,0.7238797143554687,False,REGULAR,USD
39,BA200619C00245000,1586457669,245.0,1.97,1.27,2.05,0.42000008,27.09678,10,92,0.7113065979003907,False,REGULAR,USD
40,BA200619C00250000,1586461394,250.0,1.56,1.4,1.6,0.26,20.0,320,1167,0.7171659143066407,False,REGULAR,USD
41,BA200619C00255000,1586454961,255.0,1.72,1.2,1.66,0.52,43.333332,21,74,0.7307155834960937,False,REGULAR,USD
42,BA200619C00260000,1586458120,260.0,1.16,1.05,1.34,0.14999998,14.851482,27,389,0.7241238525390624,False,REGULAR,USD
43,BA200619C00265000,1586449709,265.0,1.19,0.83,1.28,0.29000008,32.222233,5,272,0.7258328198242188,False,REGULAR,USD
44,BA200619C00270000,1586459595,270.0,0.98,0.76,1.02,0.08000004,8.888893,252,2291,0.7214383325195313,False,REGULAR,USD
45,BA200619C00275000,1586449008,275.0,0.93,0.64,0.97,0.22000003,30.985922,2,442,0.7260769580078125,False,REGULAR,USD
46,BA200619C00280000,1586460936,280.0,0.72,0.66,0.75,0.04000002,5.882356,34,1165,0.726565234375,False,REGULAR,USD
47,BA200619C00285000,1586453407,285.0,0.81,0.55,0.74,0.16000003,24.615389,3,573,0.7321804125976561,False,REGULAR,USD
48,BA200619C00290000,1586447822,290.0,0.64,0.51,0.69,0.13,25.490194,28,4257,0.7392604199218749,False,REGULAR,USD
49,BA200619C00295000,1586451520,295.0,0.64,0.39,0.63,0.13999999,27.999996,1,697,0.7358424853515625,False,REGULAR,USD
50,BA200619C00300000,1586461713,300.0,0.47,0.45,0.58,0.02000001,4.4444466,176,2816,0.75195560546875,False,REGULAR,USD
51,BA200619C00305000,1586454350,305.0,0.55,0.35,0.54,0.16000003,41.02565,15,3627,0.7500025,False,REGULAR,USD
52,BA200619C00310000,1586455101,310.0,0.5,0.23,0.51,0.110000014,28.205132,5,1681,0.74414318359375,False,REGULAR,USD
53,BA200619C00315000,1586455544,315.0,0.47,0.34,0.48,0.19,67.85714,23,449,0.7685570019531252,False,REGULAR,USD
54,BA200619C00320000,1586457427,320.0,0.41,0.23,0.46,0.109999985,36.66666,176,1014,0.76367423828125,False,REGULAR,USD
55,BA200619C00325000,1586450675,325.0,0.36,0.25,0.43,0.060000002,20.0,42,3437,0.7749045947265626,False,REGULAR,USD
56,BA200619C00330000,1586455763,330.0,0.37,0.26,0.35,0.050000012,15.625005,45,4183,0.7763694238281251,False,REGULAR,USD
57,BA200619C00335000,1586457907,335.0,0.31,0.16,0.35,-0.03999999,-11.428569,26,274,0.770510107421875,False,REGULAR,USD
58,BA200619C00340000,1586451532,340.0,0.3,0.25,0.33,0.030000001,11.111112,10,4513,0.7954122021484374,False,REGULAR,USD
59,BA200619C00345000,1586450655,345.0,0.32,0.13,0.36,-0.030000001,-8.571429,2,561,0.790041162109375,False,REGULAR,USD
60,BA200619C00350000,1586455101,350.0,0.31,0.25,0.37,0.08,34.782608,950,6789,0.8261736132812498,False,REGULAR,USD
61,BA200619C00360000,1586453565,360.0,0.23,0.22,0.26,0.010000005,4.545457,16,2996,0.8212908496093749,False,REGULAR,USD
62,BA200619C00370000,1586459587,370.0,0.22,0.2,0.24,0.010000005,4.7619076,7,2599,0.8339860351562498,False,REGULAR,USD
63,BA200619C00380000,1586458004,380.0,0.18,0.1,0.22,0.010000005,5.882356,74,4971,0.8242205078124999,False,REGULAR,USD
64,BA200619C00390000,1586450779,390.0,0.18,0.1,0.18,0.030000001,20.0,7,1058,0.831056376953125,False,REGULAR,USD
65,BA200619C00400000,1586462385,400.0,0.13,0.12,0.14,0.0,0.0,85,7803,0.842775009765625,False,REGULAR,USD
66,BA200619C00410000,1586444594,410.0,0.12,0.11,0.19,0.009999998,9.090907,36,1571,0.87500125,False,REGULAR,USD
67,BA200619C00420000,1586287585,420.0,0.15,0.0,0.2,0.0,0.0,5,846,0.8554701953125,False,REGULAR,USD
68,BA200619C00430000,1586442812,430.0,0.12,0.12,0.23,-0.009999998,-7.6923065,3,580,0.9248054394531251,False,REGULAR,USD
69,BA200619C00440000,1586448082,440.0,0.13,0.1,0.12,0.03999999,44.44443,19,868,0.8964854101562498,False,REGULAR,USD
70,BA200619C00450000,1586375230,450.0,0.08,0.02,0.15,0.0,0.0,1,1039,0.8886729882812499,False,REGULAR,USD
71,BA200619C00460000,1586375217,460.0,0.08,0.01,0.18,0.0,0.0,3,755,0.914063359375,False,REGULAR,USD
72,BA200619C00470000,1585596774,470.0,0.13,0.02,0.14,0.0,0.0,2,873,0.914063359375,False,REGULAR,USD
73,BA200619C00480000,1586268405,480.0,0.06,0.0,0.18,0.0,0.0,3,358,0.93945373046875,False,REGULAR,USD
74,BA200619C00490000,1586444835,490.0,0.05,0.01,0.11,-0.05,-50.0,21,474,0.9179695703125,False,REGULAR,USD
75,BA200619C00500000,1586446437,500.0,0.07,0.01,0.2,0.010000002,16.66667,10,2487,0.98242205078125,False,REGULAR,USD
76,BA200619C00520000,1586283003,520.0,0.07,0.0,0.15,0.0,0.0,5,311,0.9765627343750001,False,REGULAR,USD
77,BA200619C00540000,1586457277,540.0,0.06,0.02,0.17,-0.09,-60.000004,1,395,1.0253954980468751,False,REGULAR,USD
78,BA200619C00560000,1586454189,560.0,0.03,0.02,0.08,-0.020000001,-40.000004,128,834,0.992187578125,False,REGULAR,USD
79,BA200619C00580000,1586282563,580.0,0.04,0.02,0.1,0.0,0.0,63,1048,1.0312548437500002,False,REGULAR,USD
80,BA200619C00600000,1586364675,600.0,0.04,0.01,0.08,0.01,33.333336,6,1272,1.0273486132812502,False,REGULAR,USD
81,BA200619C00620000,1586282154,620.0,0.05,0.01,0.15,0.0,0.0,40,731,1.1015669921875002,False,REGULAR,USD
82,BA200619C00630000,1586202833,630.0,0.05,0.01,0.15,0.0,0.0,2,139,1.11328568359375,False,REGULAR,USD
83,BA200619C00640000,1586270987,640.0,0.01,0.01,0.15,0.0,0.0,1,388,1.123051259765625,False,REGULAR,USD
84,BA200619C00650000,1586353309,650.0,0.01,0.01,0.08,0.0,0.0,1,1921,1.0781296093750001,False,REGULAR,USD
