,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,BRKB200619P00090000,1584742210,90.0,1.5,0.0,0.53,0.0,0.0,,1.0,0.8105487695312499,False,REGULAR,USD
1,BRKB200619P00095000,1586179821,95.0,0.09,0.0,1.01,0.0,0.0,1.0,12.0,0.8374039697265624,False,REGULAR,USD
2,BRKB200619P00100000,1585252421,100.0,0.4,0.0,1.27,0.0,0.0,,881.0,0.8149432568359375,False,REGULAR,USD
3,BRKB200619P00105000,1585243851,105.0,1.0,0.0,1.68,0.0,0.0,38.0,39.0,0.8017597949218749,False,REGULAR,USD
4,BRKB200619P00110000,1586180562,110.0,0.69,0.0,2.05,0.0,0.0,2.0,505.0,0.7788108056640625,False,REGULAR,USD
5,BRKB200619P00120000,1586375734,120.0,0.73,0.0,2.31,0.0,0.0,1.0,88.0,0.6928741650390625,False,REGULAR,USD
6,BRKB200619P00125000,1586353062,125.0,0.85,0.01,1.53,0.0,0.0,1.0,51.0,0.5913126806640626,False,REGULAR,USD
7,BRKB200619P00130000,1586462398,130.0,0.45,0.0,1.27,-0.75000006,-62.5,2.0,210.0,0.5258836474609375,False,REGULAR,USD
8,BRKB200619P00135000,1586449226,135.0,0.93,0.6,1.6,-0.31,-25.0,2.0,80.0,0.5427291821289064,False,REGULAR,USD
9,BRKB200619P00140000,1586362544,140.0,1.46,0.52,1.95,0.0,0.0,16.0,702.0,0.5114794946289063,False,REGULAR,USD
10,BRKB200619P00145000,1586461304,145.0,1.26,0.76,2.45,-0.49,-28.0,10.0,666.0,0.5614057531738281,False,REGULAR,USD
11,BRKB200619P00150000,1586459806,150.0,1.61,1.2,1.88,-0.36,-18.274113,4260.0,978.0,0.4735160070800781,False,REGULAR,USD
12,BRKB200619P00155000,1586362545,155.0,2.56,1.0,2.93,0.0,0.0,13.0,343.0,0.49121602539062503,False,REGULAR,USD
13,BRKB200619P00160000,1586448317,160.0,2.54,2.01,3.35,-0.36000013,-12.413797,7.0,1897.0,0.46320116882324225,False,REGULAR,USD
14,BRKB200619P00165000,1586461735,165.0,3.0,2.4,3.65,-0.4000001,-11.7647085,57.0,706.0,0.42664147583007817,False,REGULAR,USD
15,BRKB200619P00170000,1586461304,170.0,3.69,3.2,4.45,-0.55999994,-13.17647,117.0,1058.0,0.4088804229736328,False,REGULAR,USD
16,BRKB200619P00175000,1586461642,175.0,4.3,4.1,4.95,-1.21,-21.960072,15.0,1783.0,0.3739686627197265,False,REGULAR,USD
17,BRKB200619P00180000,1586459803,180.0,5.77,5.0,6.0,-0.17999983,-3.0252073,55.0,4420.0,0.35431553894042955,False,REGULAR,USD
18,BRKB200619P00185000,1586456314,185.0,7.6,6.3,7.15,-0.7000003,-8.433739,54.0,3597.0,0.33075620422363283,False,REGULAR,USD
19,BRKB200619P00190000,1586460203,190.0,8.45,7.8,8.8,-1.25,-12.886599,54.0,1681.0,0.31452101501464835,False,REGULAR,USD
20,BRKB200619P00195000,1586456442,195.0,10.65,8.55,11.3,-1.9000006,-15.139447,17.0,3948.0,0.3133613586425781,True,REGULAR,USD
21,BRKB200619P00200000,1586442190,200.0,12.89,12.0,13.35,-1.6599998,-11.408934,31.0,5010.0,0.287970987548828,True,REGULAR,USD
22,BRKB200619P00205000,1586442239,205.0,12.95,14.1,16.55,-5.0999994,-28.254847,5.0,4915.0,0.28516339843749994,True,REGULAR,USD
23,BRKB200619P00210000,1586372909,210.0,21.0,16.2,19.75,0.0,0.0,17.0,1672.0,0.2700268310546875,True,REGULAR,USD
24,BRKB200619P00215000,1586458536,215.0,24.0,19.95,23.9,-1.5,-5.882353,3.0,1907.0,0.27674063110351554,True,REGULAR,USD
25,BRKB200619P00220000,1586458204,220.0,28.0,24.2,27.75,-2.7000008,-8.79479,1.0,1966.0,0.25916268188476566,True,REGULAR,USD
26,BRKB200619P00225000,1586446825,225.0,31.05,28.7,33.25,-4.6500015,-13.025214,1.0,1280.0,0.31488722229003896,True,REGULAR,USD
27,BRKB200619P00230000,1586367548,230.0,41.4,34.0,38.6,0.0,0.0,20.0,585.0,0.36206692626953124,True,REGULAR,USD
28,BRKB200619P00235000,1584557572,235.0,53.45,39.85,42.4,0.0,0.0,5.0,0.0,0.32349309326171866,True,REGULAR,USD
29,BRKB200619P00240000,1585765822,240.0,64.2,45.5,46.8,0.0,0.0,20.0,0.0,0.3004220349121094,True,REGULAR,USD
30,BRKB200619P00245000,1584378146,245.0,62.06,50.55,51.8,0.0,0.0,10.0,0.0,0.3225165405273437,True,REGULAR,USD
31,BRKB200619P00250000,1583164281,250.0,42.3,72.7,74.15,0.0,0.0,1.0,31.0,1.0151416430664062,True,REGULAR,USD
32,BRKB200619P00255000,1579638406,255.0,26.45,0.0,0.0,0.0,0.0,,0.0,1.0000000000000003e-05,True,REGULAR,USD
33,BRKB200619P00265000,1584742210,265.0,93.95,70.55,71.8,0.0,0.0,,,0.40430283203125,True,REGULAR,USD
34,BRKB200619P00300000,1584475086,300.0,115.85,105.55,106.8,0.0,0.0,,,0.526371923828125,True,REGULAR,USD
