,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,LOW200619P00037500,1585324806,37.5,0.7,0.05,1.14,0.0,0.0,,0,1.2490271923828122,False,REGULAR,USD
1,LOW200619P00040000,1586439538,40.0,0.32,0.02,1.36,-0.49,-60.493828,5.0,0,1.206546936035156,False,REGULAR,USD
2,LOW200619P00045000,1586192002,45.0,0.37,0.18,0.52,0.0,0.0,3.0,40,0.929688203125,False,REGULAR,USD
3,LOW200619P00047500,1585836436,47.5,1.66,0.27,0.94,0.0,0.0,5.0,387,0.96679720703125,False,REGULAR,USD
4,LOW200619P00050000,1585834226,50.0,1.55,0.01,0.59,0.0,0.0,10.0,136,0.79101771484375,False,REGULAR,USD
5,LOW200619P00055000,1586190804,55.0,1.03,0.59,2.0,0.0,0.0,4.0,850,0.9443364941406249,False,REGULAR,USD
6,LOW200619P00057500,1586447932,57.5,0.77,0.72,1.99,-9.0,-92.11873,2.0,3,0.89257919921875,False,REGULAR,USD
7,LOW200619P00060000,1586453559,60.0,0.84,0.77,1.11,-0.26000005,-23.636368,12.0,1130,0.75586181640625,False,REGULAR,USD
8,LOW200619P00062500,1586440798,62.5,0.99,1.08,1.95,-2.26,-69.53846,2.0,54,0.7985859985351562,False,REGULAR,USD
9,LOW200619P00065000,1586374398,65.0,1.32,1.28,1.54,-0.16999996,-11.409393,5.0,671,0.7251004052734374,False,REGULAR,USD
10,LOW200619P00067500,1586461706,67.5,1.65,1.11,4.0,-2.4499998,-59.756096,2.0,174,0.8137225659179688,False,REGULAR,USD
11,LOW200619P00070000,1586461327,70.0,1.9,0.05,3.9,-0.120000005,-5.9405947,21.0,997,0.6870148486328126,False,REGULAR,USD
12,LOW200619P00072500,1586459372,72.5,2.28,1.95,3.15,-0.049999952,-2.1459208,28.0,570,0.692385888671875,False,REGULAR,USD
13,LOW200619P00075000,1586458963,75.0,2.67,2.55,3.35,-0.06999993,-2.554742,19.0,0,0.6722444885253909,False,REGULAR,USD
14,LOW200619P00077500,1586461538,77.5,3.05,2.97,3.25,-0.10000014,-3.1746075,17.0,0,0.6269568554687501,False,REGULAR,USD
15,LOW200619P00080000,1586462266,80.0,3.6,3.45,3.75,-0.9000001,-20.000002,20.0,0,0.6079140771484376,False,REGULAR,USD
16,LOW200619P00082500,1586458719,82.5,4.2,2.91,4.9,-1.0500002,-20.000004,28.0,0,0.5700726586914062,False,REGULAR,USD
17,LOW200619P00085000,1586458861,85.0,4.85,2.61,6.45,-0.20000029,-3.9604015,15.0,0,0.5526167785644531,False,REGULAR,USD
18,LOW200619P00087500,1586461640,87.5,5.5,4.0,6.4,-0.38999987,-6.62139,23.0,0,0.5327195166015625,False,REGULAR,USD
19,LOW200619P00090000,1586452306,90.0,6.0,6.35,6.55,-0.8000002,-11.7647085,42.0,0,0.5445602185058593,False,REGULAR,USD
20,LOW200619P00092500,1586452315,92.5,6.6,7.3,8.1,-1.3499999,-16.98113,56.0,0,0.5483443603515626,False,REGULAR,USD
21,LOW200619P00095000,1586460874,95.0,8.2,8.25,8.65,-1.6500006,-16.751274,57.0,0,0.5150194982910157,False,REGULAR,USD
22,LOW200619P00097500,1586443126,97.5,8.57,8.6,9.85,-1.8800001,-17.990433,1.0,0,0.5147753601074219,True,REGULAR,USD
23,LOW200619P00100000,1586456072,100.0,10.25,9.2,11.3,-1.1999998,-10.480348,46.0,0,0.510869149169922,True,REGULAR,USD
24,LOW200619P00105000,1586372328,105.0,13.5,11.7,14.35,-1.1000004,-7.5342493,2.0,0,0.49268085449218757,True,REGULAR,USD
25,LOW200619P00110000,1586372331,110.0,17.0,16.35,18.05,-1.25,-6.849315,2.0,0,0.4907277490234375,True,REGULAR,USD
26,LOW200619P00115000,1586372331,115.0,20.9,20.5,23.15,-1.4500008,-6.487699,2.0,0,0.5705609350585938,True,REGULAR,USD
27,LOW200619P00120000,1586440819,120.0,23.63,25.05,27.05,-3.5700016,-13.125006,1.0,0,0.5496871203613283,True,REGULAR,USD
28,LOW200619P00125000,1585164803,125.0,40.1,29.35,33.05,0.0,0.0,21.0,0,0.5266160620117188,True,REGULAR,USD
29,LOW200619P00130000,1584368741,130.0,45.0,33.25,37.95,0.0,0.0,1.0,0,0.5041553491210937,True,REGULAR,USD
30,LOW200619P00135000,1582816034,135.0,26.12,47.0,50.5,0.0,0.0,1.0,73,1.202030357055664,True,REGULAR,USD
31,LOW200619P00140000,1584715085,140.0,69.0,43.2,47.4,0.0,0.0,5.0,0,0.5395553857421876,True,REGULAR,USD
32,LOW200619P00145000,1582815938,145.0,35.21,56.75,60.45,0.0,0.0,1.0,12,1.3001743975830073,True,REGULAR,USD
33,LOW200619P00150000,1580401611,150.0,31.05,42.25,46.3,0.0,0.0,1.0,8,1.0000000000000003e-05,True,REGULAR,USD
