,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,C200918P00020000,1586461154,20.0,0.7,0.71,0.83,-0.18,-20.454546,15.0,1023,0.9575199560546874,False,REGULAR,USD
1,C200918P00022500,1586439239,22.5,0.9,0.81,1.08,-0.100000024,-10.000002,1.0,231,0.8920909228515624,False,REGULAR,USD
2,C200918P00025000,1586456200,25.0,1.22,1.09,1.34,-0.31999993,-20.779217,26.0,188,0.8474136352539061,False,REGULAR,USD
3,C200918P00027500,1586288794,27.5,1.93,1.43,1.7,0.0,0.0,12.0,169,0.8112811840820311,False,REGULAR,USD
4,C200918P00030000,1586439941,30.0,1.8,1.76,2.09,-0.45000005,-20.000002,10.0,314,0.7690452783203126,False,REGULAR,USD
5,C200918P00032500,1586368567,32.5,2.85,2.36,2.6,0.0,0.0,2.0,214,0.747072841796875,False,REGULAR,USD
6,C200918P00035000,1586456442,35.0,3.0,2.89,3.1,-1.1999998,-28.571424,21.0,1869,0.7106962524414062,False,REGULAR,USD
7,C200918P00037500,1586277141,37.5,4.25,3.5,3.85,0.0,0.0,26.0,1363,0.6850617431640625,False,REGULAR,USD
8,C200918P00040000,1586443119,40.0,4.2,4.15,4.55,-1.0500002,-20.000004,210.0,972,0.65039412109375,False,REGULAR,USD
9,C200918P00042500,1586459570,42.5,5.4,5.2,5.45,-0.8199997,-13.183275,641.0,2292,0.6353796228027344,False,REGULAR,USD
10,C200918P00045000,1586440490,45.0,5.89,6.25,6.55,-1.6600003,-21.98676,103.0,778,0.6189002954101563,False,REGULAR,USD
11,C200918P00047500,1586461939,47.5,7.65,7.05,7.7,-2.8700004,-27.28137,16.0,647,0.584965087890625,True,REGULAR,USD
12,C200918P00050000,1586459754,50.0,8.8,8.4,9.1,-5.34,-37.765205,1033.0,590,0.5739788696289063,True,REGULAR,USD
13,C200918P00052500,1586278687,52.5,12.24,10.1,10.65,0.0,0.0,12.0,864,0.573368524169922,True,REGULAR,USD
14,C200918P00055000,1586373428,55.0,13.8,11.6,12.05,0.0,0.0,2.0,1143,0.5494429821777345,True,REGULAR,USD
15,C200918P00057500,1586455646,57.5,13.8,13.4,13.75,-3.2200003,-18.918919,2.0,1307,0.5406540075683595,True,REGULAR,USD
16,C200918P00060000,1586461835,60.0,15.45,15.2,15.65,-3.6500006,-19.109951,11.0,5582,0.5314988256835937,True,REGULAR,USD
17,C200918P00062500,1586455165,62.5,17.25,16.75,17.7,-4.1499996,-19.39252,10.0,618,0.5085498364257812,True,REGULAR,USD
18,C200918P00065000,1586363307,65.0,22.4,19.3,19.7,0.0,0.0,5.0,6599,0.5238084729003907,True,REGULAR,USD
19,C200918P00067500,1586447832,67.5,21.16,20.8,21.9,-4.9400005,-18.927204,1.0,8670,0.5483443603515626,True,REGULAR,USD
20,C200918P00070000,1586374738,70.0,27.27,23.6,24.35,0.0,0.0,5.0,5305,0.5319871020507813,True,REGULAR,USD
21,C200918P00072500,1586268375,72.5,28.12,25.7,26.55,0.0,0.0,11.0,3113,0.51562984375,True,REGULAR,USD
22,C200918P00075000,1584732763,75.0,32.0,27.9,29.2,0.0,0.0,4.0,4611,0.5317429638671876,True,REGULAR,USD
23,C200918P00077500,1584453052,77.5,42.25,29.75,32.9,0.0,0.0,40.0,1763,0.596683720703125,True,REGULAR,USD
24,C200918P00080000,1586447832,80.0,33.21,31.9,35.6,-2.3199997,-6.5296926,1.0,739,0.6113320117187502,True,REGULAR,USD
25,C200918P00082500,1586268375,82.5,38.02,33.5,37.95,0.0,0.0,2.0,92,0.5485884985351563,True,REGULAR,USD
26,C200918P00085000,1584553619,85.0,53.05,36.0,40.4,0.0,0.0,2.0,177,0.5649457568359376,True,REGULAR,USD
27,C200918P00087500,1585245799,87.5,19.6,48.0,51.1,0.0,0.0,,0,1.4622829620361328,True,REGULAR,USD
28,C200918P00090000,1584367564,90.0,49.05,41.0,45.4,0.0,0.0,3.0,152,0.6044961425781252,True,REGULAR,USD
29,C200918P00100000,1580751032,100.0,25.1,33.5,37.55,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
