,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AMZN201016C00940000,1584058361,940.0,817.0,1104.0,1113.5,0.0,0.0,,2,0.5628400650024415,True,REGULAR,USD
1,AMZN201016C00960000,1584058362,960.0,771.65,1084.0,1095.0,0.0,0.0,,1,0.5603071313476562,True,REGULAR,USD
2,AMZN201016C00980000,1585299274,980.0,753.35,924.0,934.0,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD
3,AMZN201016C01000000,1584027412,1000.0,734.25,1045.0,1055.0,0.0,0.0,,1,0.539891075744629,True,REGULAR,USD
4,AMZN201016C01020000,1584059182,1020.0,716.25,1025.5,1036.5,0.0,0.0,,1,0.5390671093750001,True,REGULAR,USD
5,AMZN201016C01040000,1585299204,1040.0,828.1,920.6,934.0,0.0,0.0,2.0,2,1.0000000000000003e-05,True,REGULAR,USD
6,AMZN201016C01060000,1584027411,1060.0,681.15,987.0,997.5,0.0,0.0,,1,0.5264939929199219,True,REGULAR,USD
7,AMZN201016C01080000,1584027415,1080.0,663.5,967.0,977.0,0.0,0.0,2.0,3,0.5106860455322266,True,REGULAR,USD
8,AMZN201016C01140000,1584026615,1140.0,622.46,910.0,919.5,0.0,0.0,,2,0.5355881402587892,True,REGULAR,USD
9,AMZN201016C01200000,1584544945,1200.0,670.0,852.0,861.5,0.0,0.0,,1,0.5089007850646974,True,REGULAR,USD
10,AMZN201016C01240000,1584539305,1240.0,623.0,814.0,824.45,0.0,0.0,,2,0.5003712072753908,True,REGULAR,USD
11,AMZN201016C01280000,1586183878,1280.0,703.2,776.0,786.0,0.0,0.0,1.0,0,0.4827322235107422,True,REGULAR,USD
12,AMZN201016C01300000,1583166762,1300.0,646.7,644.1,656.75,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD
13,AMZN201016C01320000,1584460190,1320.0,570.0,739.0,749.0,0.0,0.0,,1,0.4720435486602783,True,REGULAR,USD
