,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,DIS201016C00045000,1585062060,45.0,51.9,58.9,62.15,0.0,0.0,2.0,1,0.7661156201171876,True,REGULAR,USD
1,DIS201016C00050000,1585673709,50.0,50.0,54.15,57.45,0.0,0.0,5.0,8,0.7211941943359376,True,REGULAR,USD
2,DIS201016C00055000,1584545933,55.0,34.95,49.25,52.9,0.0,0.0,,2,0.6735872485351564,True,REGULAR,USD
3,DIS201016C00060000,1585590645,60.0,40.15,44.65,48.25,0.0,0.0,11.0,14,0.6342810009765626,True,REGULAR,USD
4,DIS201016C00065000,1585925071,65.0,42.7,40.25,42.1,9.450001,28.421057,1.0,8,0.5363815893554689,True,REGULAR,USD
5,DIS201016C00070000,1586441726,70.0,37.85,35.7,37.75,5.699997,17.729383,1.0,7,0.5129443237304687,True,REGULAR,USD
6,DIS201016C00075000,1586287466,75.0,30.0,31.5,34.15,0.0,0.0,10.0,71,0.5155077746582031,True,REGULAR,USD
7,DIS201016C00080000,1586450168,80.0,29.75,27.7,30.0,4.7700005,19.095278,8.0,49,0.5564619549560548,True,REGULAR,USD
8,DIS201016C00085000,1586287974,85.0,22.5,23.5,26.6,0.0,0.0,8.0,83,0.5502364312744141,True,REGULAR,USD
9,DIS201016C00090000,1586460960,90.0,21.28,19.95,22.4,2.83,15.338752,18.0,330,0.5025684509277344,True,REGULAR,USD
10,DIS201016C00095000,1586460845,95.0,17.85,17.25,19.45,1.75,10.869565,11.0,242,0.4974415490722657,True,REGULAR,USD
11,DIS201016C00100000,1586457733,100.0,15.5,14.05,15.6,2.6499996,20.622564,21.0,533,0.4514215014648438,True,REGULAR,USD
12,DIS201016C00105000,1586461622,105.0,12.45,11.7,13.0,1.75,16.35514,269.0,863,0.44116769775390624,False,REGULAR,USD
13,DIS201016C00110000,1586461472,110.0,9.9,9.35,10.3,1.3999996,16.470585,243.0,502,0.4182797430419921,False,REGULAR,USD
14,DIS201016C00115000,1586462155,115.0,7.9,7.3,8.4,1.7000003,27.419361,84.0,419,0.4126645648193359,False,REGULAR,USD
15,DIS201016C00120000,1586462371,120.0,6.0,5.6,6.65,1.29,27.388535,58.0,747,0.4028380029296875,False,REGULAR,USD
16,DIS201016C00125000,1586462135,125.0,4.7,4.15,5.3,0.7999997,20.512814,55.0,3638,0.39813834289550787,False,REGULAR,USD
17,DIS201016C00130000,1586461293,130.0,3.35,3.2,4.0,0.6799998,25.468159,850.0,1737,0.38635867553710934,False,REGULAR,USD
18,DIS201016C00135000,1586461326,135.0,2.48,2.28,3.0,0.22000003,9.734514,31.0,586,0.3775086663818359,False,REGULAR,USD
19,DIS201016C00140000,1586462217,140.0,1.92,1.76,2.0,0.26,15.662651,48.0,611,0.3580386462402344,False,REGULAR,USD
20,DIS201016C00145000,1586458980,145.0,1.3,1.15,1.76,0.29999995,29.999996,26.0,293,0.3715883154296875,False,REGULAR,USD
21,DIS201016C00150000,1586460463,150.0,1.0,0.91,1.23,0.16000003,19.047623,103.0,653,0.36157864990234373,False,REGULAR,USD
22,DIS201016C00155000,1586456431,155.0,0.85,0.57,0.86,0.25,41.666664,7.0,317,0.35425450439453116,False,REGULAR,USD
23,DIS201016C00160000,1586449161,160.0,0.68,0.5,0.7,0.20000002,41.66667,7.0,368,0.35938140625,False,REGULAR,USD
24,DIS201016C00165000,1586460466,165.0,0.46,0.38,0.55,0.04000002,9.523815,8.0,475,0.36157864990234373,False,REGULAR,USD
25,DIS201016C00170000,1586453806,170.0,0.4,0.37,0.51,0.030000001,8.1081085,8.0,136,0.3745179736328125,False,REGULAR,USD
26,DIS201016C00175000,1586441725,175.0,0.35,0.28,0.36,0.07999998,29.629622,1.0,115,0.36914693359375,False,REGULAR,USD
27,DIS201016C00180000,1586460104,180.0,0.27,0.2,0.35,0.02000001,8.000004,1.0,68,0.3833069482421875,False,REGULAR,USD
28,DIS201016C00185000,1586457712,185.0,0.25,0.13,0.3,0.08,47.058823,3.0,97,0.3891662646484375,False,REGULAR,USD
29,DIS201016C00190000,1586460603,190.0,0.23,0.2,0.26,0.040000007,21.052635,3.0,76,0.39502558105468755,False,REGULAR,USD
30,DIS201016C00195000,1586458561,195.0,0.19,0.16,0.2,0.03999999,26.666658,5.0,374,0.3940490283203125,False,REGULAR,USD
