,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,MMM201120C00085000,1584986019,85.0,40.35,61.5,66.4,0.0,0.0,1,1,0.6311072045898438,True,REGULAR,USD
1,MMM201120C00090000,1584984234,90.0,36.6,57.25,61.85,0.0,0.0,2,2,0.6024209680175783,True,REGULAR,USD
2,MMM201120C00100000,1585069975,100.0,33.7,48.85,52.85,0.0,0.0,6,2,0.5463912548828126,True,REGULAR,USD
3,MMM201120C00110000,1586202600,110.0,35.5,41.75,45.05,0.0,0.0,1,1,0.5266160620117188,True,REGULAR,USD
4,MMM201120C00120000,1584978359,120.0,17.38,32.8,36.9,0.0,0.0,1,15,0.48175567077636716,True,REGULAR,USD
5,MMM201120C00125000,1585591772,125.0,22.3,29.25,33.25,0.0,0.0,5,12,0.4672904833984375,True,REGULAR,USD
6,MMM201120C00130000,1586276233,130.0,28.0,25.65,29.9,0.0,0.0,2,21,0.45691461059570315,True,REGULAR,USD
7,MMM201120C00135000,1586268909,135.0,25.0,22.4,26.4,0.0,0.0,1,5,0.4390925231933594,True,REGULAR,USD
8,MMM201120C00140000,1586365376,140.0,20.85,18.8,22.7,0.0,0.0,10,46,0.4133969793701171,True,REGULAR,USD
9,MMM201120C00145000,1585234323,145.0,12.3,16.05,20.7,0.0,0.0,35,55,0.4222775057983398,True,REGULAR,USD
10,MMM201120C00150000,1586275547,150.0,15.85,13.15,16.7,0.0,0.0,9,37,0.38278815460205073,False,REGULAR,USD
11,MMM201120C00155000,1586370630,155.0,13.0,10.7,14.75,0.0,0.0,22,75,0.383795224609375,False,REGULAR,USD
12,MMM201120C00160000,1586367633,160.0,9.95,8.1,12.35,0.0,0.0,6,105,0.3706117626953125,False,REGULAR,USD
13,MMM201120C00165000,1586375660,165.0,9.7,7.1,11.2,0.0,0.0,47,879,0.3804688418579102,False,REGULAR,USD
14,MMM201120C00170000,1586454477,170.0,7.5,5.3,8.85,3.75,100.0,7,19,0.3593203717041016,False,REGULAR,USD
15,MMM201120C00175000,1586373345,175.0,5.75,3.85,8.35,0.0,0.0,3,20,0.37662366546630854,False,REGULAR,USD
16,MMM201120C00180000,1586363273,180.0,3.97,2.17,6.7,0.0,0.0,2,24,0.36310451354980466,False,REGULAR,USD
17,MMM201120C00185000,1586446693,185.0,3.31,1.37,4.8,0.109999895,3.4374967,2,26,0.3371037969970704,False,REGULAR,USD
18,MMM201120C00190000,1585597914,190.0,1.45,1.12,5.25,0.0,0.0,1,62,0.37201555725097657,False,REGULAR,USD
19,MMM201120C00195000,1584635809,195.0,5.15,0.33,3.7,0.0,0.0,85,85,0.3468693243408203,False,REGULAR,USD
20,MMM201120C00200000,1584641010,200.0,1.05,0.0,3.35,0.0,0.0,1,16,0.35455967712402336,False,REGULAR,USD
21,MMM201120C00210000,1585235035,210.0,0.7,0.01,2.38,0.0,0.0,1,5,0.3536441589355468,False,REGULAR,USD
22,MMM201120C00220000,1586445776,220.0,0.26,0.19,0.84,-0.08000001,-23.529415,3,121,0.30335169311523436,False,REGULAR,USD
