,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,DHR220121P00075000,1584558033,75.0,10.69,2.35,4.15,0.0,0.0,1.0,31,0.470281176147461,False,REGULAR,USD
1,DHR220121P00080000,1579796124,80.0,1.25,0.75,0.0,0.0,0.0,1.0,0,0.12500875,False,REGULAR,USD
2,DHR220121P00085000,1586355974,85.0,6.5,3.55,5.7,0.0,0.0,2.0,6,0.44812563598632804,False,REGULAR,USD
3,DHR220121P00090000,1573061332,90.0,4.59,1.5,4.5,0.0,0.0,,2,0.38172005004882803,False,REGULAR,USD
4,DHR220121P00095000,1584107095,95.0,12.5,5.55,8.45,0.0,0.0,5.0,8,0.44739322143554683,False,REGULAR,USD
5,DHR220121P00100000,1585925073,100.0,11.8,6.0,9.05,0.0,0.0,36.0,38,0.4262142340087891,False,REGULAR,USD
6,DHR220121P00105000,1585925043,105.0,13.5,6.8,10.45,0.0,0.0,30.0,44,0.42069060760498045,False,REGULAR,USD
7,DHR220121P00110000,1586365525,110.0,12.4,8.0,10.6,0.0,0.0,50.0,54,0.39041747283935546,False,REGULAR,USD
8,DHR220121P00115000,1585925061,115.0,17.0,10.0,12.75,0.0,0.0,45.0,99,0.3954223056030274,False,REGULAR,USD
9,DHR220121P00120000,1586459148,120.0,14.8,10.85,13.9,0.0,0.0,1.0,99,0.3812317736816406,False,REGULAR,USD
10,DHR220121P00125000,1583861641,125.0,18.8,14.6,17.9,0.0,0.0,50.0,23,0.4094297338867187,False,REGULAR,USD
11,DHR220121P00130000,1586267419,130.0,19.5,13.85,16.45,0.0,0.0,10.0,45,0.3538577798461914,False,REGULAR,USD
12,DHR220121P00135000,1585296823,135.0,29.0,24.5,29.0,0.0,0.0,1.0,0,0.49622085815429695,False,REGULAR,USD
13,DHR220121P00140000,1585683151,140.0,28.1,17.75,20.75,0.0,0.0,1.0,69,0.3459080302429199,False,REGULAR,USD
14,DHR220121P00145000,1585930797,145.0,31.9,19.6,23.35,0.0,0.0,2.0,7,0.34516035705566406,False,REGULAR,USD
15,DHR220121P00150000,1585296823,150.0,15.6,32.95,36.9,0.0,0.0,,0,0.4840444662475586,False,REGULAR,USD
16,DHR220121P00155000,1585234113,155.0,40.0,24.5,27.15,0.0,0.0,,7,0.32071602142333977,True,REGULAR,USD
17,DHR220121P00160000,1584552721,160.0,52.3,26.9,30.3,0.0,0.0,,9,0.3218451605224609,True,REGULAR,USD
18,DHR220121P00165000,1585296823,165.0,17.5,31.6,46.4,0.0,0.0,,15,0.48209136077880865,True,REGULAR,USD
19,DHR220121P00170000,1585844482,170.0,49.0,33.2,36.5,0.0,0.0,1.0,0,0.31781688049316403,True,REGULAR,USD
20,DHR220121P00195000,1585244272,195.0,33.9,63.55,67.7,0.0,0.0,4.0,0,0.47969575485229493,True,REGULAR,USD
21,DHR220121P00200000,1585296823,200.0,38.7,68.75,73.45,0.0,0.0,,10,0.5035144863891602,True,REGULAR,USD
