,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,LOW220121C00035000,1586266519,35.0,58.0,63.15,65.2,0.0,0.0,1.0,5,0.534184345703125,True,REGULAR,USD
1,LOW220121C00037500,1584556030,37.5,33.0,60.65,62.95,0.0,0.0,,3,0.524418818359375,True,REGULAR,USD
2,LOW220121C00040000,1585942961,40.0,44.45,57.85,60.7,0.0,0.0,1.0,2,0.5129443237304687,True,REGULAR,USD
3,LOW220121C00047500,1585078972,47.5,33.8,51.55,54.3,0.0,0.0,1.0,3,0.4929249926757813,True,REGULAR,USD
4,LOW220121C00050000,1586269951,50.0,45.6,49.35,53.35,0.0,0.0,2.0,37,0.5385788330078126,True,REGULAR,USD
5,LOW220121C00055000,1585936981,55.0,33.8,45.6,47.85,0.0,0.0,24.0,23,0.4587456469726563,True,REGULAR,USD
6,LOW220121C00060000,1586807373,60.0,42.5,42.9,44.2,1.5,3.6585367,1.0,5,0.4568535760498047,True,REGULAR,USD
7,LOW220121C00062500,1585320335,62.5,30.95,40.35,42.25,0.0,0.0,2.0,4,0.4489801196289062,True,REGULAR,USD
8,LOW220121C00065000,1586461452,65.0,37.2,39.3,40.65,0.0,0.0,2.0,32,0.45117736328125,True,REGULAR,USD
9,LOW220121C00067500,1586790110,67.5,34.54,37.6,38.85,0.0,0.0,3.0,7,0.4454706332397461,True,REGULAR,USD
10,LOW220121C00070000,1586453145,70.0,35.65,34.55,37.15,0.0,0.0,3.0,27,0.4415339050292969,True,REGULAR,USD
11,LOW220121C00072500,1585159939,72.5,25.25,34.05,35.55,0.0,0.0,1.0,0,0.4391535577392578,True,REGULAR,USD
12,LOW220121C00075000,1586877516,75.0,31.5,32.4,33.8,8.299999,35.77586,1.0,19,0.43164630859375,True,REGULAR,USD
13,LOW220121C00077500,1586273100,77.5,27.1,30.95,32.3,0.0,0.0,11.0,48,0.42957113403320313,True,REGULAR,USD
14,LOW220121C00080000,1586785480,80.0,25.64,29.45,30.7,0.0,0.0,6.0,38,0.4239254385375977,True,REGULAR,USD
15,LOW220121C00082500,1586195311,82.5,22.0,27.75,29.05,0.0,0.0,30.0,30,0.4162656030273437,True,REGULAR,USD
16,LOW220121C00085000,1586454285,85.0,26.69,26.45,27.85,0.0,0.0,4.0,30,0.4179135357666015,True,REGULAR,USD
17,LOW220121C00087500,1586360255,87.5,23.1,25.0,26.55,0.0,0.0,2.0,78,0.4161435339355468,True,REGULAR,USD
18,LOW220121C00090000,1586354820,90.0,18.65,23.65,25.1,0.0,0.0,2.0,70,0.41022318298339844,True,REGULAR,USD
19,LOW220121C00092500,1586456826,92.5,22.0,22.3,23.8,0.0,0.0,2.0,3,0.4066221447753906,True,REGULAR,USD
20,LOW220121C00095000,1586873991,95.0,22.5,20.85,22.35,3.7600002,20.064035,2.0,109,0.3991454129028321,True,REGULAR,USD
21,LOW220121C00097500,1586445892,97.5,20.0,19.75,21.35,0.0,0.0,3.0,28,0.39990834472656256,True,REGULAR,USD
22,LOW220121C00100000,1586446710,100.0,18.7,18.5,20.05,0.0,0.0,13.0,119,0.39383540740966794,False,REGULAR,USD
23,LOW220121C00105000,1586873670,105.0,16.92,16.3,18.0,2.0900002,14.093056,1.0,62,0.39005126556396486,False,REGULAR,USD
24,LOW220121C00110000,1586873670,110.0,15.01,14.4,16.1,2.1900005,17.08269,1.0,71,0.3859924682617187,False,REGULAR,USD
25,LOW220121C00115000,1586873670,115.0,13.0,12.6,13.85,2.0200005,18.39709,1.0,128,0.3722902127075196,False,REGULAR,USD
26,LOW220121C00120000,1586807674,120.0,10.4,10.9,12.55,0.0,0.0,4.0,79,0.3738465936279296,False,REGULAR,USD
27,LOW220121C00125000,1586794659,125.0,9.0,9.3,10.85,0.0,0.0,8.0,65,0.3649355499267578,False,REGULAR,USD
28,LOW220121C00130000,1586440712,130.0,8.75,8.1,9.3,0.0,0.0,3.0,23,0.3561465753173828,False,REGULAR,USD
29,LOW220121C00135000,1586786257,135.0,6.3,6.85,8.3,0.0,0.0,1.0,20,0.3558108853149413,False,REGULAR,USD
30,LOW220121C00140000,1586457803,140.0,6.0,5.85,7.1,0.0,0.0,100.0,372,0.34888346435546874,False,REGULAR,USD
31,LOW220121C00145000,1585761318,145.0,2.25,5.0,6.15,0.0,0.0,2.0,111,0.3448551843261719,False,REGULAR,USD
32,LOW220121C00150000,1586794808,150.0,4.3,4.2,5.1,0.10000038,2.3809617,12.0,1433,0.33588310607910155,False,REGULAR,USD
33,LOW220121C00155000,1586452483,155.0,4.2,3.4,4.55,0.0,0.0,5.0,11,0.3367986242675781,False,REGULAR,USD
34,LOW220121C00160000,1584036060,160.0,2.5,1.6,5.2,0.0,0.0,10.0,0,0.367193828125,False,REGULAR,USD
35,LOW220121C00165000,1586440879,165.0,3.1,0.95,3.85,0.0,0.0,1.0,22,0.344733115234375,False,REGULAR,USD
36,LOW220121C00170000,1585164760,170.0,1.0,1.7,3.1,0.0,0.0,4.0,11,0.3347234497070312,False,REGULAR,USD
37,LOW220121C00175000,1586184126,175.0,1.39,1.61,2.68,0.0,0.0,2.0,4,0.3325262060546875,False,REGULAR,USD
38,LOW220121C00180000,1583160009,180.0,3.24,0.06,3.05,0.0,0.0,20.0,55,0.35559726440429684,False,REGULAR,USD
39,LOW220121C00185000,1584980335,185.0,0.2,1.17,2.08,0.0,0.0,30.0,62,0.33179379150390625,False,REGULAR,USD
