,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,MRK220121C00037500,1586439221,37.5,44.65,44.35,46.95,0.0,0.0,10,24,0.48730981445312505,True,REGULAR,USD
1,MRK220121C00040000,1585590670,40.0,36.48,41.4,44.55,0.0,0.0,2,6,0.46057668334960944,True,REGULAR,USD
2,MRK220121C00042500,1584986976,42.5,25.85,39.3,42.3,0.0,0.0,10,11,0.4445856323242187,True,REGULAR,USD
3,MRK220121C00045000,1585758243,45.0,28.85,37.25,39.55,0.0,0.0,8,13,0.39856558471679693,True,REGULAR,USD
4,MRK220121C00047500,1586460362,47.5,35.7,34.7,37.3,0.0,0.0,4,0,0.3842835009765625,True,REGULAR,USD
5,MRK220121C00050000,1586454903,50.0,33.0,32.35,34.95,0.0,0.0,5,179,0.36426416992187505,True,REGULAR,USD
6,MRK220121C00055000,1585848180,55.0,22.36,28.0,29.2,0.0,0.0,20,43,0.27466545654296876,True,REGULAR,USD
7,MRK220121C00060000,1586803085,60.0,22.13,23.6,24.8,0.0,0.0,3,238,0.2561109545898438,True,REGULAR,USD
8,MRK220121C00062500,1585768833,62.5,14.55,21.55,22.65,0.0,0.0,10,13,0.2467116345214844,True,REGULAR,USD
9,MRK220121C00065000,1586443737,65.0,19.8,19.5,20.7,0.099998474,0.50760645,4,272,0.24268335449218748,True,REGULAR,USD
10,MRK220121C00067500,1586462326,67.5,18.13,17.6,18.75,0.0,0.0,11,33,0.23627472717285153,True,REGULAR,USD
11,MRK220121C00070000,1586462326,70.0,16.43,15.8,16.9,0.0,0.0,10,348,0.23084265258789063,True,REGULAR,USD
12,MRK220121C00072500,1586453608,72.5,14.5,14.05,15.2,0.0,0.0,35,251,0.22730264892578123,True,REGULAR,USD
13,MRK220121C00075000,1586888714,75.0,12.97,12.45,13.6,1.7200003,15.288892,4,167,0.22394574890136715,True,REGULAR,USD
14,MRK220121C00077500,1586452756,77.5,11.2,11.0,12.1,0.0,0.0,2,99,0.22071091796874998,True,REGULAR,USD
15,MRK220121C00080000,1586880592,80.0,9.95,9.7,10.65,-0.05000019,-0.5000019,18,594,0.21631643066406248,True,REGULAR,USD
16,MRK220121C00082500,1586875782,82.5,8.3,8.4,9.45,0.5700002,7.37387,3,129,0.21546194702148438,True,REGULAR,USD
17,MRK220121C00085000,1586883174,85.0,7.5,7.3,8.3,0.26000023,3.5911634,1,351,0.2133562551879883,False,REGULAR,USD
18,MRK220121C00087500,1586446227,87.5,6.3,6.15,7.4,0.0,0.0,1,146,0.21472953247070312,False,REGULAR,USD
19,MRK220121C00090000,1586786913,90.0,5.0,5.4,6.0,0.0,0.0,6,648,0.20233951965332028,False,REGULAR,USD
20,MRK220121C00092500,1586439521,92.5,4.2,4.5,5.6,0.0,0.0,12,212,0.2110064251708984,False,REGULAR,USD
21,MRK220121C00095000,1586445839,95.0,3.91,3.75,4.4,0.0,0.0,2,452,0.1986164123535156,False,REGULAR,USD
22,MRK220121C00097500,1585156801,97.5,3.3,3.2,3.75,0.0,0.0,10,21,0.19721261779785154,False,REGULAR,USD
23,MRK220121C00100000,1586457349,100.0,2.9,2.25,3.25,0.0,0.0,15,1089,0.1977619287109375,False,REGULAR,USD
24,MRK220121C00105000,1586202889,105.0,1.66,1.52,2.59,0.0,0.0,1,402,0.20368227966308594,False,REGULAR,USD
25,MRK220121C00110000,1586272446,110.0,1.07,1.07,1.66,0.0,0.0,1,154,0.19446606323242188,False,REGULAR,USD
26,MRK220121C00115000,1586886551,115.0,0.9,0.62,1.25,0.120000005,15.384616,150,279,0.19684641052246094,False,REGULAR,USD
27,MRK220121C00120000,1586804466,120.0,0.53,0.43,0.89,0.0,0.0,2,148,0.19641916870117188,False,REGULAR,USD
28,MRK220121C00125000,1586881396,125.0,0.4,0.35,0.69,-0.049999982,-11.111107,30,916,0.19983710327148438,False,REGULAR,USD
29,MRK220121C00130000,1586786941,130.0,0.39,0.23,0.59,0.0,0.0,36,275,0.20691711059570309,False,REGULAR,USD
