,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,NVDA220121P00090000,1586883021,90.0,4.15,3.8,4.15,-1.8499999,-30.83333,5.0,352,0.5966226861572266,False,REGULAR,USD
1,NVDA220121P00095000,1586372805,95.0,5.5,2.1,6.2,0.0,0.0,2.0,37,0.5767864587402343,False,REGULAR,USD
2,NVDA220121P00100000,1586456143,100.0,6.0,3.8,7.0,0.0,0.0,1.0,76,0.5905802661132813,False,REGULAR,USD
3,NVDA220121P00105000,1585578888,105.0,7.0,5.0,7.25,0.0,0.0,1.0,38,0.5855143988037108,False,REGULAR,USD
4,NVDA220121P00110000,1584026091,110.0,15.97,5.6,10.4,0.0,0.0,2.0,25,0.606571317138672,False,REGULAR,USD
5,NVDA220121P00115000,1586273460,115.0,8.68,6.45,7.85,0.0,0.0,2.0,61,0.5625959268188477,False,REGULAR,USD
6,NVDA220121P00120000,1585930057,120.0,10.9,6.7,8.95,0.0,0.0,1.0,91,0.5545088494873047,False,REGULAR,USD
7,NVDA220121P00125000,1585935586,125.0,13.21,6.65,9.05,0.0,0.0,1.0,67,0.5326279647827149,False,REGULAR,USD
8,NVDA220121P00130000,1585756322,130.0,12.5,8.45,10.5,0.0,0.0,1.0,136,0.5426376303100587,False,REGULAR,USD
9,NVDA220121P00135000,1586446367,135.0,11.5,9.5,11.5,0.0,0.0,10.0,305,0.5392502130126955,False,REGULAR,USD
10,NVDA220121P00140000,1586884109,140.0,11.53,9.7,11.95,-1.4700003,-11.307694,3.0,218,0.5232896792602538,False,REGULAR,USD
11,NVDA220121P00145000,1586807123,145.0,13.55,11.25,12.9,0.0,0.0,1.0,199,0.5224657128906249,False,REGULAR,USD
12,NVDA220121P00150000,1586886899,150.0,13.0,12.35,13.95,-3.2000008,-19.75309,2.0,852,0.5179186392211915,False,REGULAR,USD
13,NVDA220121P00155000,1586884096,155.0,14.55,13.25,15.0,-2.9499998,-16.857141,5.0,942,0.5113421669006348,False,REGULAR,USD
14,NVDA220121P00160000,1585665062,160.0,16.49,14.45,16.1,-1.3099995,-7.359548,2.0,1426,0.5066882827758789,False,REGULAR,USD
15,NVDA220121P00165000,1585834809,165.0,24.0,15.0,19.5,0.0,0.0,1.0,609,0.5119677709960937,False,REGULAR,USD
16,NVDA220121P00170000,1586364936,170.0,21.31,17.65,18.85,0.0,0.0,7.0,231,0.5039722454833984,False,REGULAR,USD
17,NVDA220121P00175000,1586886714,175.0,19.5,18.45,20.75,-4.1000004,-17.372883,1.0,123,0.5130969100952149,False,REGULAR,USD
18,NVDA220121P00180000,1586872223,180.0,21.72,20.35,21.0,-2.6500015,-10.874031,1.0,467,0.495671547241211,False,REGULAR,USD
19,NVDA220121P00185000,1586874015,185.0,23.8,21.05,23.05,-1.3500004,-5.3677945,2.0,328,0.49799085998535164,False,REGULAR,USD
20,NVDA220121P00190000,1586884969,190.0,24.31,23.0,24.85,-2.5200005,-9.392473,3.0,270,0.4967396517944337,False,REGULAR,USD
21,NVDA220121P00195000,1586807257,195.0,28.85,24.35,26.95,0.0,0.0,2.0,95,0.4978230149841309,False,REGULAR,USD
22,NVDA220121P00200000,1586881684,200.0,27.3,24.5,28.7,-4.3500004,-13.744077,7.0,1231,0.4947407704162598,False,REGULAR,USD
23,NVDA220121P00205000,1585595411,205.0,34.8,26.6,30.4,0.0,0.0,1.0,60,0.4906972317504883,False,REGULAR,USD
24,NVDA220121P00210000,1586881698,210.0,30.7,29.85,31.8,-4.5200005,-12.833618,2.0,422,0.48352567260742196,False,REGULAR,USD
25,NVDA220121P00215000,1586280143,215.0,37.15,30.6,34.4,0.0,0.0,4.0,333,0.4866689517211914,False,REGULAR,USD
26,NVDA220121P00220000,1586881250,220.0,34.0,33.55,35.25,-5.3100014,-13.508016,2.0,311,0.47401954208374025,False,REGULAR,USD
27,NVDA220121P00225000,1585935092,225.0,41.5,35.5,37.2,0.0,0.0,1.0,86,0.4706016075134278,False,REGULAR,USD
28,NVDA220121P00230000,1586182567,230.0,45.55,37.25,39.3,0.0,0.0,1.0,170,0.46800763931274414,False,REGULAR,USD
29,NVDA220121P00240000,1586871000,240.0,43.35,40.5,44.85,-3.9500008,-8.350953,10.0,641,0.47211221252441404,False,REGULAR,USD
30,NVDA220121P00250000,1586871353,250.0,50.43,45.8,47.85,-2.0699997,-3.9428566,11.0,247,0.4546105564880371,False,REGULAR,USD
31,NVDA220121P00260000,1586801981,260.0,59.0,50.6,52.3,0.0,0.0,1.0,212,0.4469812382507324,False,REGULAR,USD
32,NVDA220121P00270000,1586876738,270.0,58.3,55.3,57.25,-5.380001,-8.448494,2.0,214,0.4415339050292969,False,REGULAR,USD
33,NVDA220121P00280000,1585839090,280.0,77.4,60.3,62.75,0.0,0.0,2.0,366,0.4384669190979004,False,REGULAR,USD
34,NVDA220121P00290000,1585336728,290.0,80.0,65.75,67.7,0.0,0.0,10.0,114,0.4301509622192383,True,REGULAR,USD
35,NVDA220121P00300000,1586876906,300.0,75.0,71.2,73.35,-6.0,-7.4074073,12.0,92,0.4252681985473633,True,REGULAR,USD
36,NVDA220121P00310000,1585662745,310.0,86.15,75.75,79.1,0.0,0.0,3.0,31,0.41970642555236815,True,REGULAR,USD
37,NVDA220121P00315000,1586876758,315.0,83.25,78.4,82.2,-6.1100006,-6.837512,1.0,3,0.4179287944030761,True,REGULAR,USD
38,NVDA220121P00320000,1586876758,320.0,86.29,78.9,85.3,-52.46,-37.80901,1.0,36,0.41582310256958005,True,REGULAR,USD
39,NVDA220121P00330000,1584714903,330.0,130.65,89.05,91.45,0.0,0.0,5.0,5,0.41032999343872073,True,REGULAR,USD
40,NVDA220121P00340000,1582140052,340.0,105.0,141.05,146.0,0.0,0.0,5.0,0,0.7114897015380859,True,REGULAR,USD
41,NVDA220121P00350000,1585318734,350.0,126.16,101.95,104.75,0.0,0.0,1.0,1,0.4021971401977539,True,REGULAR,USD
42,NVDA220121P00370000,1582663897,370.0,136.6,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
43,NVDA220121P00380000,1585243330,380.0,111.99,149.0,152.9,0.0,0.0,,0,0.5573774731445313,True,REGULAR,USD
44,NVDA220121P00390000,1583849738,390.0,175.25,133.0,138.0,0.0,0.0,1.0,11,0.41761599235534663,True,REGULAR,USD
45,NVDA220121P00400000,1583760790,400.0,172.45,149.9,153.4,0.0,0.0,2.0,4,0.468129708404541,True,REGULAR,USD
