,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,PM220121P00030000,1586285418,30.0,1.77,1.0,2.61,0.0,0.0,84,26,0.5720257641601563,False,REGULAR,USD
1,PM220121P00032500,1586283005,32.5,2.0,0.67,2.65,0.0,0.0,14,19,0.5173388110351562,False,REGULAR,USD
2,PM220121P00035000,1586285808,35.0,2.32,1.04,2.69,0.0,0.0,18,14,0.5556685058593751,False,REGULAR,USD
3,PM220121P00037500,1584646229,37.5,5.75,1.86,3.05,0.0,0.0,30,244,0.5002491381835938,False,REGULAR,USD
4,PM220121P00040000,1584385440,40.0,5.0,2.14,3.35,0.0,0.0,1,77,0.5169115692138673,False,REGULAR,USD
5,PM220121P00042500,1574697414,42.5,1.47,0.55,2.97,0.0,0.0,4,48,0.4591118542480469,False,REGULAR,USD
6,PM220121P00045000,1586266209,45.0,4.05,3.2,4.2,0.0,0.0,4,137,0.48633326171875,False,REGULAR,USD
7,PM220121P00050000,1585240783,50.0,7.2,4.35,5.25,0.0,0.0,1,19,0.46106495971679695,False,REGULAR,USD
8,PM220121P00055000,1585679162,55.0,5.84,5.7,6.65,0.0,0.0,10,15,0.44434149414062496,False,REGULAR,USD
9,PM220121P00057500,1585679162,57.5,6.85,5.15,7.6,0.0,0.0,10,10,0.44220528503417966,False,REGULAR,USD
10,PM220121P00060000,1586793216,60.0,9.49,6.3,8.5,0.0,0.0,10,93,0.4364070031738281,False,REGULAR,USD
11,PM220121P00062500,1586805364,62.5,10.52,7.2,9.5,0.0,0.0,2,44,0.43207355041503903,False,REGULAR,USD
12,PM220121P00065000,1586193854,65.0,10.4,9.05,10.7,0.0,0.0,2,78,0.4318904467773438,False,REGULAR,USD
13,PM220121P00067500,1585318615,67.5,16.0,9.95,11.95,0.0,0.0,1,14,0.4312801013183594,False,REGULAR,USD
14,PM220121P00070000,1585059347,70.0,19.3,10.7,13.0,0.0,0.0,5,435,0.42355923126220707,False,REGULAR,USD
15,PM220121P00072500,1585234903,72.5,18.1,12.05,14.35,0.0,0.0,4,22,0.42249112670898437,False,REGULAR,USD
16,PM220121P00075000,1585932003,75.0,16.75,13.45,15.8,0.0,0.0,2,64,0.4225521612548828,False,REGULAR,USD
17,PM220121P00077500,1584984733,77.5,29.05,14.4,17.2,0.0,0.0,6,274,0.41986664123535156,True,REGULAR,USD
18,PM220121P00080000,1585587324,80.0,20.05,16.3,18.8,0.0,0.0,2,231,0.4208431939697266,True,REGULAR,USD
19,PM220121P00082500,1584031474,82.5,26.3,18.15,22.2,0.0,0.0,5,16,0.4651847915649414,True,REGULAR,USD
20,PM220121P00085000,1586185081,85.0,21.7,19.4,21.9,0.0,0.0,10,86,0.4165707757568359,True,REGULAR,USD
21,PM220121P00087500,1584631145,87.5,33.8,20.35,23.7,0.0,0.0,4,12,0.4188290539550781,True,REGULAR,USD
22,PM220121P00090000,1586186815,90.0,25.11,22.4,25.15,0.0,0.0,1,11,0.41138283935546877,True,REGULAR,USD
23,PM220121P00092500,1585232991,92.5,31.7,24.35,27.35,0.0,0.0,2,1,0.4212094012451172,True,REGULAR,USD
24,PM220121P00095000,1586804238,95.0,30.5,26.75,29.3,0.0,0.0,82,90,0.42401699035644536,True,REGULAR,USD
25,PM220121P00100000,1586804754,100.0,33.43,30.05,32.55,0.0,0.0,65,35,0.4107724938964844,True,REGULAR,USD
26,PM220121P00105000,1586872510,105.0,36.85,34.25,36.7,-1.800003,-4.6571875,2,41,0.4163876721191406,True,REGULAR,USD
27,PM220121P00110000,1586804399,110.0,42.6,38.35,41.35,0.0,0.0,54,26,0.43207355041503903,True,REGULAR,USD
28,PM220121P00115000,1586804095,115.0,46.55,42.75,45.5,0.0,0.0,14,9,0.4325007922363281,True,REGULAR,USD
29,PM220121P00120000,1578071640,120.0,40.2,36.6,39.85,0.0,0.0,2,1,1.0000000000000003e-05,True,REGULAR,USD
30,PM220121P00125000,1586804861,125.0,56.97,52.1,54.25,0.0,0.0,2,5,0.43851269500732426,True,REGULAR,USD
31,PM220121P00130000,1586804914,130.0,61.95,56.75,59.35,0.0,0.0,86,21,0.45935599243164066,True,REGULAR,USD
