,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,V220121P00070000,1586286033,70.0,2.7,1.2,4.5,0.0,0.0,,4,0.5031177618408205,False,REGULAR,USD
1,V220121P00075000,1585665573,75.0,3.52,2.15,3.15,0.0,0.0,1.0,6,0.4822439471435547,False,REGULAR,USD
2,V220121P00080000,1586179813,80.0,2.83,1.22,3.85,0.0,0.0,,1,0.47626256164550784,False,REGULAR,USD
3,V220121P00085000,1586201835,85.0,4.15,3.0,5.05,0.0,0.0,2.0,33,0.4831594653320313,False,REGULAR,USD
4,V220121P00090000,1586879890,90.0,4.4,3.1,5.6,-0.099999905,-2.2222202,2.0,653,0.46716841430664063,False,REGULAR,USD
5,V220121P00095000,1586886615,95.0,5.0,3.5,6.35,-1.7199998,-25.595236,6.0,179,0.4559380578613281,False,REGULAR,USD
6,V220121P00100000,1586887301,100.0,5.5,5.55,6.75,-1.5,-21.428572,1.0,299,0.4354609677124024,False,REGULAR,USD
7,V220121P00105000,1585232894,105.0,7.75,4.3,8.1,0.0,0.0,1.0,56,0.4358576922607422,False,REGULAR,USD
8,V220121P00110000,1586881917,110.0,9.8,6.5,9.2,1.5,18.072289,1.0,83,0.4285945812988281,False,REGULAR,USD
9,V220121P00115000,1585756109,115.0,12.85,6.9,10.6,0.0,0.0,1.0,117,0.425359750366211,False,REGULAR,USD
10,V220121P00120000,1586872612,120.0,10.77,8.75,11.45,-0.22999954,-2.090905,1.0,125,0.41095559753417965,False,REGULAR,USD
11,V220121P00125000,1586886041,125.0,11.25,9.85,12.7,-9.75,-46.42857,1.0,147,0.4024717956542969,False,REGULAR,USD
12,V220121P00130000,1585338882,130.0,13.7,11.5,15.3,0.0,0.0,1.0,545,0.41321387573242185,False,REGULAR,USD
13,V220121P00135000,1585937548,135.0,20.9,12.8,15.8,0.0,0.0,5.0,645,0.3909667837524414,False,REGULAR,USD
14,V220121P00140000,1586451556,140.0,16.0,14.15,17.45,0.0,0.0,1.0,529,0.3846191909790039,False,REGULAR,USD
15,V220121P00145000,1585943856,145.0,25.1,15.7,19.1,0.0,0.0,4.0,87,0.3770203900146484,False,REGULAR,USD
16,V220121P00150000,1586872612,150.0,20.4,17.95,21.7,-1.6800003,-7.608697,1.0,558,0.38028573822021483,False,REGULAR,USD
17,V220121P00155000,1586287813,155.0,23.99,20.25,23.7,0.0,0.0,1.0,27,0.3744264218139648,False,REGULAR,USD
18,V220121P00160000,1586875761,160.0,23.0,22.2,25.15,-3.58,-13.468774,4.0,455,0.36093778717041014,False,REGULAR,USD
19,V220121P00165000,1586793606,165.0,28.0,24.1,27.35,0.0,0.0,7.0,799,0.35527683303832996,False,REGULAR,USD
20,V220121P00170000,1586792204,170.0,31.5,26.45,29.85,0.0,0.0,1.0,863,0.3518436398315429,False,REGULAR,USD
21,V220121P00175000,1586268240,175.0,30.0,28.9,32.2,0.0,0.0,1.0,61,0.34549604705810544,True,REGULAR,USD
22,V220121P00180000,1585337268,180.0,38.26,30.8,34.8,0.0,0.0,4.0,946,0.34073535247802733,True,REGULAR,USD
23,V220121P00185000,1584387524,185.0,52.45,33.8,37.7,0.0,0.0,2.0,272,0.3380650910949707,True,REGULAR,USD
24,V220121P00190000,1586806621,190.0,42.31,36.95,40.65,0.0,0.0,5.0,536,0.3347539669799804,True,REGULAR,USD
25,V220121P00195000,1586269150,195.0,43.02,39.85,43.45,0.0,0.0,10.0,107,0.32866577102661126,True,REGULAR,USD
26,V220121P00200000,1585943284,200.0,58.9,43.15,46.75,0.0,0.0,7.0,327,0.32684999328613284,True,REGULAR,USD
27,V220121P00205000,1584625379,205.0,72.66,46.1,49.95,0.0,0.0,122.0,117,0.32282171325683584,True,REGULAR,USD
28,V220121P00210000,1585057699,210.0,65.31,49.45,52.95,0.0,0.0,3.0,100,0.31546705047607415,True,REGULAR,USD
29,V220121P00215000,1586791447,215.0,59.3,53.05,56.5,0.0,0.0,2.0,8,0.3130561859130859,True,REGULAR,USD
30,V220121P00220000,1582576630,220.0,35.0,64.5,68.8,0.0,0.0,1.0,58,0.4073393006896973,True,REGULAR,USD
31,V220121P00225000,1583768284,225.0,60.85,59.3,64.5,0.0,0.0,1.0,7,0.3155433436584472,True,REGULAR,USD
32,V220121P00230000,1582643913,230.0,42.25,68.3,73.0,0.0,0.0,1.0,26,0.3678652081298829,True,REGULAR,USD
33,V220121P00235000,1584019930,235.0,80.78,67.0,71.5,0.0,0.0,1.0,52,0.30216151947021486,True,REGULAR,USD
34,V220121P00240000,1584731483,240.0,95.0,70.9,75.0,0.0,0.0,37.0,102,0.2934335794067382,True,REGULAR,USD
35,V220121P00245000,1584974464,245.0,109.95,74.7,79.0,0.0,0.0,1.0,12,0.28992409301757804,True,REGULAR,USD
36,V220121P00250000,1585936547,250.0,100.81,79.35,83.0,0.0,0.0,1.0,165,0.28528546752929684,True,REGULAR,USD
37,V220121P00255000,1584986976,255.0,118.8,83.35,87.4,0.0,0.0,1.0,321,0.2854075366210937,True,REGULAR,USD
38,V220121P00260000,1584974464,260.0,124.05,87.3,91.5,0.0,0.0,1.0,19,0.280005979309082,True,REGULAR,USD
39,V220121P00265000,1586883007,265.0,93.45,91.5,96.0,-7.850006,-7.749265,1.0,46,0.27994494476318355,True,REGULAR,USD
40,V220121P00270000,1585679298,270.0,106.8,96.0,100.2,0.0,0.0,2.0,7,0.27374993835449213,True,REGULAR,USD
41,V220121P00275000,1585248587,275.0,109.65,100.5,105.0,0.0,0.0,2.0,0,0.2775035629272461,True,REGULAR,USD
42,V220121P00280000,1583854724,280.0,110.5,105.0,109.0,0.0,0.0,2.0,2,0.2645947564697265,True,REGULAR,USD
43,V220121P00285000,1586871966,285.0,110.3,109.7,114.0,-3.9799957,-3.4826705,1.0,4,0.27136959106445313,True,REGULAR,USD
44,V220121P00300000,1586871966,300.0,124.55,124.0,128.6,-4.1299896,-3.2095041,1.0,2,0.28137925659179686,True,REGULAR,USD
