,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,GS200417P00070000,1585928437,70.0,0.03,0.0,0.05,0.0,0.0,1.0,44,3.1250021875,False,REGULAR,USD
1,GS200417P00075000,1586788014,75.0,0.02,0.0,0.04,0.0,0.0,1.0,551,2.843752890625,False,REGULAR,USD
2,GS200417P00080000,1585938016,80.0,0.2,0.0,0.05,0.0,0.0,2.0,103,2.7031282421875,False,REGULAR,USD
3,GS200417P00085000,1585588151,85.0,0.26,0.0,0.12,0.0,0.0,1.0,90,2.750003125,False,REGULAR,USD
4,GS200417P00090000,1586186701,90.0,0.2,0.0,0.07,0.0,0.0,1.0,279,2.4062539843749997,False,REGULAR,USD
5,GS200417P00095000,1586451646,95.0,0.02,0.0,0.01,0.0,0.0,50.0,111,1.875000625,False,REGULAR,USD
6,GS200417P00100000,1586452895,100.0,0.01,0.0,0.01,0.0,0.0,1.0,1864,1.71875140625,False,REGULAR,USD
7,GS200417P00105000,1586281890,105.0,0.07,0.0,0.04,0.0,0.0,2.0,137,1.78125109375,False,REGULAR,USD
8,GS200417P00110000,1586453193,110.0,0.05,0.0,0.08,0.0,0.0,9.0,151,1.765626171875,False,REGULAR,USD
9,GS200417P00115000,1586875469,115.0,0.05,0.0,0.04,-0.029999997,-37.499996,8.0,307,1.5000025,False,REGULAR,USD
10,GS200417P00120000,1586451026,120.0,0.1,0.0,0.09,0.0,0.0,11.0,475,1.484377578125,False,REGULAR,USD
11,GS200417P00125000,1586875959,125.0,0.04,0.01,0.09,-0.010000002,-20.000004,10.0,887,1.359378203125,False,REGULAR,USD
12,GS200417P00130000,1586881769,130.0,0.03,0.0,0.06,-0.07,-70.0,21.0,592,1.15625421875,False,REGULAR,USD
13,GS200417P00132000,1586886111,132.0,0.01,0.0,0.02,-0.11,-91.66667,20.0,1073,0.98437515625,False,REGULAR,USD
14,GS200417P00133000,1586875959,133.0,0.1,0.0,0.08,-0.1,-50.0,30.0,110,1.109379453125,False,REGULAR,USD
15,GS200417P00134000,1586785580,134.0,0.24,0.0,0.15,0.0,0.0,1.0,99,1.171879140625,False,REGULAR,USD
16,GS200417P00135000,1586875054,135.0,0.08,0.0,0.08,-0.07000001,-46.66667,19.0,816,1.05859845703125,False,REGULAR,USD
17,GS200417P00136000,1586461646,136.0,0.31,0.0,0.18,0.0,0.0,3.0,74,1.1445355273437499,False,REGULAR,USD
18,GS200417P00137000,1586452536,137.0,0.4,0.0,0.2,0.0,0.0,5.0,27,1.1328168359375002,False,REGULAR,USD
19,GS200417P00138000,1586806146,138.0,0.21,0.0,0.07,0.0,0.0,7.0,104,0.9687503125,False,REGULAR,USD
20,GS200417P00139000,1586879436,139.0,0.05,0.0,0.08,-0.21,-80.76923,4.0,90,0.9531254687499999,False,REGULAR,USD
21,GS200417P00140000,1586886645,140.0,0.02,0.02,0.04,-0.24,-92.30769,59.0,702,0.8984385156249999,False,REGULAR,USD
22,GS200417P00141000,1586358411,141.0,0.75,0.01,0.11,0.0,0.0,12.0,33,0.9531254687499999,False,REGULAR,USD
23,GS200417P00142000,1586458446,142.0,0.64,0.0,0.12,0.0,0.0,14.0,33,0.9257819921875,False,REGULAR,USD
24,GS200417P00143000,1586879097,143.0,0.07,0.0,0.11,-0.38,-84.44444,51.0,178,0.8906260937499999,False,REGULAR,USD
