,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,NEE200417C00105000,1584539767,105.0,100.1,135.2,137.2,0.0,0.0,,1,4.066411166992188,True,REGULAR,USD
1,NEE200417C00110000,1585157347,110.0,102.0,129.8,133.1,0.0,0.0,,4,4.080083024902344,True,REGULAR,USD
2,NEE200417C00120000,1585857002,120.0,106.2,120.7,122.5,0.0,0.0,,1,3.7792974267578128,True,REGULAR,USD
3,NEE200417C00140000,1585158883,140.0,73.0,100.5,102.4,0.0,0.0,8.0,8,2.9482448168945314,True,REGULAR,USD
4,NEE200417C00150000,1585165330,150.0,68.5,90.5,93.6,0.0,0.0,,0,2.9111355346679693,True,REGULAR,USD
5,NEE200417C00160000,1584733502,160.0,37.1,80.6,82.3,0.0,0.0,24.0,1,2.313480778808593,True,REGULAR,USD
6,NEE200417C00165000,1585666134,165.0,78.92,75.7,77.3,0.0,0.0,12.0,0,2.189457651367187,True,REGULAR,USD
7,NEE200417C00170000,1586268872,170.0,69.6,70.6,72.3,0.0,0.0,10.0,10,2.021489321289063,True,REGULAR,USD
8,NEE200417C00180000,1585838596,180.0,44.0,60.4,62.3,0.0,0.0,1.0,17,1.699708532714844,True,REGULAR,USD
9,NEE200417C00185000,1585077664,185.0,51.72,56.0,57.1,0.0,0.0,3.0,29,1.6435564697265623,True,REGULAR,USD
10,NEE200417C00190000,1586182454,190.0,42.0,50.9,52.4,0.0,0.0,5.0,35,1.5415061987304686,True,REGULAR,USD
11,NEE200417C00195000,1586183342,195.0,37.6,45.6,47.2,0.0,0.0,2.0,10,1.32422212890625,True,REGULAR,USD
12,NEE200417C00200000,1586886540,200.0,41.23,41.3,42.3,-4.5699997,-9.978166,54.0,308,1.3129917163085936,True,REGULAR,USD
13,NEE200417C00210000,1586879672,210.0,30.05,30.8,32.2,-5.0300026,-14.33866,1.0,137,0.9677737597656251,True,REGULAR,USD
14,NEE200417C00220000,1586802452,220.0,17.0,21.3,22.5,0.0,0.0,50.0,168,0.7885763330078125,True,REGULAR,USD
15,NEE200417C00230000,1586885157,230.0,11.8,12.0,13.5,2.9000006,32.58428,9.0,276,0.6181678808593751,True,REGULAR,USD
16,NEE200417C00240000,1586886540,240.0,5.13,5.2,5.5,1.3300002,35.000004,72.0,977,0.5053760400390624,True,REGULAR,USD
17,NEE200417C00250000,1586888697,250.0,1.25,1.1,1.3,0.35000002,38.888893,405.0,799,0.44385321777343745,False,REGULAR,USD
18,NEE200417C00260000,1586887786,260.0,0.1,0.05,0.2,-0.1,-50.0,65.0,2757,0.4331111376953125,False,REGULAR,USD
19,NEE200417C00270000,1586802164,270.0,0.1,0.0,0.05,0.0,0.0,4.0,579,0.48438015625,False,REGULAR,USD
20,NEE200417C00280000,1586871600,280.0,0.13,0.0,0.05,0.08,159.99998,2.0,965,0.5664105859375,False,REGULAR,USD
21,NEE200417C00290000,1586802417,290.0,0.05,0.0,0.05,0.0,0.0,2.0,1116,0.6796907031250001,False,REGULAR,USD
22,NEE200417C00300000,1586284295,300.0,0.1,0.0,0.05,0.0,0.0,1.0,248,0.789064609375,False,REGULAR,USD
23,NEE200417C00310000,1585928256,310.0,0.05,0.0,0.05,0.0,0.0,14.0,658,0.8906260937499999,False,REGULAR,USD
24,NEE200417C00320000,1585762030,320.0,0.05,0.0,0.05,0.0,0.0,2.0,86,0.98437515625,False,REGULAR,USD
25,NEE200417C00330000,1585667687,330.0,0.05,0.0,0.9,0.0,0.0,8.0,46,1.553713168945312,False,REGULAR,USD
26,NEE200417C00340000,1583513526,340.0,0.15,0.0,1.05,0.0,0.0,15.0,11,1.7138686181640623,False,REGULAR,USD
27,NEE200417C00360000,1583880194,360.0,0.25,,1.05,0.0,0.0,,1,2.1850631311035156,False,REGULAR,USD
28,NEE200417C00380000,1584555832,380.0,0.1,0.0,0.9,0.0,0.0,1.0,7,2.0986375659179686,False,REGULAR,USD
29,NEE200417C00390000,1583849459,390.0,0.1,0.0,1.05,0.0,0.0,,3,2.2460981347656244,False,REGULAR,USD
