,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,OXY200417P00002500,1586886840,2.5,0.01,0.0,0.05,0.0,0.0,80.0,3516,7.87500015625,False,REGULAR,USD
1,OXY200417P00005000,1586875137,5.0,0.01,0.0,0.01,0.0,0.0,88.0,2591,3.93750015625,False,REGULAR,USD
2,OXY200417P00006000,1586880368,6.0,0.01,0.0,0.14,0.0,0.0,20.0,228,4.843753945312499,False,REGULAR,USD
3,OXY200417P00007000,1586883446,7.0,0.03,0.01,0.02,-0.020000001,-40.000004,6.0,565,3.1875020312499998,False,REGULAR,USD
4,OXY200417P00007500,1586882550,7.5,0.01,0.01,0.03,-0.01,-50.0,19.0,13749,3.06250234375,False,REGULAR,USD
5,OXY200417P00008000,1586884001,8.0,0.02,0.01,0.03,-0.02,-50.0,14.0,3139,2.7812530468750003,False,REGULAR,USD
6,OXY200417P00009000,1586883679,9.0,0.03,0.02,0.04,-0.020000001,-40.000004,184.0,4104,2.468753828125,False,REGULAR,USD
7,OXY200417P00010000,1586887736,10.0,0.05,0.04,0.06,-0.009999998,-16.666664,1128.0,19008,2.1875045312499997,False,REGULAR,USD
8,OXY200417P00011000,1586887531,11.0,0.06,0.04,0.07,-0.030000005,-33.333336,621.0,10957,1.765626171875,False,REGULAR,USD
9,OXY200417P00012000,1586887587,12.0,0.12,0.09,0.12,-0.020000003,-14.285716,1376.0,9187,1.5703146484375,False,REGULAR,USD
10,OXY200417P00012500,1586887753,12.5,0.17,0.12,0.18,-0.030000001,-15.0,126.0,2220,1.484377578125,False,REGULAR,USD
11,OXY200417P00013000,1586888501,13.0,0.21,0.18,0.25,-0.030000001,-12.5,418.0,12832,1.41015919921875,False,REGULAR,USD
12,OXY200417P00014000,1586888696,14.0,0.4,0.4,0.42,-0.01999998,-4.7619004,1169.0,4269,1.23047259765625,False,REGULAR,USD
13,OXY200417P00015000,1586888716,15.0,0.81,0.79,0.82,0.060000002,8.0,2905.0,3965,1.1171919140625,True,REGULAR,USD
14,OXY200417P00016000,1586888390,16.0,1.53,1.47,1.51,0.26,20.47244,2864.0,1337,1.1367230664062502,True,REGULAR,USD
15,OXY200417P00017000,1586887900,17.0,2.3,2.27,2.39,0.3499999,17.948713,135.0,892,1.16016044921875,True,REGULAR,USD
16,OXY200417P00017500,1586888501,17.5,2.8,2.72,2.82,0.3499999,14.285711,34.0,842,1.1015669921875002,True,REGULAR,USD
17,OXY200417P00018000,1586879423,18.0,2.8,3.15,3.35,0.049999952,1.8181801,16.0,147,1.140629296875,True,REGULAR,USD
18,OXY200417P00019000,1586877694,19.0,3.78,4.15,4.25,-0.029999971,-0.78740084,9.0,25,1.3750031249999999,True,REGULAR,USD
19,OXY200417P00020000,1586884875,20.0,5.1,5.1,5.35,0.5,10.869565,13.0,102,1.359378203125,True,REGULAR,USD
20,OXY200417P00021000,1586750735,21.0,4.5,6.1,6.25,0.0,0.0,,3,1.7968760156249999,True,REGULAR,USD
21,OXY200417P00022500,1586876870,22.5,7.42,7.6,7.8,0.20000029,2.7700872,1.0,886,2.4062539843749997,True,REGULAR,USD
22,OXY200417P00025000,1586803792,25.0,9.74,10.05,10.25,0.0,0.0,3.0,508,2.4843787890625,True,REGULAR,USD
23,OXY200417P00027500,1586882795,27.5,12.4,12.55,12.8,0.28999996,2.3947148,2.0,628,3.2421893945312497,True,REGULAR,USD
24,OXY200417P00030000,1586884072,30.0,15.04,15.1,15.3,0.39000034,2.6621184,39.0,537,3.593751015625,True,REGULAR,USD
25,OXY200417P00032500,1586802621,32.5,17.0,17.55,17.75,-0.10000038,-0.58479756,25.0,306,3.43750140625,True,REGULAR,USD
26,OXY200417P00035000,1586877339,35.0,19.9,20.1,20.25,0.12999916,0.6575577,11.0,60,3.7031257421875,True,REGULAR,USD
27,OXY200417P00037500,1586186992,37.5,24.6,22.6,22.8,0.0,0.0,5.0,106,4.437504453124999,True,REGULAR,USD
28,OXY200417P00040000,1586887749,40.0,25.3,25.05,25.3,2.6499996,11.699779,15.0,74,4.67187916015625,True,REGULAR,USD
29,OXY200417P00042500,1586184132,42.5,27.7,27.6,27.75,0.0,0.0,12.0,15,4.375004531249999,True,REGULAR,USD
30,OXY200417P00045000,1585770531,45.0,34.37,30.05,30.25,0.0,0.0,6.0,15,4.562504296875,True,REGULAR,USD
31,OXY200417P00047500,1586785471,47.5,32.46,32.6,32.75,0.0,0.0,1.0,0,4.7500040624999995,True,REGULAR,USD
32,OXY200417P00050000,1584125087,50.0,37.32,32.7,37.0,0.0,0.0,,1,10.425784733886719,True,REGULAR,USD
33,OXY200417P00055000,1584387121,55.0,42.65,40.1,40.25,0.0,0.0,,0,5.218753476562499,True,REGULAR,USD
