,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,BAC200424P00010000,1586451440,10.0,0.01,0.0,0.02,0.0,0.0,10.0,237,1.96875015625,False,REGULAR,USD
1,BAC200424P00013000,1586797469,13.0,0.02,0.01,0.02,0.0,0.0,2.0,181,1.46875265625,False,REGULAR,USD
2,BAC200424P00014000,1586879367,14.0,0.02,0.01,0.03,0.0,0.0,56.0,90,1.359378203125,False,REGULAR,USD
3,BAC200424P00015000,1586885995,15.0,0.03,0.02,0.03,0.0,0.0,618.0,2161,1.2343788281249999,False,REGULAR,USD
4,BAC200424P00016000,1586886094,16.0,0.03,0.02,0.03,-0.01,-25.0,22.0,190,1.0781296093750001,False,REGULAR,USD
5,BAC200424P00016500,1586885922,16.5,0.04,0.03,0.04,-0.02,-33.333336,107.0,2627,1.0625046875000002,False,REGULAR,USD
6,BAC200424P00017000,1586885922,17.0,0.05,0.03,0.05,-0.029999997,-37.499996,42.0,667,1.0078174609375,False,REGULAR,USD
7,BAC200424P00017500,1586880263,17.5,0.08,0.05,0.06,0.0,0.0,92.0,459,0.9882813671875,False,REGULAR,USD
8,BAC200424P00018000,1586887330,18.0,0.06,0.05,0.07,-0.05,-45.454544,82.0,1353,0.9257819921875,False,REGULAR,USD
9,BAC200424P00018500,1586884895,18.5,0.1,0.07,0.08,-0.04,-28.571426,129.0,788,0.8867198828124999,False,REGULAR,USD
10,BAC200424P00019000,1586887854,19.0,0.11,0.1,0.1,-0.060000002,-35.294117,649.0,1931,0.8632826171875,False,REGULAR,USD
11,BAC200424P00020000,1586888539,20.0,0.16,0.16,0.17,-0.099999994,-38.461536,3700.0,6906,0.8007832421875,False,REGULAR,USD
12,BAC200424P00021000,1586888457,21.0,0.28,0.28,0.29,-0.13999999,-33.333332,1005.0,3289,0.7539087109375,False,REGULAR,USD
13,BAC200424P00022000,1586888141,22.0,0.48,0.45,0.46,-0.14000002,-22.580648,1693.0,3517,0.6914093359375001,False,REGULAR,USD
14,BAC200424P00022500,1586888105,22.5,0.6,0.56,0.58,-0.14999998,-19.999998,639.0,588,0.65820654296875,False,REGULAR,USD
15,BAC200424P00023000,1586888452,23.0,0.75,0.74,0.75,-0.16000003,-17.582418,1754.0,1175,0.64648791015625,False,REGULAR,USD
16,BAC200424P00023500,1586888511,23.5,0.94,0.93,0.94,-0.21999997,-18.965515,966.0,387,0.622074091796875,False,REGULAR,USD
17,BAC200424P00024000,1586888302,24.0,1.21,1.17,1.18,-0.14999998,-11.02941,2955.0,874,0.6054726953125001,True,REGULAR,USD
18,BAC200424P00024500,1586887863,24.5,1.5,1.45,1.46,-0.100000024,-6.250001,474.0,535,0.5888712988281251,True,REGULAR,USD
19,BAC200424P00025000,1586888201,25.0,1.8,1.77,1.78,-0.060000062,-3.2258098,305.0,418,0.5722699023437501,True,REGULAR,USD
20,BAC200424P00025500,1586883144,25.5,2.43,2.15,2.17,0.18000007,8.000004,55.0,242,0.577152666015625,True,REGULAR,USD
21,BAC200424P00026000,1586884297,26.0,2.83,2.53,2.55,0.28999996,11.417321,390.0,69,0.55273884765625,True,REGULAR,USD
22,BAC200424P00026500,1586875511,26.5,3.1,2.93,2.96,0.18999982,6.529203,229.0,63,0.51562984375,True,REGULAR,USD
23,BAC200424P00027000,1586876597,27.0,3.6,3.35,3.4,0.29999995,9.090908,7.0,127,0.507817421875,True,REGULAR,USD
24,BAC200424P00027500,1586881566,27.5,3.95,3.8,3.95,0.5,14.492753,13.0,33,0.507817421875,True,REGULAR,USD
25,BAC200424P00028000,1586879021,28.0,4.55,4.25,4.4,1.2000003,35.820904,2.0,303,0.6093789062500001,True,REGULAR,USD
26,BAC200424P00028500,1585578936,28.5,6.65,4.75,4.9,0.0,0.0,1.0,2,0.6601596484375001,True,REGULAR,USD
27,BAC200424P00029000,1584547204,29.0,8.55,5.2,5.3,0.0,0.0,1.0,4,1.0000000000000003e-05,True,REGULAR,USD
28,BAC200424P00029500,1583956210,29.5,7.1,4.6,5.0,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD
29,BAC200424P00030000,1583765244,30.0,7.6,6.9,7.05,0.0,0.0,,4,1.466799541015625,True,REGULAR,USD
30,BAC200424P00030500,1586785052,30.5,6.55,6.7,6.85,0.0,0.0,1.0,19,0.6640658593750002,True,REGULAR,USD
31,BAC200424P00031000,1586372282,31.0,7.75,7.2,7.3,0.0,0.0,52.0,79,1.0000000000000003e-05,True,REGULAR,USD
32,BAC200424P00031500,1586750667,31.5,8.4,7.7,7.8,0.0,0.0,,12,1.0000000000000003e-05,True,REGULAR,USD
33,BAC200424P00032000,1583727234,32.0,9.34,10.8,12.7,0.0,0.0,,0,3.6035166162109373,True,REGULAR,USD
34,BAC200424P00032500,1586442453,32.5,7.85,8.7,8.85,0.0,0.0,33.0,32,0.79687703125,True,REGULAR,USD
35,BAC200424P00033000,1586451379,33.0,7.95,9.25,9.35,0.0,0.0,42.0,42,0.8281267187499999,True,REGULAR,USD
36,BAC200424P00034000,1585337262,34.0,11.9,10.2,10.35,0.0,0.0,1.0,0,0.8984385156249999,True,REGULAR,USD
