,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,EMR200501C00042000,1585331011,42.0,7.32,8.9,10.2,0.0,0.0,1.0,1,0.936524072265625,True,REGULAR,USD
1,EMR200501C00048000,1585922811,48.0,5.82,4.3,4.9,0.0,0.0,1.0,39,0.72070591796875,True,REGULAR,USD
2,EMR200501C00049000,1586183439,49.0,2.7,3.6,4.5,0.0,0.0,10.0,12,0.7258328198242188,True,REGULAR,USD
3,EMR200501C00050000,1586266205,50.0,3.3,2.95,3.8,0.0,0.0,1.0,32,0.6909210595703126,True,REGULAR,USD
4,EMR200501C00052000,1586876115,52.0,1.98,1.85,2.6,-0.56999993,-22.352938,5.0,16,0.6342810009765626,False,REGULAR,USD
5,EMR200501C00053000,1585229417,53.0,1.9,1.4,1.95,0.0,0.0,,1,0.5922892333984376,False,REGULAR,USD
6,EMR200501C00054000,1586197012,54.0,0.71,0.8,1.65,0.0,0.0,5.0,28,0.5581098876953126,False,REGULAR,USD
7,EMR200501C00055000,1586458157,55.0,1.47,0.65,1.15,0.0,0.0,15.0,140,0.5385788330078126,False,REGULAR,USD
8,EMR200501C00058000,1584641981,58.0,1.35,0.0,0.5,0.0,0.0,1.0,1,0.5747112841796875,False,REGULAR,USD
9,EMR200501C00059000,1584467158,59.0,1.05,0.0,0.4,0.0,0.0,,135,0.5810588769531251,False,REGULAR,USD
10,EMR200501C00060000,1586455362,60.0,0.5,0.0,0.3,0.0,0.0,1.0,1,0.577152666015625,False,REGULAR,USD
