,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,JNJ200501P00080000,1586787380,80.0,0.73,0.0,2.52,0.0,0.0,1.0,4,1.8095712646484374,False,REGULAR,USD
1,JNJ200501P00095000,1585576361,95.0,0.67,0.0,3.15,0.0,0.0,2.0,8,1.4477566674804687,False,REGULAR,USD
2,JNJ200501P00100000,1586872369,100.0,0.01,0.0,3.4,-0.38,-97.4359,1.0,6,1.3359408203124996,False,REGULAR,USD
3,JNJ200501P00105000,1586876920,105.0,0.23,0.0,0.52,-0.15999998,-41.02564,1.0,13,0.7949239257812499,False,REGULAR,USD
4,JNJ200501P00110000,1586807987,110.0,0.5,0.0,0.39,0.0,0.0,1.0,13,0.6650424121093752,False,REGULAR,USD
5,JNJ200501P00111000,1586887233,111.0,0.21,0.02,0.35,-0.66,-75.86207,3.0,1,0.64062859375,False,REGULAR,USD
6,JNJ200501P00112000,1585770186,112.0,1.83,0.0,4.05,0.0,0.0,,1,1.0737351000976565,False,REGULAR,USD
7,JNJ200501P00114000,1585771000,114.0,1.95,0.01,3.95,0.0,0.0,,10,1.013676806640625,False,REGULAR,USD
8,JNJ200501P00115000,1586873041,115.0,0.2,0.03,0.89,-0.63,-75.90362,2.0,18,0.676761044921875,False,REGULAR,USD
9,JNJ200501P00116000,1586871646,116.0,0.87,0.03,4.1,0.20999998,31.818178,3.0,34,0.9750979052734375,False,REGULAR,USD
10,JNJ200501P00118000,1586805649,118.0,0.78,0.05,4.1,0.0,0.0,5.0,7,0.9248054394531251,False,REGULAR,USD
11,JNJ200501P00119000,1586370711,119.0,0.73,0.03,3.95,0.0,0.0,1.0,2,0.8864757446289062,False,REGULAR,USD
12,JNJ200501P00120000,1586876920,120.0,0.83,0.02,4.4,-0.06999999,-7.777777,2.0,39,0.8923350610351561,False,REGULAR,USD
13,JNJ200501P00121000,1586802181,121.0,1.03,0.01,4.3,0.0,0.0,4.0,6,0.8586439916992188,False,REGULAR,USD
14,JNJ200501P00122000,1586787532,122.0,1.0,0.3,2.98,0.0,0.0,1.0,87,0.7592797509765626,False,REGULAR,USD
15,JNJ200501P00123000,1586874661,123.0,0.77,0.06,4.3,-0.45000005,-36.88525,1.0,5,0.8103046313476561,False,REGULAR,USD
16,JNJ200501P00124000,1584542224,124.0,6.83,0.02,4.5,0.0,0.0,,0,0.7949239257812499,False,REGULAR,USD
17,JNJ200501P00125000,1586876825,125.0,0.54,0.34,0.93,-0.59999996,-52.631577,3.0,111,0.5195360546875,False,REGULAR,USD
18,JNJ200501P00126000,1586797453,126.0,1.64,0.5,4.4,0.0,0.0,4.0,106,0.7666038964843751,False,REGULAR,USD
19,JNJ200501P00127000,1586267731,127.0,1.94,0.07,3.05,0.0,0.0,1.0,2,0.6267127172851563,False,REGULAR,USD
20,JNJ200501P00128000,1586871849,128.0,1.0,0.11,3.9,-0.59000003,-37.10692,1.0,71,0.6601596484375001,False,REGULAR,USD
21,JNJ200501P00129000,1586807390,129.0,2.01,0.15,3.95,0.0,0.0,1.0,93,0.6401403173828125,False,REGULAR,USD
22,JNJ200501P00130000,1586871768,130.0,0.9,0.06,1.99,-1.1,-55.0,1.0,448,0.6076699389648439,False,REGULAR,USD
23,JNJ200501P00131000,1586874661,131.0,1.12,0.06,4.2,-1.1899999,-51.51515,1.0,127,0.5983926879882813,False,REGULAR,USD
24,JNJ200501P00132000,1586876888,132.0,1.13,0.06,4.3,-1.39,-55.15873,4.0,150,0.57812921875,False,REGULAR,USD
25,JNJ200501P00133000,1586878692,133.0,1.15,0.07,4.15,-1.61,-58.333332,6.0,342,0.5444381494140625,False,REGULAR,USD
26,JNJ200501P00134000,1586878632,134.0,1.15,0.12,3.25,-1.7500001,-60.34483,1.0,100,0.6342810009765626,False,REGULAR,USD
27,JNJ200501P00135000,1586790292,135.0,3.55,0.1,3.45,0.0,0.0,14.0,765,0.6245154736328126,False,REGULAR,USD
28,JNJ200501P00136000,1586885891,136.0,1.45,0.18,1.64,-1.8999999,-56.71641,1.0,12,0.4162656030273437,False,REGULAR,USD
29,JNJ200501P00137000,1586873746,137.0,1.62,0.83,4.0,-2.33,-58.98734,6.0,9,0.6149940844726562,False,REGULAR,USD
30,JNJ200501P00138000,1586884558,138.0,1.78,0.67,4.35,-2.47,-58.117645,3.0,64,0.6147499462890625,False,REGULAR,USD
31,JNJ200501P00139000,1586878673,139.0,2.0,1.53,2.0,-3.15,-61.165047,1.0,22,0.37390762817382805,False,REGULAR,USD
32,JNJ200501P00140000,1586886715,140.0,2.0,1.78,2.17,-3.27,-62.049335,16.0,27,0.3618227880859375,False,REGULAR,USD
33,JNJ200501P00141000,1586884558,141.0,2.47,1.88,2.95,-2.93,-54.25926,13.0,42,0.40064075927734377,False,REGULAR,USD
34,JNJ200501P00142000,1586803551,142.0,2.79,2.06,2.94,-3.3600001,-54.634144,1.0,26,0.36853658813476564,False,REGULAR,USD
35,JNJ200501P00143000,1586878988,143.0,3.3,2.58,4.65,-23.78,-87.81389,21.0,21,0.47400428344726564,False,REGULAR,USD
36,JNJ200501P00145000,1586888185,145.0,3.6,3.25,3.8,-4.35,-54.71698,76.0,315,0.334967587890625,False,REGULAR,USD
37,JNJ200501P00146000,1586886930,146.0,3.9,3.8,4.35,-5.9900002,-60.566227,35.0,1,0.3393620751953125,False,REGULAR,USD
38,JNJ200501P00147000,1586880395,147.0,4.61,4.15,4.8,-13.68,-74.79497,21.0,6,0.3332586206054688,True,REGULAR,USD
39,JNJ200501P00160000,1584553489,160.0,28.35,12.75,15.45,0.0,0.0,,32,0.45313046875,True,REGULAR,USD
