,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,MMM200508P00085000,1585315812,85.0,1.57,0.0,2.49,0.0,0.0,,10,1.4506863403320311,False,REGULAR,USD
1,MMM200508P00090000,1585315818,90.0,1.7,0.0,3.6,0.0,0.0,,10,1.4526394555664064,False,REGULAR,USD
2,MMM200508P00095000,1585363450,95.0,1.97,0.0,0.7,0.0,0.0,,10,0.936524072265625,False,REGULAR,USD
3,MMM200508P00110000,1586750818,110.0,2.02,0.09,2.87,0.0,0.0,,1,0.9291999267578125,False,REGULAR,USD
4,MMM200508P00115000,1586180369,115.0,1.79,0.44,1.06,0.0,0.0,1.0,4,0.6938507177734375,False,REGULAR,USD
5,MMM200508P00125000,1585578692,125.0,6.42,0.9,2.97,0.0,0.0,,1,0.6823762231445314,False,REGULAR,USD
6,MMM200508P00128000,1585838885,128.0,6.15,1.3,2.85,0.0,0.0,,1,0.6359899682617188,False,REGULAR,USD
7,MMM200508P00130000,1586193894,130.0,5.26,1.6,2.5,0.0,0.0,1.0,3,0.5915568188476563,False,REGULAR,USD
8,MMM200508P00132000,1585921528,132.0,7.55,1.72,2.93,0.0,0.0,4.0,4,0.577152666015625,False,REGULAR,USD
9,MMM200508P00133000,1585586872,133.0,8.61,1.64,4.75,0.0,0.0,1.0,3,0.635867899169922,False,REGULAR,USD
10,MMM200508P00134000,1585921528,134.0,8.18,1.69,3.05,0.0,0.0,4.0,4,0.5384567639160158,False,REGULAR,USD
11,MMM200508P00135000,1586883103,135.0,2.77,2.4,3.5,-0.73,-20.857143,4.0,5,0.5686078295898438,False,REGULAR,USD
12,MMM200508P00136000,1585587158,136.0,10.02,2.37,4.0,0.0,0.0,,2,0.5656781713867188,False,REGULAR,USD
13,MMM200508P00138000,1586145928,138.0,8.57,2.5,4.1,0.0,0.0,,1,0.5283250292968751,False,REGULAR,USD
14,MMM200508P00139000,1586270781,139.0,5.02,2.89,5.0,0.0,0.0,1.0,0,0.5546919531250001,False,REGULAR,USD
15,MMM200508P00140000,1586883103,140.0,3.84,3.2,4.75,-0.6299999,-14.093958,6.0,2,0.5319871020507813,False,REGULAR,USD
16,MMM200508P00142000,1586287283,142.0,6.95,3.7,5.55,0.0,0.0,,57,0.5283250292968751,False,REGULAR,USD
17,MMM200508P00143000,1586873362,143.0,4.5,3.75,5.5,-2.5,-35.714287,1.0,6,0.5017139672851563,False,REGULAR,USD
18,MMM200508P00145000,1586874778,145.0,6.2,4.55,5.7,-0.20000029,-3.1250045,1.0,39,0.5202684692382812,False,REGULAR,USD
19,MMM200508P00146000,1586872377,146.0,5.28,4.7,7.0,-2.6699996,-33.5849,10.0,11,0.5013477600097658,False,REGULAR,USD
20,MMM200508P00150000,1586201604,150.0,14.63,6.3,8.35,0.0,0.0,8.0,13,0.5377243493652344,False,REGULAR,USD
21,MMM200508P00155000,1586456978,155.0,12.0,8.35,11.45,0.0,0.0,1.0,41,0.5533491931152343,True,REGULAR,USD
