,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,NFLX200515C00205000,1585015297,205.0,149.54,211.15,213.95,0.0,0.0,,6,1.2436561254882812,True,REGULAR,USD
1,NFLX200515C00210000,1583772449,210.0,132.99,159.95,162.9,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD
2,NFLX200515C00215000,1585239492,215.0,136.75,200.85,203.55,0.0,0.0,1.0,2,1.0986373193359378,True,REGULAR,USD
3,NFLX200515C00220000,1585239492,220.0,132.0,196.1,198.95,0.0,0.0,,5,1.1279340478515625,True,REGULAR,USD
4,NFLX200515C00225000,1586872219,225.0,177.15,191.3,194.0,35.149994,24.753517,1.0,26,1.11328568359375,True,REGULAR,USD
5,NFLX200515C00235000,1584741974,235.0,112.65,181.25,184.0,0.0,0.0,3.0,3,1.039799722900391,True,REGULAR,USD
6,NFLX200515C00240000,1584634082,240.0,107.5,177.6,179.2,0.0,0.0,,25,1.1054732226562503,True,REGULAR,USD
7,NFLX200515C00250000,1585154522,250.0,108.05,166.5,169.35,0.0,0.0,2.0,16,0.9804689453125001,True,REGULAR,USD
8,NFLX200515C00255000,1586180816,255.0,117.45,161.15,163.8,0.0,0.0,2.0,2,0.8874522973632811,True,REGULAR,USD
9,NFLX200515C00260000,1585764892,260.0,109.73,156.6,159.05,0.0,0.0,1.0,3,0.903321279296875,True,REGULAR,USD
10,NFLX200515C00265000,1585590515,265.0,108.17,151.65,154.35,0.0,0.0,1.0,32,0.8919688537597656,True,REGULAR,USD
11,NFLX200515C00270000,1585941478,270.0,96.1,146.95,149.65,0.0,0.0,1.0,120,0.8913585083007811,True,REGULAR,USD
12,NFLX200515C00275000,1586880511,275.0,140.61,141.9,144.25,41.61,42.030304,2.0,10,0.8371598315429687,True,REGULAR,USD
13,NFLX200515C00280000,1585326440,280.0,88.17,136.85,139.55,0.0,0.0,1.0,37,0.8186053295898437,True,REGULAR,USD
14,NFLX200515C00285000,1585160504,285.0,72.65,131.95,135.0,0.0,0.0,1.0,22,0.8125018749999999,True,REGULAR,USD
15,NFLX200515C00290000,1585584397,290.0,86.46,127.1,129.75,0.0,0.0,2.0,12,0.7773459765625,True,REGULAR,USD
16,NFLX200515C00295000,1586453363,295.0,82.0,122.75,125.4,0.0,0.0,1.0,20,0.7962666857910157,True,REGULAR,USD
17,NFLX200515C00300000,1586882365,300.0,118.4,118.05,120.75,15.400002,14.951457,3.0,334,0.7865011584472656,True,REGULAR,USD
18,NFLX200515C00305000,1586277358,305.0,78.48,113.3,116.0,0.0,0.0,6.0,57,0.7702659692382813,True,REGULAR,USD
19,NFLX200515C00310000,1586885834,310.0,107.23,108.7,111.25,14.230003,15.301079,1.0,100,0.7572045764160158,True,REGULAR,USD
20,NFLX200515C00315000,1586885834,315.0,102.6,103.75,106.25,16.599998,19.302324,1.0,123,0.726565234375,True,REGULAR,USD
21,NFLX200515C00320000,1586792856,320.0,77.44,99.35,102.05,0.0,0.0,3.0,92,0.7303493762207032,True,REGULAR,USD
22,NFLX200515C00325000,1586874452,325.0,87.1,95.45,96.95,8.529999,10.85656,1.0,143,0.7210721252441408,True,REGULAR,USD
23,NFLX200515C00330000,1586872733,330.0,76.55,90.1,92.95,1.6200027,2.1620216,3.0,376,0.702151416015625,True,REGULAR,USD
24,NFLX200515C00335000,1586878849,335.0,80.0,85.9,88.0,9.900002,14.122684,7.0,152,0.6864655377197266,True,REGULAR,USD
25,NFLX200515C00340000,1586888691,340.0,82.75,81.35,83.15,18.279999,28.354273,8.0,311,0.664615170288086,True,REGULAR,USD
26,NFLX200515C00345000,1586807898,345.0,62.23,78.05,79.75,0.0,0.0,6.0,148,0.6898224377441409,True,REGULAR,USD
27,NFLX200515C00350000,1586888664,350.0,74.0,73.1,74.6,14.849998,25.105661,152.0,1202,0.6528355029296876,True,REGULAR,USD
28,NFLX200515C00355000,1586881395,355.0,69.6,69.65,70.45,16.55,31.196981,30.0,247,0.6556430920410157,True,REGULAR,USD
29,NFLX200515C00360000,1586888778,360.0,65.98,64.7,66.8,14.280003,27.620893,35.0,639,0.6402013519287109,True,REGULAR,USD
30,NFLX200515C00365000,1586887771,365.0,59.91,61.1,62.55,13.939999,30.324121,42.0,630,0.6336096209716797,True,REGULAR,USD
31,NFLX200515C00370000,1586888718,370.0,58.0,57.5,59.0,15.950001,37.931038,81.0,3574,0.6338232418823243,True,REGULAR,USD
32,NFLX200515C00375000,1586885947,375.0,52.3,53.8,55.15,11.919998,29.519558,43.0,5396,0.6258582336425782,True,REGULAR,USD
33,NFLX200515C00380000,1586888174,380.0,49.57,50.15,51.25,13.57,37.694443,183.0,782,0.6154213262939454,True,REGULAR,USD
34,NFLX200515C00385000,1586888150,385.0,46.0,46.5,47.8,11.0,31.428572,66.0,441,0.6080361462402344,True,REGULAR,USD
35,NFLX200515C00390000,1586888033,390.0,41.95,43.15,43.9,11.200001,36.422768,321.0,2204,0.5963785479736328,True,REGULAR,USD
36,NFLX200515C00395000,1586888174,395.0,39.45,39.7,40.9,12.08,44.135914,147.0,476,0.5911906115722658,True,REGULAR,USD
37,NFLX200515C00400000,1586888747,400.0,37.8,36.9,37.45,13.119999,53.16045,732.0,7608,0.5853923297119141,True,REGULAR,USD
