,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,SPG200515P00025000,1586879035,25.0,0.09,0.06,0.11,-0.14,-60.869564,4.0,332,1.5312523437499999,False,REGULAR,USD
1,SPG200515P00030000,1586887538,30.0,0.2,0.16,0.22,-0.17999999,-47.36842,17.0,892,1.4375028125,False,REGULAR,USD
2,SPG200515P00035000,1586886439,35.0,0.4,0.31,0.41,-0.17999998,-31.034481,72.0,1039,1.3418001660156247,False,REGULAR,USD
3,SPG200515P00040000,1586887246,40.0,0.66,0.6,0.67,-0.27999997,-29.78723,27.0,2260,1.2548865380859375,False,REGULAR,USD
4,SPG200515P00045000,1586887169,45.0,1.09,0.94,1.12,-0.40999997,-27.33333,80.0,2626,1.1655315161132815,False,REGULAR,USD
5,SPG200515P00050000,1586888654,50.0,1.63,1.56,1.7,-0.65,-28.50877,186.0,4855,1.0874069067382814,False,REGULAR,USD
6,SPG200515P00055000,1586887884,55.0,2.6,2.5,2.65,-0.85000014,-24.637686,219.0,2531,1.0297900073242188,False,REGULAR,USD
7,SPG200515P00060000,1586888434,60.0,3.95,3.8,4.05,-1.1000001,-21.78218,95.0,1275,0.9799806689453125,False,REGULAR,USD
8,SPG200515P00065000,1586888148,65.0,5.9,5.6,6.0,-1.5499997,-20.805367,151.0,422,0.9423833886718749,False,REGULAR,USD
9,SPG200515P00070000,1586887826,70.0,8.65,7.8,8.6,-1.3000002,-13.065329,9.0,1011,0.9082040429687499,True,REGULAR,USD
10,SPG200515P00075000,1586806756,75.0,13.78,10.9,11.6,0.0,0.0,17.0,38,0.8923350610351561,True,REGULAR,USD
11,SPG200515P00080000,1586886448,80.0,14.6,14.35,15.4,-3.1000004,-17.514126,12.0,121,0.8918467846679687,True,REGULAR,USD
12,SPG200515P00085000,1586799445,85.0,22.4,18.45,19.4,0.0,0.0,4.0,35,0.9008798974609374,True,REGULAR,USD
13,SPG200515P00090000,1586804317,90.0,26.3,22.7,24.05,0.0,0.0,4.0,24,0.9340826904296875,True,REGULAR,USD
14,SPG200515P00095000,1586803667,95.0,31.15,27.35,28.65,0.0,0.0,7.0,22,0.9711916943359374,True,REGULAR,USD
15,SPG200515P00100000,1586805592,100.0,35.7,32.25,33.2,0.0,0.0,9.0,57,1.0068409033203123,True,REGULAR,USD
16,SPG200515P00105000,1586799039,105.0,41.7,36.85,38.85,0.0,0.0,1.0,21,1.1235395385742186,True,REGULAR,USD
17,SPG200515P00110000,1586288512,110.0,48.95,41.8,43.55,0.0,0.0,2.0,103,1.162113564453125,True,REGULAR,USD
18,SPG200515P00115000,1586793176,115.0,51.6,46.6,48.55,0.0,0.0,1.0,93,1.2099648876953122,True,REGULAR,USD
19,SPG200515P00120000,1586807331,120.0,55.15,51.3,53.5,0.0,0.0,6.0,40,1.2275429248046876,True,REGULAR,USD
20,SPG200515P00125000,1586375402,125.0,63.35,56.3,58.1,0.0,0.0,6.0,47,1.22266013671875,True,REGULAR,USD
21,SPG200515P00130000,1586358779,130.0,61.75,61.65,63.15,0.0,0.0,5.0,163,1.3520540209960936,True,REGULAR,USD
22,SPG200515P00135000,1586877373,135.0,68.6,66.55,68.35,-3.4500046,-4.7883477,1.0,51,1.4262723999023437,True,REGULAR,USD
23,SPG200515P00140000,1586439458,140.0,72.55,71.65,73.6,0.0,0.0,1.0,886,1.537111689453125,True,REGULAR,USD
24,SPG200515P00145000,1586440572,145.0,73.0,76.25,78.45,0.0,0.0,1.0,14,1.4990259423828123,True,REGULAR,USD
25,SPG200515P00150000,1586459342,150.0,82.75,81.25,83.25,0.0,0.0,7.0,7,1.509768076171875,True,REGULAR,USD
26,SPG200515P00155000,1586794651,155.0,90.15,86.55,87.8,0.0,0.0,1.0,2,1.5253929980468748,True,REGULAR,USD
27,SPG200515P00160000,1586288512,160.0,98.75,91.85,93.4,0.0,0.0,,5,1.7382825585937498,True,REGULAR,USD
28,SPG200515P00170000,1586785190,170.0,104.2,100.55,103.95,0.0,0.0,7.0,9,1.6865250048828124,True,REGULAR,USD
