,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,V200515C00075000,1585078027,75.0,79.0,98.6,99.85,0.0,0.0,2.0,2,1.2070352148437498,True,REGULAR,USD
1,V200515C00085000,1584331385,85.0,82.06,88.45,90.2,0.0,0.0,,1,1.125004375,True,REGULAR,USD
2,V200515C00090000,1584560489,90.0,54.55,83.6,84.95,0.0,0.0,,1,1.0068409033203123,True,REGULAR,USD
3,V200515C00095000,1584560767,95.0,52.05,78.75,80.2,0.0,0.0,,4,1.0449266503906252,True,REGULAR,USD
4,V200515C00100000,1586459028,100.0,73.94,73.85,75.25,0.0,0.0,1.0,27,0.9960937890625,True,REGULAR,USD
5,V200515C00105000,1585239949,105.0,63.5,68.85,70.05,0.0,0.0,1.0,18,0.8808605664062499,True,REGULAR,USD
6,V200515C00110000,1584732654,110.0,43.8,63.95,65.3,0.0,0.0,1.0,6,0.8686536572265625,True,REGULAR,USD
7,V200515C00115000,1586276601,115.0,59.5,59.05,60.4,0.0,0.0,1.0,4,0.8227556787109375,True,REGULAR,USD
8,V200515C00120000,1586189978,120.0,44.95,54.3,55.45,0.0,0.0,5.0,19,0.7846701220703125,True,REGULAR,USD
9,V200515C00125000,1586286021,125.0,46.88,48.9,50.65,0.0,0.0,2.0,49,0.692385888671875,True,REGULAR,USD
10,V200515C00130000,1586888697,130.0,45.0,44.5,45.6,-0.060001373,-0.13315883,1.0,156,0.6733431103515627,True,REGULAR,USD
11,V200515C00135000,1586786171,135.0,36.1,39.5,41.15,0.0,0.0,11.0,153,0.6425816992187501,True,REGULAR,USD
12,V200515C00140000,1586872666,140.0,36.0,34.9,36.25,6.0,20.0,5.0,189,0.6005899316406251,True,REGULAR,USD
13,V200515C00145000,1586888697,145.0,31.15,30.75,31.3,-0.38000107,-1.2052047,3.0,304,0.5727581787109376,True,REGULAR,USD
14,V200515C00150000,1586887566,150.0,26.26,26.45,26.75,4.26,19.363638,13.0,353,0.5445602185058593,True,REGULAR,USD
15,V200515C00155000,1586876670,155.0,21.7,22.15,22.55,3.540001,19.493397,4.0,850,0.51758294921875,True,REGULAR,USD
16,V200515C00160000,1586888231,160.0,18.38,18.15,18.65,3.3799992,22.533327,60.0,1745,0.5109912182617188,True,REGULAR,USD
17,V200515C00165000,1586882021,165.0,14.87,14.35,14.7,2.88,24.020018,24.0,1694,0.47290566162109376,True,REGULAR,USD
18,V200515C00170000,1586885116,170.0,11.0,10.95,11.25,1.9899998,22.086567,665.0,1632,0.44574528869628904,True,REGULAR,USD
19,V200515C00175000,1586888322,175.0,8.05,8.1,8.4,1.8500004,29.838715,224.0,981,0.4290828576660156,False,REGULAR,USD
20,V200515C00180000,1586888471,180.0,5.65,5.5,5.75,1.5,36.144577,235.0,1294,0.40051869018554687,False,REGULAR,USD
21,V200515C00185000,1586888733,185.0,3.71,3.5,3.7,1.04,38.95131,294.0,1894,0.3773255627441406,False,REGULAR,USD
22,V200515C00190000,1586887560,190.0,2.11,2.08,2.25,0.4899999,30.246906,292.0,2089,0.3601138208007812,False,REGULAR,USD
23,V200515C00195000,1586887934,195.0,1.16,1.13,1.26,0.30999994,36.47058,122.0,1453,0.34448897705078124,False,REGULAR,USD
24,V200515C00200000,1586886470,200.0,0.6,0.58,0.68,0.050000012,9.090911,252.0,2076,0.334967587890625,False,REGULAR,USD
25,V200515C00205000,1586887762,205.0,0.29,0.29,0.37,-0.030000001,-9.375,399.0,6459,0.3315496533203125,False,REGULAR,USD
26,V200515C00210000,1586886871,210.0,0.15,0.13,0.22,-0.030000001,-16.666666,22.0,3710,0.3364324169921875,False,REGULAR,USD
27,V200515C00215000,1586871282,215.0,0.13,0.05,0.25,0.03999999,44.44443,15.0,47,0.37842418457031246,False,REGULAR,USD
28,V200515C00220000,1586876389,220.0,0.1,0.01,0.16,0.030000001,42.857143,6.0,3409,0.383795224609375,False,REGULAR,USD
29,V200515C00225000,1586460866,225.0,0.12,0.01,0.18,0.0,0.0,201.0,216,0.42139250488281255,False,REGULAR,USD
30,V200515C00230000,1586876948,230.0,0.07,0.01,0.13,0.02,39.999996,3.0,1652,0.43066975585937506,False,REGULAR,USD
31,V200515C00235000,1585339085,235.0,0.07,0.0,0.05,-0.030000001,-30.000002,1.0,61,0.4062559375,False,REGULAR,USD
32,V200515C00240000,1585681410,240.0,0.01,0.0,0.1,0.0,0.0,1.0,2349,0.4687553125,False,REGULAR,USD
