,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AGN200619C00130000,1581540576,130.0,72.5,53.5,56.2,0.0,0.0,60,0,1.0000000000000003e-05,True,REGULAR,USD
1,AGN200619C00135000,1581540558,135.0,69.15,46.5,50.15,0.0,0.0,80,55,1.0000000000000003e-05,True,REGULAR,USD
2,AGN200619C00140000,1585066588,140.0,34.0,45.25,49.5,0.0,0.0,1,102,0.5830119824218749,True,REGULAR,USD
3,AGN200619C00145000,1586794914,145.0,39.32,40.85,44.6,0.0,0.0,20,49,0.5366257275390626,True,REGULAR,USD
4,AGN200619C00150000,1584031263,150.0,30.6,32.1,36.0,0.0,0.0,70,63,1.0000000000000003e-05,True,REGULAR,USD
5,AGN200619C00155000,1584377413,155.0,23.0,31.1,35.4,0.0,0.0,59,239,0.47632359619140624,True,REGULAR,USD
6,AGN200619C00160000,1586798660,160.0,26.3,26.75,30.6,0.0,0.0,10,112,0.4318904467773438,True,REGULAR,USD
7,AGN200619C00165000,1585058226,165.0,13.5,22.15,26.35,0.0,0.0,1,287,0.4100400793457031,True,REGULAR,USD
8,AGN200619C00170000,1584983470,170.0,9.65,17.75,21.95,0.0,0.0,10,946,0.3763490100097656,True,REGULAR,USD
9,AGN200619C00175000,1585940888,175.0,7.85,13.7,18.0,0.0,0.0,1,620,0.35382726257324215,True,REGULAR,USD
10,AGN200619C00180000,1586356899,180.0,7.7,9.9,13.65,0.0,0.0,7,235,0.3100654931640625,True,REGULAR,USD
11,AGN200619C00185000,1586874322,185.0,7.1,6.5,9.9,1.75,32.71028,1,267,0.27802235656738283,True,REGULAR,USD
12,AGN200619C00190000,1586887013,190.0,5.0,3.5,6.6,2.39,91.57089,13,227,0.24799335998535155,False,REGULAR,USD
13,AGN200619C00195000,1586879068,195.0,2.2,1.11,4.55,0.8900001,67.93894,1,376,0.24195093994140626,False,REGULAR,USD
14,AGN200619C00200000,1586881879,200.0,1.25,0.07,2.75,0.35000002,38.888893,5,111,0.22736368347167968,False,REGULAR,USD
15,AGN200619C00210000,1584627660,210.0,2.05,0.01,0.73,0.0,0.0,5,54,0.20264469238281246,False,REGULAR,USD
16,AGN200619C00220000,1584472775,220.0,1.0,0.0,0.09,0.0,0.0,7,56,0.1772543212890625,False,REGULAR,USD
17,AGN200619C00230000,1584639272,230.0,0.15,0.0,0.34,0.0,0.0,1,80,0.26807372558593745,False,REGULAR,USD
18,AGN200619C00240000,1585242773,240.0,0.07,0.0,0.1,0.0,0.0,1,17,0.25879647460937505,False,REGULAR,USD
19,AGN200619C00250000,1585298087,250.0,0.06,0.0,4.3,0.0,0.0,10,23,0.5184374328613282,False,REGULAR,USD
