,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,COST200619C00130000,1585245292,130.0,140.6,155.7,159.8,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
1,COST200619C00150000,1568041766,150.0,157.48,146.3,150.6,0.0,0.0,2.0,2,1.0000000000000003e-05,True,REGULAR,USD
2,COST200619C00155000,1584369158,155.0,137.2,157.55,160.2,0.0,0.0,10.0,17,0.9250495776367188,True,REGULAR,USD
3,COST200619C00160000,1567520740,160.0,133.7,122.25,125.95,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
4,COST200619C00165000,1583775597,165.0,139.87,139.3,144.0,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD
5,COST200619C00170000,1561578801,170.0,97.24,111.05,115.7,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
6,COST200619C00175000,1584541961,175.0,136.26,137.6,140.2,0.0,0.0,2.0,18,0.7858908129882812,True,REGULAR,USD
7,COST200619C00180000,1585243493,180.0,75.0,107.15,110.7,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD
8,COST200619C00185000,1585297824,185.0,65.5,102.1,106.35,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
9,COST200619C00190000,1585242325,190.0,99.95,122.85,125.3,0.0,0.0,1.0,6,0.7060576269531251,True,REGULAR,USD
10,COST200619C00195000,1566480834,195.0,86.0,92.85,97.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
11,COST200619C00200000,1586195904,200.0,103.5,112.45,115.15,0.0,0.0,3.0,85,0.6184120190429689,True,REGULAR,USD
12,COST200619C00210000,1582736419,210.0,100.56,77.75,81.35,0.0,0.0,2.0,27,1.0000000000000003e-05,True,REGULAR,USD
13,COST200619C00220000,1585755768,220.0,70.3,92.95,95.4,0.0,0.0,2.0,114,0.5345505529785157,True,REGULAR,USD
14,COST200619C00225000,1585770473,225.0,64.95,87.95,90.65,0.0,0.0,,2,0.5150194982910157,True,REGULAR,USD
15,COST200619C00230000,1586279775,230.0,80.22,82.95,86.05,0.0,0.0,1.0,64,0.5815471533203125,True,REGULAR,USD
16,COST200619C00235000,1586451690,235.0,67.07,78.55,81.0,0.0,0.0,2.0,11,0.5480391876220705,True,REGULAR,USD
17,COST200619C00240000,1586461542,240.0,63.0,73.35,76.35,0.0,0.0,3.0,131,0.532231240234375,True,REGULAR,USD
18,COST200619C00245000,1586183407,245.0,55.47,68.65,71.8,0.0,0.0,3.0,2,0.5191088128662109,True,REGULAR,USD
19,COST200619C00250000,1586874613,250.0,61.5,63.9,67.0,8.290001,15.579781,3.0,204,0.495122236328125,True,REGULAR,USD
20,COST200619C00260000,1586788643,260.0,43.3,54.45,56.5,0.0,0.0,4.0,489,0.4154111193847656,True,REGULAR,USD
21,COST200619C00265000,1586886220,265.0,49.95,50.8,53.05,3.4500008,7.4193563,1.0,9,0.43445389770507814,True,REGULAR,USD
