,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,F200619C00000500,1586871513,0.5,4.9,2.3,5.45,0.20000029,4.2553253,1.0,11,0.0,True,REGULAR,USD
1,F200619C00001000,1586441018,1.0,4.75,3.1,5.9,0.0,0.0,14.0,34,3.750000625,True,REGULAR,USD
2,F200619C00001500,1586274559,1.5,3.45,3.8,4.3,0.0,0.0,,1,3.03906490234375,True,REGULAR,USD
3,F200619C00002000,1586439660,2.0,3.65,3.3,3.4,0.0,0.0,16.0,112,1.640626796875,True,REGULAR,USD
4,F200619C00002500,1586874814,2.5,2.99,2.64,2.96,-0.00999999,-0.33333302,2.0,4,1.0625046875000002,True,REGULAR,USD
5,F200619C00003000,1586876535,3.0,2.43,2.41,2.49,0.07000017,2.966109,1.0,112,1.3203158984374999,True,REGULAR,USD
6,F200619C00003500,1586441468,3.5,1.85,1.96,2.02,0.0,0.0,1.0,9,1.125004375,True,REGULAR,USD
7,F200619C00004000,1586882425,4.0,1.59,1.55,1.61,0.060000062,3.921573,4.0,1001,1.015629921875,True,REGULAR,USD
8,F200619C00004500,1586887035,4.5,1.23,1.19,1.24,0.03999996,3.361341,44.0,515,0.9335944140625,True,REGULAR,USD
9,F200619C00005000,1586887332,5.0,0.9,0.9,0.91,-0.01000005,-1.0989065,234.0,6378,0.87695435546875,True,REGULAR,USD
10,F200619C00005500,1586887830,5.5,0.64,0.63,0.65,-0.050000012,-7.246379,366.0,2044,0.8203142968749999,False,REGULAR,USD
11,F200619C00006000,1586888138,6.0,0.44,0.41,0.44,-0.030000001,-6.382979,2143.0,30985,0.7675804492187501,False,REGULAR,USD
12,F200619C00007000,1586888565,7.0,0.18,0.17,0.18,-0.019999996,-9.999998,633.0,21365,0.7148466015625,False,REGULAR,USD
13,F200619C00008000,1586888394,8.0,0.07,0.06,0.08,0.0,0.0,2366.0,55676,0.6953155468750001,False,REGULAR,USD
14,F200619C00009000,1586887822,9.0,0.04,0.03,0.04,0.01,33.333336,188.0,49918,0.7187528125,False,REGULAR,USD
15,F200619C00010000,1586881257,10.0,0.03,0.02,0.03,0.01,50.0,129.0,38758,0.7812521875,False,REGULAR,USD
16,F200619C00011000,1586878909,11.0,0.02,0.01,0.02,0.0,0.0,13.0,18973,0.79687703125,False,REGULAR,USD
17,F200619C00012000,1586882811,12.0,0.01,0.0,0.02,0.0,0.0,4.0,7152,0.8281267187499999,False,REGULAR,USD
18,F200619C00013000,1586882827,13.0,0.01,0.01,0.02,0.0,0.0,4.0,2341,0.9531254687499999,False,REGULAR,USD
19,F200619C00014000,1586807490,14.0,0.01,0.0,0.03,0.0,0.0,2.0,313,1.015629921875,False,REGULAR,USD
20,F200619C00015000,1585771120,15.0,0.01,0.0,0.01,0.0,0.0,1.0,5414,0.937500625,False,REGULAR,USD
21,F200619C00016000,1585078511,16.0,0.02,0.0,0.03,0.0,0.0,1.0,55,1.125004375,False,REGULAR,USD
22,F200619C00017000,1586874293,17.0,0.01,0.0,0.01,0.0,0.0,31.0,5442,1.0312548437500002,False,REGULAR,USD
