,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,BK200918C00022500,1586269705,22.5,14.0,13.95,14.35,0.0,0.0,10,20,0.5371140039062501,True,REGULAR,USD
1,BK200918C00025000,1586278155,25.0,12.8,11.7,12.15,0.0,0.0,1,1,0.5114794946289063,True,REGULAR,USD
2,BK200918C00030000,1586801323,30.0,7.91,7.75,8.25,0.0,0.0,10,3,0.5158739819335938,True,REGULAR,USD
3,BK200918C00035000,1586371472,35.0,4.65,4.7,5.1,0.0,0.0,1,116,0.47827670166015623,True,REGULAR,USD
4,BK200918C00040000,1586886734,40.0,2.33,2.29,2.55,-0.00999999,-0.42735004,3,421,0.41760836303710935,False,REGULAR,USD
5,BK200918C00045000,1586877108,45.0,0.95,0.9,1.05,-0.55,-36.666668,9,806,0.3767152172851562,False,REGULAR,USD
6,BK200918C00050000,1586784604,50.0,0.45,0.24,0.36,0.0,0.0,2,557,0.3501041552734374,False,REGULAR,USD
7,BK200918C00055000,1586269524,55.0,0.15,0.03,0.1,0.0,0.0,1,81,0.32910827148437494,False,REGULAR,USD
8,BK200918C00060000,1586462138,60.0,0.11,0.0,0.08,0.0,0.0,2,9,0.3711000390625,False,REGULAR,USD
9,BK200918C00065000,1586462075,65.0,0.2,0.0,0.05,0.0,0.0,5,31,0.39063109375,False,REGULAR,USD
