,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,T200918C00017000,1586373000,17.0,13.0,14.0,14.25,0.0,0.0,,1,0.579105771484375,True,REGULAR,USD
1,T200918C00018000,1586462020,18.0,13.0,13.1,13.25,0.0,0.0,1.0,1,0.5576216113281252,True,REGULAR,USD
2,T200918C00019000,1586449768,19.0,11.9,12.05,12.3,0.0,0.0,1.0,2,0.5107470800781251,True,REGULAR,USD
3,T200918C00020000,1586787422,20.0,10.45,11.1,11.35,0.0,0.0,1.0,11,0.5317429638671876,True,REGULAR,USD
4,T200918C00022000,1586182273,22.0,7.2,9.3,9.5,0.0,0.0,1.0,9,0.4809622216796875,True,REGULAR,USD
5,T200918C00023000,1586272296,23.0,7.55,8.4,8.55,0.0,0.0,1.0,21,0.446294599609375,True,REGULAR,USD
6,T200918C00024000,1586462268,24.0,7.4,7.5,7.6,0.0,0.0,1.0,65,0.411138701171875,True,REGULAR,USD
7,T200918C00025000,1586361190,25.0,5.4,6.6,6.8,0.0,0.0,4.0,230,0.40479110839843746,True,REGULAR,USD
8,T200918C00026000,1586445284,26.0,5.8,5.8,5.95,0.0,0.0,7.0,153,0.3830628100585937,True,REGULAR,USD
9,T200918C00027000,1586461912,27.0,4.93,5.0,5.15,0.0,0.0,8.0,733,0.3654848608398438,True,REGULAR,USD
10,T200918C00028000,1586872143,28.0,4.25,4.25,4.45,0.45000005,11.842107,12.0,646,0.35742830078125,True,REGULAR,USD
11,T200918C00029000,1586798448,29.0,3.05,3.6,3.75,0.0,0.0,150.0,1267,0.34278000976562495,True,REGULAR,USD
12,T200918C00030000,1586887170,30.0,2.97,2.92,3.1,0.46000004,18.326694,108.0,2341,0.3283758569335937,True,REGULAR,USD
13,T200918C00031000,1586886866,31.0,2.42,2.39,2.5,0.3900001,19.211828,29.0,1983,0.31372756591796874,False,REGULAR,USD
14,T200918C00032000,1586888816,32.0,1.92,1.92,1.99,0.30999994,19.254654,14.0,2044,0.30298548583984375,False,REGULAR,USD
15,T200918C00033000,1586888381,33.0,1.46,1.45,1.55,0.1500001,11.45039,27.0,0,0.29321995849609367,False,REGULAR,USD
16,T200918C00034000,1586885099,34.0,1.05,1.09,1.18,0.14999998,16.666664,270.0,4775,0.28443098388671867,False,REGULAR,USD
17,T200918C00035000,1586888376,35.0,0.85,0.82,0.87,0.120000005,16.438356,274.0,0,0.27539787109374997,False,REGULAR,USD
18,T200918C00036000,1586884808,36.0,0.59,0.57,0.62,0.089999974,17.999994,42.0,0,0.266608896484375,False,REGULAR,USD
19,T200918C00037000,1586887944,37.0,0.43,0.42,0.46,0.060000002,16.216215,33.0,10656,0.264655791015625,False,REGULAR,USD
20,T200918C00038000,1586881088,38.0,0.3,0.28,0.32,0.050000012,20.000004,10.0,0,0.25928475097656256,False,REGULAR,USD
21,T200918C00039000,1586876351,39.0,0.21,0.19,0.24,0.03999999,23.529406,1.0,0,0.260749580078125,False,REGULAR,USD
22,T200918C00040000,1586886784,40.0,0.15,0.14,0.16,0.0,0.0,44.0,10256,0.2553785400390626,False,REGULAR,USD
23,T200918C00041000,1586887224,41.0,0.11,0.1,0.12,-0.009999998,-8.333331,4.0,0,0.257819921875,False,REGULAR,USD
24,T200918C00042000,1586803545,42.0,0.07,0.07,0.1,0.0,0.0,20.0,0,0.26563234375,False,REGULAR,USD
25,T200918C00043000,1586451919,43.0,0.08,0.03,0.09,0.0,0.0,1.0,258,0.27637442382812494,False,REGULAR,USD
26,T200918C00044000,1586444871,44.0,0.04,0.02,0.07,0.0,0.0,30.0,889,0.27930408203124996,False,REGULAR,USD
27,T200918C00045000,1586791098,45.0,0.02,0.01,0.07,0.0,0.0,4.0,0,0.2929758203124999,False,REGULAR,USD
28,T200918C00046000,1585075431,46.0,0.05,0.0,0.05,0.0,0.0,1.0,0,0.2910227148437499,False,REGULAR,USD
29,T200918C00047000,1585242997,47.0,0.05,0.0,0.06,0.0,0.0,10.0,272,0.31250687499999996,False,REGULAR,USD
30,T200918C00048000,1584558491,48.0,0.13,0.0,0.05,0.0,0.0,1.0,30,0.31641308593749995,False,REGULAR,USD
31,T200918C00049000,1586272574,49.0,0.04,0.0,0.06,0.0,0.0,1.0,177,0.33789724609375,False,REGULAR,USD
