,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,QCOM201016C00040000,1585765836,40.0,28.05,37.15,38.05,0.0,0.0,,0,0.5224657128906249,True,REGULAR,USD
1,QCOM201016C00045000,1586181879,45.0,25.05,32.45,33.25,0.0,0.0,5.0,6,0.5634809277343751,True,REGULAR,USD
2,QCOM201016C00050000,1586876558,50.0,27.5,27.8,28.6,3.3999996,14.1078825,10.0,55,0.5159960510253907,True,REGULAR,USD
3,QCOM201016C00055000,1586871824,55.0,22.23,23.5,24.25,1.8699989,9.18467,5.0,7,0.4886525744628907,True,REGULAR,USD
4,QCOM201016C00057500,1586375821,57.5,18.3,21.25,22.05,0.0,0.0,1.0,19,0.4670463452148438,True,REGULAR,USD
5,QCOM201016C00060000,1586367387,60.0,16.55,19.5,20.2,0.0,0.0,2.0,110,0.467778759765625,True,REGULAR,USD
6,QCOM201016C00062500,1586880149,62.5,17.75,17.5,18.1,2.6000004,17.161718,1.0,11,0.4458063232421875,True,REGULAR,USD
7,QCOM201016C00065000,1586883455,65.0,15.39,15.75,16.25,2.8400002,22.629482,10.0,81,0.4359187268066406,True,REGULAR,USD
8,QCOM201016C00067500,1586888677,67.5,14.35,13.95,14.55,3.0100002,26.543213,16.0,108,0.42957113403320313,True,REGULAR,USD
9,QCOM201016C00070000,1586877764,70.0,12.01,12.5,12.9,2.2600002,23.179491,7.0,437,0.4206600903320313,True,REGULAR,USD
10,QCOM201016C00072500,1586884360,72.5,10.51,10.85,11.35,2.0900002,24.821854,11.0,121,0.4119321502685547,True,REGULAR,USD
11,QCOM201016C00075000,1586884974,75.0,9.07,9.6,9.95,1.8799996,26.147423,27.0,241,0.40546248840332033,True,REGULAR,USD
12,QCOM201016C00077500,1586884213,77.5,7.88,8.2,8.65,1.73,28.130081,7.0,698,0.3986876538085938,False,REGULAR,USD
13,QCOM201016C00080000,1586888516,80.0,7.21,7.15,7.3,2.0100002,38.653854,108.0,952,0.38477177734374995,False,REGULAR,USD
14,QCOM201016C00082500,1586879259,82.5,5.92,6.0,6.3,1.4200001,31.555555,3.0,159,0.3819031536865234,False,REGULAR,USD
15,QCOM201016C00085000,1586886062,85.0,5.0,5.0,5.4,2.0,66.666664,170.0,684,0.37879039184570307,False,REGULAR,USD
16,QCOM201016C00087500,1586888184,87.5,4.15,4.2,4.5,1.19,40.202705,41.0,445,0.3709779699707031,False,REGULAR,USD
17,QCOM201016C00090000,1586888392,90.0,3.5,3.5,3.6,1.0,40.0,25.0,462,0.3579165771484375,False,REGULAR,USD
18,QCOM201016C00092500,1586790154,92.5,2.03,2.8,3.05,0.0,0.0,2.0,1178,0.35767243896484374,False,REGULAR,USD
19,QCOM201016C00095000,1586885388,95.0,2.12,2.26,2.4,0.53999984,34.177204,67.0,249,0.34729656616210935,False,REGULAR,USD
20,QCOM201016C00100000,1586880151,100.0,1.5,1.45,1.63,0.41999996,38.888885,21.0,404,0.3441227697753906,False,REGULAR,USD
21,QCOM201016C00105000,1586871947,105.0,0.92,0.79,1.1,0.17000002,22.66667,11.0,54,0.3425358715820312,False,REGULAR,USD
22,QCOM201016C00110000,1586454364,110.0,0.46,0.54,0.73,0.0,0.0,62.0,115,0.340826904296875,False,REGULAR,USD
23,QCOM201016C00115000,1586804853,115.0,0.28,0.37,0.48,0.0,0.0,1.0,32,0.3393620751953125,False,REGULAR,USD
24,QCOM201016C00120000,1586360680,120.0,0.25,0.25,0.69,0.0,0.0,1.0,41,0.3952697192382813,False,REGULAR,USD
25,QCOM201016C00125000,1586794386,125.0,0.15,0.14,0.62,0.0,0.0,2.0,37,0.4128476684570312,False,REGULAR,USD
26,QCOM201016C00130000,1586883968,130.0,0.15,0.08,0.59,0.07000001,87.500015,1.0,10,0.4335994140625,False,REGULAR,USD
