,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,ACN210115C00075000,1584557094,75.0,76.7,98.1,102.9,0.0,0.0,2,1,0.7236355761718749,True,REGULAR,USD
1,ACN210115C00080000,1579034655,80.0,128.3,131.0,134.1,0.0,0.0,75,15,2.0434619226074218,True,REGULAR,USD
2,ACN210115C00085000,1560966103,85.0,99.7,108.0,111.7,0.0,0.0,1,1,1.2989537005615233,True,REGULAR,USD
3,ACN210115C00090000,1581105291,90.0,121.75,86.1,90.3,0.0,0.0,17,0,0.6052285571289064,True,REGULAR,USD
4,ACN210115C00095000,1585580095,95.0,74.2,79.5,84.5,0.0,0.0,2,0,0.6256751300048828,True,REGULAR,USD
5,ACN210115C00100000,1585749508,100.0,63.0,75.0,80.0,0.0,0.0,2,0,0.604190969848633,True,REGULAR,USD
6,ACN210115C00105000,1580487287,105.0,101.34,74.0,79.0,0.0,0.0,5,36,0.6178627081298829,True,REGULAR,USD
7,ACN210115C00110000,1586439698,110.0,67.3,66.0,71.0,0.0,0.0,5,0,0.5590254058837891,True,REGULAR,USD
8,ACN210115C00115000,1584453935,115.0,48.11,57.6,60.2,0.0,0.0,1,20,0.2133867724609375,True,REGULAR,USD
9,ACN210115C00120000,1586979721,120.0,56.0,58.5,61.6,0.0,0.0,2,0,0.4997608618164063,True,REGULAR,USD
10,ACN210115C00125000,1584730039,125.0,38.0,53.0,58.0,0.0,0.0,1,49,0.5009815527343751,True,REGULAR,USD
11,ACN210115C00130000,1576168276,130.0,75.1,77.3,80.4,0.0,0.0,2,24,1.0555467144775392,True,REGULAR,USD
12,ACN210115C00135000,1578582457,135.0,72.55,76.8,79.9,0.0,0.0,2,20,1.092686421356201,True,REGULAR,USD
13,ACN210115C00140000,1585597251,140.0,41.2,41.6,45.8,0.0,0.0,1,0,0.4523065023803712,True,REGULAR,USD
14,ACN210115C00145000,1587056756,145.0,36.3,37.9,42.5,-6.3500023,-14.888634,15,75,0.4491327059936523,True,REGULAR,USD
15,ACN210115C00150000,1586980366,150.0,34.35,34.1,38.8,0.0,0.0,50,0,0.43506424316406256,True,REGULAR,USD
16,ACN210115C00155000,1587052195,155.0,29.8,30.0,33.0,-4.4000015,-12.865501,2,0,0.3791871163940429,True,REGULAR,USD
17,ACN210115C00160000,1586375368,160.0,27.5,27.4,31.4,0.0,0.0,1,0,0.40131213928222653,True,REGULAR,USD
18,ACN210115C00165000,1587064566,165.0,22.48,25.4,28.6,-5.220001,-18.84477,2,188,0.39752799743652345,True,REGULAR,USD
19,ACN210115C00170000,1587060789,170.0,20.4,22.0,25.1,-0.8199997,-3.8642776,9,89,0.3789429782104492,True,REGULAR,USD
20,ACN210115C00175000,1587131612,175.0,20.0,18.8,23.5,1.0,5.263158,2,0,0.3901123001098633,True,REGULAR,USD
21,ACN210115C00180000,1587142085,180.0,17.9,16.1,20.0,1.7999992,11.1801195,15,0,0.36664451721191404,False,REGULAR,USD
22,ACN210115C00185000,1587150965,185.0,16.2,14.3,18.0,2.4000006,17.391308,5,0,0.365515378112793,False,REGULAR,USD
23,ACN210115C00190000,1587142086,190.0,13.3,12.2,15.2,3.5,35.714283,2,0,0.34836467071533206,False,REGULAR,USD
24,ACN210115C00195000,1587145264,195.0,11.29,9.2,13.8,-0.22000027,-1.9113836,438,0,0.3518131225585937,False,REGULAR,USD
25,ACN210115C00200000,1587153517,200.0,9.8,8.8,12.0,-1.3599997,-12.186377,7,1143,0.3459538061523437,False,REGULAR,USD
26,ACN210115C00205000,1587141973,205.0,8.0,6.5,10.0,-1.1000004,-12.087915,2,0,0.3336858624267578,False,REGULAR,USD
27,ACN210115C00210000,1587141248,210.0,7.29,4.8,9.1,2.0,37.807186,5,0,0.33850759155273435,False,REGULAR,USD
28,ACN210115C00215000,1587140105,215.0,5.4,3.9,6.6,2.3200002,75.324684,5,0,0.30988238952636715,False,REGULAR,USD
29,ACN210115C00220000,1587141503,220.0,5.2,2.65,6.2,0.98,23.22275,7,0,0.3197089514160155,False,REGULAR,USD
30,ACN210115C00230000,1587139914,230.0,2.8,0.7,3.7,-0.61000013,-17.888567,3,0,0.2946237530517578,False,REGULAR,USD
31,ACN210115C00240000,1587142436,240.0,2.35,0.1,3.6,0.29999995,14.634144,8,0,0.3206244696044921,False,REGULAR,USD
32,ACN210115C00250000,1587145127,250.0,1.0,0.75,1.85,-0.049999952,-4.7619004,1,0,0.2907175421142577,False,REGULAR,USD
33,ACN210115C00260000,1587055926,260.0,0.8,0.5,1.35,-0.099999964,-11.111108,1,112,0.2919992675781249,False,REGULAR,USD
34,ACN210115C00270000,1570820038,270.0,0.87,0.95,1.25,0.0,0.0,74,0,0.30762411132812495,False,REGULAR,USD
35,ACN210115C00280000,1584626561,280.0,3.2,0.0,0.9,0.0,0.0,1,14,0.30676962768554683,False,REGULAR,USD
36,ACN210115C00290000,1586194714,290.0,0.15,0.0,0.2,0.0,0.0,5,0,0.25708750732421876,False,REGULAR,USD
