,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,COF210115C00027500,1586957412,27.5,24.85,27.35,31.15,0.0,0.0,,1,0.7915059912109376,True,REGULAR,USD
1,COF210115C00030000,1585236300,30.0,32.2,26.15,29.0,0.0,0.0,2.0,0,0.8063984204101562,True,REGULAR,USD
2,COF210115C00035000,1586887567,35.0,23.0,22.7,24.95,0.0,0.0,1.0,0,0.764650791015625,True,REGULAR,USD
3,COF210115C00040000,1586884577,40.0,19.6,18.45,20.0,0.0,0.0,2.0,0,0.6440465283203125,True,REGULAR,USD
4,COF210115C00042500,1586188450,42.5,12.9,16.75,19.3,0.0,0.0,11.0,0,0.6629672375488282,True,REGULAR,USD
5,COF210115C00045000,1586886386,45.0,15.9,15.75,16.2,0.0,0.0,1.0,0,0.6178016735839844,True,REGULAR,USD
6,COF210115C00047500,1586884261,47.5,14.5,14.0,16.25,0.0,0.0,2.0,0,0.6449010119628906,True,REGULAR,USD
7,COF210115C00050000,1587136558,50.0,12.3,12.3,13.55,1.0,8.849558,10.0,137,0.5852092260742188,True,REGULAR,USD
8,COF210115C00052500,1587138822,52.5,11.0,11.35,14.05,1.8000002,19.56522,20.0,232,0.6357458300781251,True,REGULAR,USD
9,COF210115C00055000,1587151529,55.0,9.7,9.5,11.2,1.3000002,15.476194,25.0,91,0.5623823059082032,False,REGULAR,USD
10,COF210115C00057500,1587133199,57.5,9.0,9.0,10.05,1.6500001,22.44898,1.0,6,0.5692181750488281,False,REGULAR,USD
11,COF210115C00060000,1587151689,60.0,7.85,7.8,9.2,1.0,14.598541,21.0,207,0.5608564422607423,False,REGULAR,USD
12,COF210115C00062500,1587138681,62.5,6.7,7.0,8.05,-3.6900005,-35.51492,1.0,0,0.5510298803710938,False,REGULAR,USD
13,COF210115C00065000,1587153479,65.0,6.5,6.3,6.7,1.6799998,34.854767,1.0,55,0.5346726220703125,False,REGULAR,USD
14,COF210115C00067500,1587138390,67.5,5.25,5.5,6.3,0.1500001,2.9411783,1.0,0,0.5371140039062501,False,REGULAR,USD
15,COF210115C00070000,1587152988,70.0,5.0,3.55,5.65,1.3499999,36.986298,7.0,148,0.5556685058593751,False,REGULAR,USD
16,COF210115C00072500,1587138694,72.5,3.9,3.75,4.55,-0.5,-11.363636,1.0,0,0.5003712072753908,False,REGULAR,USD
17,COF210115C00075000,1587135319,75.0,3.45,3.65,4.15,0.61000013,21.478878,12.0,0,0.512578116455078,False,REGULAR,USD
18,COF210115C00077500,1585163523,77.5,3.2,3.1,3.65,0.0,0.0,4.0,26,0.5056201782226561,False,REGULAR,USD
19,COF210115C00080000,1587132321,80.0,2.9,2.72,3.25,0.75,34.88372,2.0,502,0.5039112109375,False,REGULAR,USD
20,COF210115C00082500,1587141293,82.5,2.3,2.36,3.0,-0.5,-17.857143,6.0,0,0.5052539709472657,False,REGULAR,USD
21,COF210115C00085000,1586277182,85.0,2.28,2.04,2.71,0.0,0.0,4.0,0,0.5041553491210937,False,REGULAR,USD
22,COF210115C00087500,1587052269,87.5,1.12,1.77,2.46,-0.30999994,-21.678318,1.0,48,0.5039112109375,False,REGULAR,USD
23,COF210115C00090000,1586891468,90.0,1.44,1.54,1.85,0.0,0.0,2.0,0,0.5009815527343751,False,REGULAR,USD
24,COF210115C00092500,1586450810,92.5,2.25,1.34,2.11,0.0,0.0,10.0,0,0.5075732836914062,False,REGULAR,USD
25,COF210115C00095000,1586971986,95.0,0.85,1.17,1.97,0.0,0.0,1.0,0,0.5102588037109376,False,REGULAR,USD
26,COF210115C00097500,1586267794,97.5,1.01,1.01,1.58,0.0,0.0,5.0,0,0.5268602001953125,False,REGULAR,USD
27,COF210115C00100000,1587050641,100.0,0.68,0.6,1.59,-0.26999998,-28.421051,1.0,674,0.5427291821289064,False,REGULAR,USD
28,COF210115C00105000,1587141495,105.0,0.7,0.06,1.12,-0.42000002,-37.5,1.0,0,0.5231981274414061,False,REGULAR,USD
29,COF210115C00110000,1586449871,110.0,0.9,0.03,0.81,0.0,0.0,60.0,0,0.5105029418945313,False,REGULAR,USD
30,COF210115C00115000,1586790410,115.0,0.51,0.26,2.82,0.0,0.0,2.0,0,0.6180458117675782,False,REGULAR,USD
31,COF210115C00120000,1586966860,120.0,0.29,0.2,0.59,0.0,0.0,1.0,0,0.5219774365234374,False,REGULAR,USD
32,COF210115C00125000,1585586950,125.0,0.65,0.15,1.16,0.0,0.0,6.0,0,0.55273884765625,False,REGULAR,USD
33,COF210115C00130000,1585160160,130.0,0.35,0.02,0.51,0.0,0.0,61.0,162,0.5463912548828126,False,REGULAR,USD
34,COF210115C00135000,1585920618,135.0,0.2,0.06,0.47,0.0,0.0,3.0,0,0.5073291455078125,False,REGULAR,USD
35,COF210115C00140000,1584026563,140.0,1.0,0.01,0.44,0.0,0.0,3.0,31,0.5107470800781251,False,REGULAR,USD
36,COF210115C00145000,1587152643,145.0,0.17,0.07,0.34,0.08,88.888885,1.0,208,0.5185595019531251,False,REGULAR,USD
37,COF210115C00150000,1584632197,150.0,0.17,0.0,0.31,0.0,0.0,10.0,213,0.5136767382812499,False,REGULAR,USD
