,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,F210115P00000500,1587153448,0.5,0.05,0.01,0.05,0.010000002,25.000006,53,0,1.5468772656249998,False,REGULAR,USD
1,F210115P00001000,1587151281,1.0,0.1,0.07,0.11,-0.009999998,-9.090907,157,13093,1.3671906640625,False,REGULAR,USD
2,F210115P00001500,1587134335,1.5,0.17,0.11,0.34,0.010000005,6.250004,6,79,1.36328443359375,False,REGULAR,USD
3,F210115P00002000,1587153402,2.0,0.24,0.24,0.28,0.019999996,9.090907,20,4688,1.12891060546875,False,REGULAR,USD
4,F210115P00002500,1587141438,2.5,0.31,0.27,0.5,0.030000001,10.714286,20,0,1.0625046875000002,False,REGULAR,USD
5,F210115P00003000,1587152973,3.0,0.45,0.42,0.49,0.00999999,2.272725,69,0,0.92773509765625,False,REGULAR,USD
6,F210115P00003500,1587140829,3.5,0.57,0.4,0.58,0.0,0.0,150,91,0.7753928710937501,False,REGULAR,USD
7,F210115P00004000,1587153548,4.0,0.72,0.72,0.76,-0.01999998,-2.7027001,309,0,0.7939473730468749,False,REGULAR,USD
8,F210115P00004500,1587152196,4.5,0.93,0.75,1.1,-0.01999998,-2.105261,29,366,0.7421900781249999,False,REGULAR,USD
9,F210115P00005000,1587152663,5.0,1.15,1.15,1.2,0.0,0.0,419,35886,0.7187528125,False,REGULAR,USD
10,F210115P00005500,1587145785,5.5,1.41,1.41,1.45,-0.00999999,-0.7042247,84,0,0.6816438085937502,True,REGULAR,USD
11,F210115P00007000,1587152431,7.0,2.39,2.09,2.46,-0.059999943,-2.4489772,47,129371,0.5283250292968751,True,REGULAR,USD
12,F210115P00010000,1587148467,10.0,5.05,4.8,5.05,0.0,0.0,60,69854,0.6015664843750002,True,REGULAR,USD
13,F210115P00012000,1586965844,12.0,7.4,5.7,9.4,0.0,0.0,7,0,1.0781296093750001,True,REGULAR,USD
14,F210115P00015000,1586361004,15.0,10.01,7.5,12.05,0.40999985,4.2708316,1,2224,2.086918845214843,True,REGULAR,USD
15,F210115P00017000,1585845661,17.0,12.6,9.5,12.25,0.0,0.0,8,0,1.0722702636718753,True,REGULAR,USD
16,F210115P00020000,1584561560,20.0,15.65,12.95,16.7,0.0,0.0,20,0,2.0498095629882815,True,REGULAR,USD
