,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,PFE210115P00015000,1586977650,15.0,0.17,0.02,0.63,0.0,0.0,1,0,0.6621127539062501,False,REGULAR,USD
1,PFE210115P00018000,1586878802,18.0,0.23,0.18,0.36,0.0,0.0,15,0,0.5214891601562499,False,REGULAR,USD
2,PFE210115P00020000,1586980516,20.0,0.35,0.25,0.45,0.0,0.0,2,0,0.5122119091796875,False,REGULAR,USD
3,PFE210115P00023000,1587063128,23.0,0.65,0.35,0.74,0.14999998,29.999996,300,2993,0.47681187255859375,False,REGULAR,USD
4,PFE210115P00025000,1587062877,25.0,0.85,0.22,1.19,0.050000012,6.2500014,5,5388,0.48389187988281257,False,REGULAR,USD
5,PFE210115P00028000,1587047768,28.0,1.28,1.02,1.36,0.029999971,2.3999977,78,16380,0.40405869384765625,False,REGULAR,USD
6,PFE210115P00030000,1587148859,30.0,1.6,1.34,1.6,-0.049999952,-3.0303001,1519,28420,0.36475244628906256,False,REGULAR,USD
7,PFE210115P00033000,1587153429,33.0,2.33,2.17,2.37,-0.23000002,-8.984376,113,20189,0.3354558642578125,False,REGULAR,USD
8,PFE210115P00035000,1587153010,35.0,2.94,2.72,3.55,-0.39999986,-11.976044,137,23976,0.35950347534179683,False,REGULAR,USD
9,PFE210115P00038000,1587153580,38.0,4.35,4.15,4.55,-0.5500002,-11.224493,5,0,0.3090889404296875,True,REGULAR,USD
10,PFE210115P00040000,1587143316,40.0,5.75,5.1,5.7,-0.3499999,-5.7377033,46,0,0.30005582763671873,True,REGULAR,USD
11,PFE210115P00042000,1586963794,42.0,7.85,6.45,7.45,0.0,0.0,10,0,0.3286199951171874,True,REGULAR,USD
12,PFE210115P00045000,1586874796,45.0,10.36,8.75,10.0,0.0,0.0,12,0,0.35205726074218746,True,REGULAR,USD
13,PFE210115P00047000,1586886629,47.0,11.45,10.2,12.1,0.0,0.0,5,0,0.3969786865234375,True,REGULAR,USD
14,PFE210115P00050000,1586446946,50.0,15.55,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
15,PFE210115P00055000,1587140237,55.0,19.46,16.75,21.4,-7.34,-27.38806,1,0,0.6353796228027344,True,REGULAR,USD
16,PFE210115P00060000,1585327641,60.0,29.65,21.75,26.4,0.0,0.0,24,0,0.6995879650878907,True,REGULAR,USD
