,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,RTX210115P00030000,1586877249,30.0,0.79,0.15,1.37,0.0,0.0,,10,0.6269568554687501,False,REGULAR,USD
1,RTX210115P00035000,1586957403,35.0,0.86,0.82,1.3,0.0,0.0,1.0,0,0.5668988623046876,False,REGULAR,USD
2,RTX210115P00040000,1586980462,40.0,1.96,1.27,1.82,0.0,0.0,20.0,0,0.5236864038085938,False,REGULAR,USD
3,RTX210115P00045000,1586962946,45.0,3.25,1.8,2.7,0.0,0.0,9.0,0,0.5250291638183593,False,REGULAR,USD
4,RTX210115P00050000,1587064795,50.0,4.45,3.2,3.9,0.13999987,3.248257,27.0,199,0.5034229345703125,False,REGULAR,USD
5,RTX210115P00055000,1586967014,55.0,6.55,5.0,5.45,0.0,0.0,15.0,0,0.48511257080078124,False,REGULAR,USD
6,RTX210115P00060000,1587143739,60.0,7.45,6.85,7.4,-0.75,-9.146341,13.0,66,0.470281176147461,False,REGULAR,USD
7,RTX210115P00065000,1586804917,65.0,11.5,9.3,9.7,0.0,0.0,1.0,0,0.45532771240234376,False,REGULAR,USD
8,RTX210115P00070000,1586442137,70.0,11.9,10.45,12.55,0.0,0.0,174.0,0,0.4489801196289062,True,REGULAR,USD
9,RTX210115P00085000,1587137394,85.0,23.67,20.85,22.95,-4.5300007,-16.063831,1.0,0,0.4265194067382813,True,REGULAR,USD
