,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,BMY220121P00025000,1585929834,25.0,0.95,0.03,0.73,0.0,0.0,10.0,0,0.4563042651367188,False,REGULAR,USD
1,BMY220121P00028000,1586965065,28.0,0.88,0.21,1.33,0.0,0.0,3.0,0,0.4738822143554688,False,REGULAR,USD
2,BMY220121P00030000,1585672796,30.0,1.5,0.27,2.08,0.0,0.0,2.0,0,0.5039112109375,False,REGULAR,USD
3,BMY220121P00033000,1586965012,33.0,1.31,0.54,2.34,0.0,0.0,6.0,0,0.467778759765625,False,REGULAR,USD
4,BMY220121P00035000,1586965012,35.0,1.63,0.7,1.99,0.0,0.0,3.0,0,0.40869731933593745,False,REGULAR,USD
5,BMY220121P00038000,1585755350,38.0,3.15,1.25,3.45,0.0,0.0,3.0,0,0.44873598144531246,False,REGULAR,USD
6,BMY220121P00040000,1586453867,40.0,2.7,1.21,3.45,0.0,0.0,6.0,0,0.4145566357421875,False,REGULAR,USD
7,BMY220121P00043000,1587065689,43.0,3.3,2.03,4.1,0.119999886,3.7735813,4.0,220,0.39722282470703124,False,REGULAR,USD
8,BMY220121P00045000,1586969030,45.0,3.91,2.63,4.15,0.0,0.0,500.0,0,0.36694968994140625,False,REGULAR,USD
9,BMY220121P00047000,1585166379,47.0,8.14,3.3,5.4,0.0,0.0,1.0,0,0.3878235046386719,False,REGULAR,USD
10,BMY220121P00050000,1587150343,50.0,5.3,4.25,5.75,-0.2999997,-5.3571377,68.0,0,0.35193519165039056,False,REGULAR,USD
11,BMY220121P00052500,1587055060,52.5,6.31,5.15,6.75,-0.63999987,-9.2086315,10.0,518,0.3474186352539062,False,REGULAR,USD
12,BMY220121P00055000,1585943568,55.0,8.68,6.2,7.8,0.0,0.0,1.0,0,0.3415593188476562,False,REGULAR,USD
13,BMY220121P00057500,1587143575,57.5,8.57,7.25,9.0,-1.3299999,-13.434343,2.0,772,0.33789724609375,False,REGULAR,USD
14,BMY220121P00060000,1587140182,60.0,9.92,9.4,10.3,0.27000046,2.7979324,75.0,0,0.33460138061523437,False,REGULAR,USD
15,BMY220121P00062500,1586285637,62.5,12.6,10.0,12.7,0.0,0.0,5.0,0,0.36322658264160157,True,REGULAR,USD
16,BMY220121P00065000,1586806407,65.0,13.1,11.55,13.25,0.0,0.0,1.0,0,0.33081723876953123,True,REGULAR,USD
17,BMY220121P00067500,1584471923,67.5,25.25,12.55,15.85,0.0,0.0,6.0,3162,0.3601138208007812,True,REGULAR,USD
18,BMY220121P00070000,1586278234,70.0,17.38,13.95,17.6,0.0,0.0,5.0,0,0.36072416625976556,True,REGULAR,USD
19,BMY220121P00072500,1585938093,72.5,21.3,15.65,19.7,0.0,0.0,100.0,0,0.37030658996582033,True,REGULAR,USD
20,BMY220121P00075000,1586283560,75.0,21.5,17.85,21.25,0.0,0.0,6.0,0,0.360785200805664,True,REGULAR,USD
21,BMY220121P00080000,1584630176,80.0,34.0,21.55,25.55,0.0,0.0,2.0,5,0.37494521545410153,True,REGULAR,USD
22,BMY220121P00085000,1583252615,85.0,28.2,31.2,34.35,0.0,0.0,4.0,4,0.5293015820312501,True,REGULAR,USD
23,BMY220121P00090000,1578930304,90.0,25.7,25.45,27.05,0.0,0.0,,25,1.0000000000000003e-05,True,REGULAR,USD
24,BMY220121P00095000,1585297635,95.0,32.5,42.9,46.8,0.0,0.0,,3,0.603092348022461,True,REGULAR,USD
25,BMY220121P00100000,1583934685,100.0,45.5,40.7,45.0,0.0,0.0,2.0,3,0.4686332434082031,True,REGULAR,USD
