,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,EXC220121P00018000,1586197495,18.0,1.2,0.95,1.4,0.0,0.0,,0.0,0.5161181201171875,False,REGULAR,USD
1,EXC220121P00020000,1587044998,20.0,1.24,0.05,3.1,-0.30999994,-19.999998,1.0,2.0,0.5056201782226561,False,REGULAR,USD
2,EXC220121P00023000,1585297986,23.0,2.25,0.05,3.8,0.0,0.0,2.0,11.0,0.6206092626953126,False,REGULAR,USD
3,EXC220121P00025000,1584039590,25.0,3.0,1.6,2.75,0.0,0.0,,26.0,0.47095255615234377,False,REGULAR,USD
4,EXC220121P00028000,1586450567,28.0,2.91,1.35,5.0,0.0,0.0,4.0,0.0,0.5446822875976562,False,REGULAR,USD
5,EXC220121P00030000,1586450567,30.0,3.47,2.1,4.8,0.0,0.0,4.0,0.0,0.47046427978515626,False,REGULAR,USD
6,EXC220121P00033000,1587139778,33.0,5.05,3.6,5.3,0.3300004,6.9915338,1.0,0.0,0.4138242211914062,False,REGULAR,USD
7,EXC220121P00035000,1586374846,35.0,6.23,4.4,7.3,0.0,0.0,1.0,0.0,0.46594772338867196,False,REGULAR,USD
8,EXC220121P00038000,1585598312,38.0,7.77,6.0,7.6,0.0,0.0,1.0,0.0,0.39050902465820314,False,REGULAR,USD
9,EXC220121P00040000,1586967057,40.0,9.05,6.7,10.3,0.0,0.0,1.0,0.0,0.4646049633789063,True,REGULAR,USD
10,EXC220121P00043000,1586186276,43.0,11.8,9.8,12.5,0.0,0.0,1.0,0.0,0.47449255981445315,True,REGULAR,USD
11,EXC220121P00045000,1586967057,45.0,12.45,9.5,13.5,0.0,0.0,1.0,0.0,0.4547173669433594,True,REGULAR,USD
12,EXC220121P00047000,1584386088,47.0,19.3,11.6,15.9,0.0,0.0,7.0,14.0,0.5013477600097658,True,REGULAR,USD
13,EXC220121P00050000,1587075621,50.0,15.0,13.4,15.7,0.0,0.0,,,0.3789734954833984,True,REGULAR,USD
14,EXC220121P00065000,1582002677,65.0,17.2,33.4,37.4,0.0,0.0,,26.0,0.7497583618164063,True,REGULAR,USD
