,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,BKNG200424P00580000,1586364236,580.0,0.5,0.0,0.1,0.0,0.0,,0.0,2.1015672460937496,False,REGULAR,USD
1,BKNG200424P00590000,1585852700,590.0,4.0,0.0,2.7,0.0,0.0,,0.0,2.8725614123535155,False,REGULAR,USD
2,BKNG200424P00600000,1586362826,600.0,2.55,0.0,2.7,0.0,0.0,,0.0,2.8232451293945315,False,REGULAR,USD
3,BKNG200424P00610000,1585363132,610.0,9.1,0.0,2.7,0.0,0.0,,0.0,2.7749054064941405,False,REGULAR,USD
4,BKNG200424P00630000,1585338784,630.0,10.0,0.0,2.7,0.0,0.0,2.0,0.0,2.680179080810547,False,REGULAR,USD
5,BKNG200424P00640000,1585920736,640.0,4.4,0.0,2.7,0.0,0.0,10.0,0.0,2.6337924780273436,False,REGULAR,USD
6,BKNG200424P00660000,1584982934,660.0,5.0,0.0,2.7,0.0,0.0,1.0,0.0,2.5434606726074214,False,REGULAR,USD
7,BKNG200424P00670000,1586280475,670.0,2.7,0.0,2.7,0.0,0.0,6.0,0.0,2.499515469970703,False,REGULAR,USD
8,BKNG200424P00680000,1587132534,680.0,0.2,0.0,0.1,-4.6000004,-95.833336,2.0,0.0,1.7578137109375,False,REGULAR,USD
9,BKNG200424P00700000,1587149595,700.0,0.15,0.0,2.0,-1.5500001,-91.176476,2.0,0.0,2.280766016845703,False,REGULAR,USD
10,BKNG200424P00740000,1585242415,740.0,11.8,0.0,2.7,0.0,0.0,,0.0,2.2075240124511715,False,REGULAR,USD
11,BKNG200424P00750000,1586445584,750.0,1.0,0.0,2.75,0.0,0.0,6.0,0.0,2.1738326904296876,False,REGULAR,USD
12,BKNG200424P00760000,1586280085,760.0,3.16,0.0,2.75,0.0,0.0,,0.0,2.134770288085937,False,REGULAR,USD
13,BKNG200424P00770000,1586279119,770.0,2.3,0.0,2.75,0.0,0.0,2.0,0.0,2.096196165771484,False,REGULAR,USD
14,BKNG200424P00780000,1586279593,780.0,3.62,0.0,2.75,0.0,0.0,,0.0,2.058110323486328,False,REGULAR,USD
15,BKNG200424P00790000,1586280475,790.0,3.5,0.0,2.75,0.0,0.0,12.0,0.0,2.020512761230469,False,REGULAR,USD
16,BKNG200424P00800000,1586367341,800.0,1.78,0.0,2.75,0.0,0.0,1.0,0.0,1.9833985205078126,False,REGULAR,USD
17,BKNG200424P00810000,1587132363,810.0,0.45,0.0,2.75,-34.45,-98.7106,1.0,2.0,1.9465334704589847,False,REGULAR,USD
18,BKNG200424P00820000,1585244246,820.0,14.5,0.0,2.75,0.0,0.0,1.0,0.0,1.9101566992187502,False,REGULAR,USD
19,BKNG200424P00830000,1584058584,830.0,32.4,0.0,4.2,0.0,0.0,,1.0,1.991943399658203,False,REGULAR,USD
20,BKNG200424P00840000,1584370770,840.0,23.82,0.2,2.8,0.0,0.0,,14.0,1.861328818359375,False,REGULAR,USD
21,BKNG200424P00850000,1586785170,850.0,1.45,0.0,2.8,0.0,0.0,1.0,0.0,1.808350567626953,False,REGULAR,USD
22,BKNG200424P00860000,1587134569,860.0,1.18,0.0,2.1,0.92999995,371.99997,20.0,0.0,1.7058120178222658,False,REGULAR,USD
23,BKNG200424P00870000,1586887848,870.0,0.45,0.0,2.8,0.0,0.0,27.0,0.0,1.7392591162109374,False,REGULAR,USD
24,BKNG200424P00880000,1586286211,880.0,5.16,0.0,2.8,0.0,0.0,,0.0,1.705079599609375,False,REGULAR,USD
25,BKNG200424P00890000,1586277727,890.0,3.85,0.0,2.85,0.0,0.0,,0.0,1.67578287109375,False,REGULAR,USD
26,BKNG200424P00900000,1586980652,900.0,1.75,0.0,2.85,0.0,0.0,1.0,0.0,1.6420916333007813,False,REGULAR,USD
27,BKNG200424P00910000,1583727179,910.0,6.6,6.5,16.5,0.0,0.0,,1.0,2.3472941708374018,False,REGULAR,USD
28,BKNG200424P00920000,1583727179,920.0,16.4,7.5,17.5,0.0,0.0,3.0,4.0,2.3485759059143065,False,REGULAR,USD
29,BKNG200424P00930000,1587141811,930.0,0.2,0.1,1.0,-12.93,-98.476776,3.0,0.0,1.36328443359375,False,REGULAR,USD
30,BKNG200424P00940000,1583727179,940.0,5.9,9.5,19.5,0.0,0.0,,1.0,2.343510000610351,False,REGULAR,USD
31,BKNG200424P00950000,1585856719,950.0,16.15,0.0,2.95,0.0,0.0,2.0,0.0,1.487551390380859,False,REGULAR,USD
