,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,CVX200424C00035000,1587133942,35.0,47.85,51.65,52.75,-0.80000305,-1.644405,1.0,0.0,2.5468786328124997,True,REGULAR,USD
1,CVX200424C00040000,1586786471,40.0,45.4,46.65,47.85,0.0,0.0,20.0,0.0,2.47656630859375,True,REGULAR,USD
2,CVX200424C00045000,1586266865,45.0,43.45,41.5,43.05,0.0,0.0,3.0,0.0,2.2109419726562494,True,REGULAR,USD
3,CVX200424C00054000,1584711278,54.0,10.65,32.15,34.4,0.0,0.0,3.0,0.0,1.65625171875,True,REGULAR,USD
4,CVX200424C00055000,1586271126,55.0,28.2,31.1,33.45,0.0,0.0,,0.0,1.6015644921874999,True,REGULAR,USD
5,CVX200424C00056000,1585071119,56.0,10.75,30.1,32.4,0.0,0.0,2.0,0.0,1.484377578125,True,REGULAR,USD
6,CVX200424C00057000,1585847534,57.0,19.0,29.05,31.45,0.0,0.0,1.0,0.0,1.4296903515625,True,REGULAR,USD
7,CVX200424C00058000,1587134862,58.0,25.05,28.05,30.45,2.75,12.331839,3.0,3.0,1.3789093554687497,True,REGULAR,USD
8,CVX200424C00059000,1586786946,59.0,26.15,27.0,29.5,0.0,0.0,,4.0,1.3281283593749997,True,REGULAR,USD
9,CVX200424C00060000,1586961492,60.0,20.88,26.0,28.55,0.0,0.0,1.0,0.0,1.3320345898437496,True,REGULAR,USD
10,CVX200424C00062000,1586978631,62.0,20.6,23.9,26.7,0.0,0.0,9.0,0.0,1.2695349023437497,True,REGULAR,USD
11,CVX200424C00063000,1585151819,63.0,10.0,22.85,25.75,0.0,0.0,,0.0,1.21875390625,True,REGULAR,USD
12,CVX200424C00064000,1585237205,64.0,8.59,21.8,24.8,0.0,0.0,20.0,0.0,1.1679729101562502,True,REGULAR,USD
13,CVX200424C00065000,1586281261,65.0,19.35,20.75,23.85,0.0,0.0,2.0,0.0,1.1171919140625,True,REGULAR,USD
14,CVX200424C00066000,1586965531,66.0,14.0,18.9,22.8,0.0,0.0,,5.0,1.9619142529296876,True,REGULAR,USD
15,CVX200424C00067500,1586280961,67.5,13.73,18.1,21.55,0.0,0.0,1.0,0.0,1.0253954980468751,True,REGULAR,USD
16,CVX200424C00069000,1587056101,69.0,10.5,16.55,20.1,-5.0,-32.258064,1.0,0.0,0.9511723632812499,True,REGULAR,USD
17,CVX200424C00070000,1587142180,70.0,15.9,15.65,18.9,4.549999,40.088097,65.0,100.0,0.8398453515625,True,REGULAR,USD
18,CVX200424C00071000,1587130609,71.0,11.35,15.85,18.3,-0.5999994,-5.0209155,1.0,0.0,1.303714418945312,True,REGULAR,USD
19,CVX200424C00072000,1587058907,72.0,8.95,13.4,17.35,-1.8000002,-16.744188,1.0,0.0,0.84961087890625,True,REGULAR,USD
20,CVX200424C00073000,1587051478,73.0,7.5,12.35,16.45,-6.3,-45.652176,4.0,17.0,0.8203142968749999,True,REGULAR,USD
21,CVX200424C00074000,1587149074,74.0,11.31,11.55,15.2,2.3100004,25.666672,3.0,0.0,0.7500025,True,REGULAR,USD
22,CVX200424C00075000,1587136937,75.0,9.4,10.45,14.35,3.2999997,54.098354,1.0,131.0,0.7187528125,True,REGULAR,USD
23,CVX200424C00076000,1587140185,76.0,9.8,9.45,11.9,3.75,61.983467,8.0,464.0,0.914063359375,True,REGULAR,USD
24,CVX200424C00077000,1587147473,77.0,8.5,8.6,12.8,1.5,21.428572,4.0,69.0,0.7709983837890625,True,REGULAR,USD
25,CVX200424C00078000,1587142578,78.0,8.03,7.85,11.1,3.8799996,93.493965,17.0,24.0,0.6093789062500001,True,REGULAR,USD
26,CVX200424C00079000,1587061261,79.0,4.0,6.95,10.25,-0.3000002,-6.9767485,12.0,175.0,0.6132851171875001,True,REGULAR,USD
27,CVX200424C00080000,1587151118,80.0,7.3,6.6,8.5,2.8000002,62.222225,81.0,1113.0,0.5361374511718751,True,REGULAR,USD
28,CVX200424C00081000,1587152941,81.0,6.4,5.6,7.45,3.01,88.79056,9.0,120.0,0.7631859619140625,True,REGULAR,USD
29,CVX200424C00082000,1587151494,82.0,5.8,4.35,6.65,2.7200003,88.3117,67.0,286.0,0.743166630859375,True,REGULAR,USD
30,CVX200424C00083000,1587145782,83.0,4.02,5.05,6.5,1.52,60.8,73.0,384.0,0.6972686523437501,True,REGULAR,USD
31,CVX200424C00084000,1587153555,84.0,4.85,4.4,5.05,2.75,130.95238,185.0,499.0,0.6064492480468751,True,REGULAR,USD
32,CVX200424C00085000,1587153384,85.0,4.0,3.45,4.35,2.3200002,138.09525,1204.0,657.0,0.5629926513671876,True,REGULAR,USD
33,CVX200424C00086000,1587153409,86.0,3.4,3.1,3.7,1.8000001,112.5,294.0,133.0,0.5805706005859376,True,REGULAR,USD
34,CVX200424C00087000,1587153500,87.0,2.6,2.57,3.1,1.8499999,246.66664,153.0,80.0,0.5715374877929689,True,REGULAR,USD
35,CVX200424C00088000,1587153550,88.0,2.33,2.02,3.05,1.3499999,137.75508,172.0,0.0,0.6059609716796877,False,REGULAR,USD
36,CVX200424C00089000,1587153576,89.0,1.9,1.59,2.0,1.38,265.3846,367.0,1135.0,0.5361374511718751,False,REGULAR,USD
37,CVX200424C00090000,1587153270,90.0,1.5,1.2,1.69,1.05,233.33333,687.0,278.0,0.5356491748046875,False,REGULAR,USD
38,CVX200424C00090500,1587148590,90.5,0.6,1.04,1.56,0.32000002,114.28572,56.0,0.0,0.5376022802734376,False,REGULAR,USD
39,CVX200424C00091000,1587153519,91.0,1.09,0.83,1.38,0.91,505.55554,11.0,0.0,0.524418818359375,False,REGULAR,USD
40,CVX200424C00091500,1587151943,91.5,0.56,0.74,1.2,-0.17000002,-23.287674,14.0,100.0,0.5224657128906249,False,REGULAR,USD
41,CVX200424C00092000,1587142199,92.0,0.57,0.46,1.08,0.41,256.25,28.0,0.0,0.5805706005859376,False,REGULAR,USD
42,CVX200424C00092500,1587150146,92.5,0.34,0.44,0.71,0.23,209.09093,72.0,73.0,0.5102588037109376,False,REGULAR,USD
43,CVX200424C00093000,1587147952,93.0,0.27,0.41,0.87,-0.42999998,-61.42857,261.0,0.0,0.516606396484375,False,REGULAR,USD
44,CVX200424C00093500,1587147799,93.5,0.4,0.32,1.37,-0.43999997,-52.38095,12.0,52.0,0.6030313134765627,False,REGULAR,USD
45,CVX200424C00094000,1587153511,94.0,0.44,0.26,0.62,-0.050000012,-10.204084,30.0,0.0,0.500005,False,REGULAR,USD
46,CVX200424C00094500,1587149724,94.5,0.14,0.21,0.58,-0.24,-63.15789,31.0,0.0,0.506840869140625,False,REGULAR,USD
47,CVX200424C00095000,1587153185,95.0,0.35,0.12,0.9,0.26,288.88885,67.0,0.0,0.5722699023437501,False,REGULAR,USD
48,CVX200424C00095500,1587142124,95.5,0.13,0.05,0.67,-0.32,-71.111115,14.0,0.0,0.5371140039062501,False,REGULAR,USD
49,CVX200424C00096000,1587150730,96.0,0.1,0.18,0.26,0.07,233.33334,8.0,0.0,0.5127001855468749,False,REGULAR,USD
50,CVX200424C00096500,1586270606,96.5,1.23,0.04,0.68,0.0,0.0,1.0,0.0,0.5800823242187501,False,REGULAR,USD
51,CVX200424C00097000,1587153506,97.0,0.16,0.05,0.28,-0.34,-68.0,2.0,0.0,0.5625043750000001,False,REGULAR,USD
52,CVX200424C00097500,1587152554,97.5,0.05,0.03,0.83,-0.44,-89.79591,1907.0,0.0,0.6523472265625001,False,REGULAR,USD
53,CVX200424C00098000,1587153432,98.0,0.07,0.07,0.08,-0.18,-72.0,3421.0,0.0,0.46484910156250003,False,REGULAR,USD
54,CVX200424C00098500,1587143942,98.5,0.1,0.0,0.67,0.040000003,66.66667,1.0,3.0,0.649417568359375,False,REGULAR,USD
55,CVX200424C00099000,1586793693,99.0,0.2,0.01,0.14,0.0,0.0,1.0,0.0,0.5507857421875001,False,REGULAR,USD
