,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,TXN200424P00050000,1587049419,50.0,0.01,0.0,0.01,0.0,0.0,60.0,60,1.875000625,False,REGULAR,USD
1,TXN200424P00055000,1587049518,55.0,0.01,0.0,0.04,0.0,0.0,40.0,72,1.9218753906250001,False,REGULAR,USD
2,TXN200424P00060000,1585076139,60.0,0.61,0.0,0.11,0.0,0.0,,0,1.8984380078125,False,REGULAR,USD
3,TXN200424P00065000,1586362693,65.0,0.14,0.0,0.11,0.0,0.0,1.0,0,1.6796891015625,False,REGULAR,USD
4,TXN200424P00075000,1587061612,75.0,0.08,0.0,0.51,0.0,0.0,1.0,1,1.615236298828125,False,REGULAR,USD
5,TXN200424P00080000,1584742255,80.0,2.93,0.0,0.21,0.0,0.0,,0,1.2070352148437498,False,REGULAR,USD
6,TXN200424P00085000,1587135888,85.0,0.18,0.0,0.34,-0.23999998,-57.142853,5.0,0,1.1054732226562503,False,REGULAR,USD
7,TXN200424P00090000,1587150085,90.0,0.2,0.0,0.2,-0.18999998,-48.717945,12.0,109,0.8398453515625,False,REGULAR,USD
8,TXN200424P00091000,1586882696,91.0,0.27,0.0,0.63,0.0,0.0,2.0,0,0.992187578125,False,REGULAR,USD
9,TXN200424P00092000,1586796039,92.0,1.02,0.2,0.66,0.0,0.0,1.0,0,1.0185595947265624,False,REGULAR,USD
10,TXN200424P00093000,1587143581,93.0,0.38,0.0,0.67,-0.64,-62.745102,4.0,8,0.9238288867187501,False,REGULAR,USD
11,TXN200424P00094000,1587055253,94.0,0.64,0.0,0.78,-0.35000002,-35.35354,1.0,2,0.914063359375,False,REGULAR,USD
12,TXN200424P00095000,1587135888,95.0,0.55,0.05,0.55,-0.19999999,-26.666664,5.0,0,0.8242205078124999,False,REGULAR,USD
13,TXN200424P00096000,1586456237,96.0,1.24,0.11,0.7,0.0,0.0,47.0,0,0.840821904296875,False,REGULAR,USD
14,TXN200424P00097000,1587146513,97.0,0.62,0.19,1.0,-3.73,-85.74713,2.0,0,0.8818371191406249,False,REGULAR,USD
15,TXN200424P00098000,1587066272,98.0,0.93,0.23,1.1,-0.36999995,-28.461536,5.0,16,0.8642591699218749,False,REGULAR,USD
16,TXN200424P00099000,1587153418,99.0,0.68,0.4,1.17,-0.57,-45.6,15.0,26,0.86132951171875,False,REGULAR,USD
17,TXN200424P00100000,1587150406,100.0,0.8,0.48,0.9,-0.87999994,-52.38095,212.0,787,0.7841818457031251,False,REGULAR,USD
18,TXN200424P00101000,1587143397,101.0,1.11,0.61,1.4,-0.72,-39.34426,5.0,0,0.8349625878906248,False,REGULAR,USD
19,TXN200424P00102000,1587151077,102.0,1.15,0.75,1.52,-1.1,-48.88889,7.0,262,0.8217791259765624,False,REGULAR,USD
20,TXN200424P00103000,1587153589,103.0,0.92,0.9,1.67,-1.28,-58.181816,23.0,0,0.8095722167968749,False,REGULAR,USD
21,TXN200424P00104000,1587151077,104.0,1.48,1.08,1.82,-0.74,-33.333336,11.0,0,0.79687703125,False,REGULAR,USD
22,TXN200424P00105000,1587148654,105.0,2.0,1.27,1.99,-0.8499999,-29.824558,70.0,0,0.7832052929687501,False,REGULAR,USD
23,TXN200424P00106000,1587151736,106.0,1.84,1.48,2.22,-1.64,-47.126434,4.0,0,0.7739280419921876,False,REGULAR,USD
24,TXN200424P00107000,1587150219,107.0,2.24,1.73,2.42,-1.46,-39.45946,25.0,14,0.7607445800781252,False,REGULAR,USD
25,TXN200424P00108000,1587151077,108.0,2.49,2.0,2.66,-1.6000001,-39.11981,11.0,0,0.7490259472656251,False,REGULAR,USD
26,TXN200424P00109000,1587148212,109.0,3.0,2.29,2.93,-1.8000002,-37.500004,35.0,71,0.7365748999023438,False,REGULAR,USD
27,TXN200424P00110000,1587153370,110.0,2.95,2.61,3.25,-1.2499998,-29.761902,150.0,58,0.7263210961914062,False,REGULAR,USD
28,TXN200424P00111000,1587153033,111.0,3.53,2.96,3.6,-1.0200002,-22.417587,1.0,35,0.7158231542968749,False,REGULAR,USD
29,TXN200424P00112000,1587153510,112.0,3.65,3.3,4.0,-2.2999997,-38.65546,20.0,22,0.7036162451171876,False,REGULAR,USD
30,TXN200424P00113000,1587139036,113.0,5.05,3.75,4.35,-0.75,-12.931034,23.0,0,0.6904327832031252,False,REGULAR,USD
31,TXN200424P00115000,1587135775,115.0,5.42,4.65,5.35,-3.2299995,-37.341038,2.0,0,0.6711458666992189,True,REGULAR,USD
32,TXN200424P00117000,1587136277,117.0,6.95,5.7,6.45,-1.5200005,-17.945694,1.0,2,0.647464462890625,True,REGULAR,USD
33,TXN200424P00125000,1587135048,125.0,13.1,11.7,12.65,-3.9499989,-23.16715,4.0,0,0.6337927246093751,True,REGULAR,USD
34,TXN200424P00126000,1585934803,126.0,26.25,12.5,13.5,0.0,0.0,10.0,0,0.6162147753906251,True,REGULAR,USD
35,TXN200424P00128000,1584740455,128.0,26.18,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
36,TXN200424P00129000,1587142781,129.0,16.95,15.3,16.25,-2.4399986,-12.583799,4.0,1,0.6250037500000001,True,REGULAR,USD
