,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,CHTR200501P00290000,1586750812,290.0,4.7,,8.5,0.0,0.0,,0.0,2.239994634399414,False,REGULAR,USD
1,CHTR200501P00295000,1585363341,295.0,1.35,0.0,8.5,0.0,0.0,,0.0,1.8273934411621093,False,REGULAR,USD
2,CHTR200501P00300000,1585749594,300.0,4.25,0.0,8.5,0.0,0.0,37.0,0.0,1.7786876300048828,False,REGULAR,USD
3,CHTR200501P00305000,1586145756,305.0,2.2,0.0,4.6,0.0,0.0,,0.0,1.5146508642578125,False,REGULAR,USD
4,CHTR200501P00310000,1586270970,310.0,3.22,0.0,8.5,0.0,0.0,37.0,0.0,1.6834732623291015,False,REGULAR,USD
5,CHTR200501P00315000,1584716125,315.0,4.5,0.0,3.3,0.0,0.0,2.0,0.0,1.3403353295898435,False,REGULAR,USD
6,CHTR200501P00330000,1585336692,330.0,2.2,0.0,4.8,0.0,0.0,10.0,0.0,1.3190952014160153,False,REGULAR,USD
7,CHTR200501P00340000,1586281970,340.0,1.25,0.05,4.9,0.0,0.0,,0.0,1.2475623559570312,False,REGULAR,USD
8,CHTR200501P00345000,1586179855,345.0,1.85,0.05,4.9,0.0,0.0,10.0,0.0,1.2082559118652343,False,REGULAR,USD
9,CHTR200501P00350000,1587059261,350.0,1.54,0.0,4.9,-1.8600001,-54.705883,213.0,213.0,1.1667522131347656,False,REGULAR,USD
10,CHTR200501P00365000,1586750813,365.0,3.3,0.0,5.1,0.0,0.0,,0.0,1.0622605480957032,False,REGULAR,USD
11,CHTR200501P00370000,1586179814,370.0,3.4,0.0,4.6,0.0,0.0,,0.0,1.0012256970214843,False,REGULAR,USD
12,CHTR200501P00375000,1584541253,375.0,4.1,0.0,4.7,0.0,0.0,10.0,0.0,0.9693606579589844,False,REGULAR,USD
13,CHTR200501P00380000,1587075953,380.0,2.1,0.0,5.3,0.0,0.0,,,0.9593509924316406,False,REGULAR,USD
14,CHTR200501P00385000,1586750813,385.0,2.85,0.0,5.4,0.0,0.0,,0.0,0.9267585449218749,False,REGULAR,USD
15,CHTR200501P00390000,1586750813,390.0,1.8,0.0,5.5,-1.5,-45.454548,10.0,20.0,0.8940440283203124,False,REGULAR,USD
16,CHTR200501P00395000,1587043820,395.0,1.9,0.0,0.0,0.0,0.0,,0.0,0.2500075,False,REGULAR,USD
17,CHTR200501P00402500,1587075954,402.5,2.25,0.0,5.8,2.25,,,10.0,0.8143329113769531,False,REGULAR,USD
18,CHTR200501P00405000,1586750813,405.0,5.3,0.05,5.9,0.0,0.0,,0.0,0.8015156567382812,False,REGULAR,USD
19,CHTR200501P00415000,1587075954,415.0,2.95,0.0,7.2,2.95,,,10.0,0.7681907946777344,False,REGULAR,USD
20,CHTR200501P00417500,1587075954,417.5,3.3,0.0,7.3,3.3,,,10.0,0.7525659509277343,False,REGULAR,USD
21,CHTR200501P00420000,1587075954,420.0,3.4,0.0,7.5,3.4,,,10.0,0.7397486962890624,False,REGULAR,USD
22,CHTR200501P00422500,1587075954,422.5,3.6,0.0,7.7,3.6,,,10.0,0.726565234375,False,REGULAR,USD
23,CHTR200501P00425000,1587075954,425.0,4.0,0.0,7.9,4.0,,,10.0,0.7132597033691408,False,REGULAR,USD
24,CHTR200501P00437500,1585662810,437.5,28.0,0.0,9.4,0.0,0.0,,0.0,0.6552768847656252,False,REGULAR,USD
25,CHTR200501P00440000,1587063670,440.0,5.4,0.6,9.8,0.0,0.0,5.0,5.0,0.6583896466064454,False,REGULAR,USD
26,CHTR200501P00442500,1587050124,442.5,4.99,0.5,9.0,0.0,0.0,1.0,1.0,0.6185951226806643,False,REGULAR,USD
27,CHTR200501P00445000,1587050124,445.0,5.35,1.55,9.2,-15.949999,-74.88263,1.0,0.0,0.6260413372802736,False,REGULAR,USD
28,CHTR200501P00447500,1587066794,447.5,6.39,1.1,9.8,0.19999981,3.2310147,2.0,2.0,0.6090737335205079,False,REGULAR,USD
29,CHTR200501P00450000,1587066794,450.0,6.83,2.7,9.5,-14.469999,-67.934265,2.0,14.0,0.6148720153808593,False,REGULAR,USD
30,CHTR200501P00455000,1586288383,455.0,25.8,2.5,10.0,0.0,0.0,,0.0,0.5790447369384766,False,REGULAR,USD
31,CHTR200501P00470000,1584022963,470.0,50.0,22.2,31.0,0.0,0.0,,10.0,1.0473680444335938,False,REGULAR,USD
32,CHTR200501P00480000,1585844370,480.0,53.85,9.5,17.2,0.0,0.0,1.0,0.0,0.567265069580078,False,REGULAR,USD
33,CHTR200501P00485000,1584128140,485.0,58.5,30.3,38.7,0.0,0.0,10.0,10.0,1.0762985638427736,False,REGULAR,USD
34,CHTR200501P00490000,1587132305,490.0,19.62,13.3,21.0,-42.78,-68.55769,498.0,1.0,0.5574079904174806,False,REGULAR,USD
