,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,VZ200501C00047000,1586285871,47.0,10.08,10.9,12.1,0.0,0.0,10,0,0.5390671093750001,True,REGULAR,USD
1,VZ200501C00048000,1586795950,48.0,9.1,9.85,11.2,0.0,0.0,1,0,0.5351608984375,True,REGULAR,USD
2,VZ200501C00049000,1586198419,49.0,7.45,8.85,10.25,0.0,0.0,3,0,0.51758294921875,True,REGULAR,USD
3,VZ200501C00050000,1587147196,50.0,8.1,7.85,9.3,0.7500005,10.204088,1,6,0.850587431640625,True,REGULAR,USD
4,VZ200501C00051000,1587131865,51.0,7.6,7.35,8.35,0.6999998,10.144924,1,1,0.6005899316406251,True,REGULAR,USD
5,VZ200501C00052000,1587066453,52.0,6.2,6.4,7.4,-0.1500001,-2.3622062,2,51,0.559574716796875,True,REGULAR,USD
6,VZ200501C00053000,1587151782,53.0,5.42,5.5,5.9,0.97000027,21.79776,2,77,0.495122236328125,True,REGULAR,USD
7,VZ200501C00054000,1587153592,54.0,4.75,4.15,4.9,0.4499998,10.465112,28,78,0.43018147949218755,True,REGULAR,USD
8,VZ200501C00055000,1587138757,55.0,3.7,3.7,4.2,0.9000001,32.14286,4,286,0.45508357421875,True,REGULAR,USD
9,VZ200501C00056000,1587150236,56.0,2.77,2.41,3.6,0.6199999,28.837204,52,912,0.4809622216796875,True,REGULAR,USD
10,VZ200501C00057000,1587148173,57.0,1.99,2.21,2.89,0.49,32.666668,22,431,0.46094289062500005,True,REGULAR,USD
11,VZ200501C00058000,1587153423,58.0,1.58,1.55,1.81,0.58000004,58.000004,263,321,0.34497725341796875,True,REGULAR,USD
12,VZ200501C00059000,1587153447,59.0,1.05,0.99,1.24,0.43999994,72.131134,97,1703,0.32569033691406246,False,REGULAR,USD
13,VZ200501C00060000,1587153152,60.0,0.67,0.56,0.78,0.35000002,109.375015,603,833,0.30664755859375,False,REGULAR,USD
14,VZ200501C00061000,1587153043,61.0,0.34,0.35,0.5,0.14,70.0,265,167,0.3051827294921875,False,REGULAR,USD
15,VZ200501C00062000,1587150999,62.0,0.18,0.16,0.23,0.09,100.0,118,333,0.27637442382812494,False,REGULAR,USD
16,VZ200501C00063000,1587153078,63.0,0.1,0.09,0.1,0.030000001,42.857143,278,75,0.2617261328125,False,REGULAR,USD
17,VZ200501C00064000,1587153060,64.0,0.07,0.04,0.07,0.02,39.999996,26,45,0.28125718749999995,False,REGULAR,USD
18,VZ200501C00065000,1587153159,65.0,0.03,0.03,0.04,-0.01,-25.0,87,42,0.28711650390624993,False,REGULAR,USD
