,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,NKE200508C00070000,1586785016,70.0,16.42,18.0,22.3,0.0,0.0,1.0,0,0.6279334082031252,True,REGULAR,USD
1,NKE200508C00073000,1587057134,73.0,13.1,15.15,19.1,0.0,0.0,1.0,1,0.5283250292968751,True,REGULAR,USD
2,NKE200508C00074000,1586785016,74.0,12.83,14.35,18.8,0.0,0.0,1.0,0,0.6557651611328126,True,REGULAR,USD
3,NKE200508C00075500,1587064311,75.5,11.45,12.9,16.8,0.0,0.0,1.0,1,0.5410202148437502,True,REGULAR,USD
4,NKE200508C00076000,1586966081,76.0,9.65,12.45,16.8,0.0,0.0,2.0,0,0.6005899316406251,True,REGULAR,USD
5,NKE200508C00079000,1585855190,79.0,8.98,11.4,11.9,0.0,0.0,1.0,0,0.5039112109375,True,REGULAR,USD
6,NKE200508C00079500,1586960751,79.5,7.1,11.15,11.45,0.0,0.0,,1,0.5178270874023438,True,REGULAR,USD
7,NKE200508C00080000,1587137042,80.0,10.01,10.6,11.0,3.6100001,56.406254,1.0,0,0.500005,True,REGULAR,USD
8,NKE200508C00081500,1586873761,81.5,7.07,9.3,9.7,0.0,0.0,,1,0.516606396484375,True,REGULAR,USD
9,NKE200508C00082000,1585327470,82.0,7.7,8.9,9.3,0.0,0.0,1.0,0,0.5131884619140624,True,REGULAR,USD
10,NKE200508C00083000,1587142368,83.0,8.0,8.1,8.5,-0.5500002,-6.4327507,1.0,0,0.5039112109375,True,REGULAR,USD
11,NKE200508C00083500,1586268106,83.5,6.7,7.7,8.1,0.0,0.0,2.0,0,0.4978077563476563,True,REGULAR,USD
12,NKE200508C00084000,1587066621,84.0,5.1,7.3,7.7,0.75,17.241379,4.0,0,0.4909718872070313,True,REGULAR,USD
13,NKE200508C00084500,1587053382,84.5,4.5,6.95,7.3,0.25,5.882353,1.0,0,0.48340360351562506,True,REGULAR,USD
14,NKE200508C00085000,1587139363,85.0,6.25,6.55,6.95,1.4499998,30.208328,3.0,20,0.48169463623046876,True,REGULAR,USD
15,NKE200508C00085500,1586973839,85.5,3.7,6.3,6.55,0.0,0.0,3.0,0,0.4721732470703125,True,REGULAR,USD
16,NKE200508C00086000,1587142306,86.0,5.67,5.9,6.2,1.8700001,49.21053,2.0,11,0.46851117431640626,True,REGULAR,USD
17,NKE200508C00086500,1587145263,86.5,5.55,5.55,5.85,2.15,63.235294,6.0,0,0.46362841064453125,True,REGULAR,USD
18,NKE200508C00087000,1587141906,87.0,4.78,5.15,5.5,1.8900001,65.39793,10.0,0,0.4577690942382813,True,REGULAR,USD
19,NKE200508C00088000,1587140270,88.0,4.35,2.4,4.95,2.1499999,97.727264,4.0,12,0.46094289062500005,True,REGULAR,USD
20,NKE200508C00089000,1587152038,89.0,3.9,3.9,4.25,1.72,78.89908,15.0,0,0.4414118359375,True,REGULAR,USD
21,NKE200508C00090000,1587150051,90.0,3.2,3.4,3.65,1.4000001,77.77779,8.0,49,0.4294490649414063,False,REGULAR,USD
22,NKE200508C00091000,1587151079,91.0,2.61,2.84,3.2,1.1699998,81.249985,9.0,0,0.4299373413085938,False,REGULAR,USD
23,NKE200508C00092000,1587152651,92.0,2.35,2.37,2.73,1.18,100.8547,16.0,9,0.42310147216796873,False,REGULAR,USD
24,NKE200508C00095000,1587146340,95.0,1.32,1.28,1.6,0.71000004,116.39345,25.0,0,0.40552352294921873,False,REGULAR,USD
25,NKE200508C00100000,1587152651,100.0,0.4,0.32,0.58,0.24000001,150.00002,18.0,0,0.3930724755859375,False,REGULAR,USD
26,NKE200508C00105000,1587151956,105.0,0.1,0.09,0.22,0.020000003,25.000006,9.0,17,0.40479110839843746,False,REGULAR,USD
27,NKE200508C00110000,1587143746,110.0,0.04,0.01,0.25,0.03,300.0,3.0,3,0.5092822509765625,False,REGULAR,USD
